feature_idx,n_activating,n_ct,n_mri,n_male,n_female,mean_age
159,9567,9321,246,6916,2603,64.90177539657527
43,29184,29148,36,17064,12075,63.82809979752222
130,17639,17550,89,10297,7127,62.733413682277316
1620,38552,37939,613,21972,16536,63.79479588656903
1437,6187,5844,343,3877,2280,64.5647230794218
1288,19685,19642,43,11392,8166,64.23693629205441
376,38639,36604,2035,24378,13847,64.97708306082407
210,28076,28036,40,15810,12224,65.42569736748234
335,20554,20319,235,11641,8894,64.74234234234234
1142,11852,11739,113,7132,4700,64.79293441514537
55,27341,27283,58,15118,12059,64.34161239283218
1442,6241,3394,2847,3644,1710,65.18154650728427
601,14999,14866,133,7844,7017,64.12657290895633
1926,6210,3137,3073,3014,2262,63.94294920394238
1995,3419,3419,0,2035,1384,63.21789997075168
59,29442,29400,42,15072,14282,62.58963003338557
477,26989,26987,2,15526,11339,63.536608970779824
2025,3952,790,3162,1551,1558,64.25860405275009
92,23327,23244,83,14468,8805,62.50500580071327
308,19472,15317,4155,10155,8273,63.42457130453658
1213,14360,14285,75,8011,6281,61.8948362720403
3118,6148,2375,3773,3535,1746,63.86101117212649
876,4691,915,3776,2418,1376,64.0326831839747
1541,21567,21565,2,9939,11497,59.585230453442804
505,8757,5172,3585,4859,2939,62.82097973839446
155,5321,2221,3100,2681,1873,64.58849363197189
235,45493,43329,2164,26647,18482,64.22925391655033
3840,2985,659,2326,1191,902,63.91352126134735
961,18434,18434,0,12658,5725,65.49099711690148
267,13658,13649,9,8063,5526,64.08161012583707
456,21205,21172,33,13404,7793,64.94008586120677
1080,4585,1357,3228,2380,1351,63.45510586974002
123,25254,22199,3055,15443,8896,65.11943793911007
1236,15673,15507,166,9826,5796,64.612277557291
5847,3341,753,2588,1680,1208,64.68074792243767
120,29393,29135,258,17966,11335,64.04853076686803
507,16262,16259,3,10426,5805,62.645862855030494
1844,15731,12221,3510,8471,6292,64.4572918783445
40,32341,32166,175,18408,13670,65.04485940519983
6148,16683,15727,956,10542,5987,65.14725633734648
241,18626,18598,28,11052,7473,63.574197031039134
1358,20148,20140,8,9891,10089,61.29089089089089
190,18654,18233,421,10994,7556,64.91272237196766
737,25329,25126,203,15791,9496,64.07466287024954
381,15434,15429,5,9527,5824,64.32616767637288
67,25441,25358,83,16837,8573,65.32180243998425
1445,7218,3813,3405,3655,2659,64.01092809629395
