feature_idx,description,top_modalities,top_orientations,top_structures,mean_activation,combined_rank,interp_score,true_concept_rank,is_successful,distractor_features,distractor_concepts,ranking_output,parse_success,train_activation_mean,val_activation_mean
159,CT of the skull and brain,ct,z,"age, brain, gender, pathology, skull",0.0315641425549984,2.0,0.1505142119733242,1,True,"[127, 6688, 1040, 929]","['CT of the rib cage', 'CT of the skull', 'CT of the rib cage and associated structures in a middle-aged male patient', 'CT of the rib cage and associated structures']","B, A, E, C, D",True,0.05120188742876053,0.0370577909052372
43,Coronal CT of the thorax including ribs and paraspinal muscles,ct,y,"age, autochthon_left, autochthon_right, gender, lung_lower_lobe_left",0.03896944746375084,29.0,0.0948150175015254,1,True,"[2700, 8175, 3207, 3069]","['Paraspinal muscles and spinal canal', 'CT of the rib cage and paraspinal muscles', 'Sagittal CT of the rib cage and paraspinal muscles in an adult patient.', 'Coronal CT of the thoracic spine and paraspinal muscles in a male patient.']","A, D, E, C, B",True,0.056984297931194305,0.057708218693733215
130,Axial CT of the abdomen and lumbar spine in an adult patient,ct,z,"age, autochthon_left, autochthon_right, colon, gender",0.021216423809528352,46.5,0.1120561448793981,1,True,"[3554, 1723, 842, 7236]","['Sagittal CT of the thoracic spine and paraspinal muscles.', 'Sagittal CT of the thoracic spine and spinal canal', 'CT of the rib cage and associated structures', 'CT of the thoracic spine and spinal canal']","A, B, C, E, D",True,0.028352227061986923,0.024342041462659836
1620,"Coronal CT of the thorax, rib cage, and spine",ct,"y, x","age, gender, pathology, autochthon_left, autochthon_right",0.05619694069027901,47.5,0.0869751676249128,1,True,"[7665, 287, 2529, 382]","['MRI of the abdominal vasculature, liver, spleen, and stomach in an elderly male patient.', 'CT of the rib cage and paraspinal muscles', 'Coronal CT of the thoracic spine and ribs', 'Coronal CT of the rib cage in a male patient']","E, C, A, D, B",True,0.0722576454281807,0.07051882147789001
1437,CT of the brain and skull,ct,z,"age, brain, gender, skull, pathology",0.023275123536586763,48.0,0.1335888463732673,1,True,"[6557, 5566, 36, 5987]","['Coronal CT of the thoracolumbar spine and paraspinal muscles', 'Coronal CT or MRI of the abdomen and retroperitoneum in an adult patient', 'Axial CT of the pelvis in an elderly female patient', 'CT of the abdomen and pelvis in a female patient']","C, E, A, B, D",True,0.04057701304554939,0.039139844477176666
1288,Sagittal CT of the thoracic spine and spinal canal in a male patient,ct,x,"age, aorta, gender, heart, liver",0.034720142185688016,49.0,0.0830535107941792,1,True,"[5717, 3046, 7552, 3842]","['CT of the thorax and mediastinum', 'Coronal CT of the thoracic spine and paraspinal muscles', 'Coronal CT or MRI of the paraspinal muscles and vertebral column.', 'CT or MRI of the rib cage and associated structures.']","B, D, A, E, C",True,0.043154921382665634,0.03928340598940849
376,CT of the thorax including ribs and vertebral bodies,ct,"z, y","age, aorta, autochthon_right, gender, lung_lower_lobe_left",0.054707121849060056,51.0,0.072727696221379,2,True,"[6386, 3142, 5457, 2496]","['CT of the thoracic spine and vertebral bodies', 'Coronal CT of the thorax and rib cage', 'CT of the paraspinal muscles and vertebrae', 'CT of the rib cage and associated structures']","B, E, A, D, C",True,0.06823937594890594,0.05863533169031143
210,Axial CT of the thorax and mediastinum,ct,z,"age, autochthon_left, autochthon_right, esophagus, gender",0.03607282191514969,57.0,0.0822241596355107,1,True,"[677, 7164, 2503, 4815]","['Coronal CT/MRI of the pelvis and proximal femur', 'CT of the skull and brain', 'CT of the rib cage and vertebral column', 'CT of the thoracic spine and spinal canal']","D, C, B, E, A",True,0.04865594953298569,0.039552830159664154
335,CT of the skull,ct,"y, z","age, gender, pathology, skull, colon",0.026020678877830505,63.5,0.087186448684828,2,True,"[2549, 1014, 4200, 4619]","['Coronal CT of the paraspinal muscles in a male patient', 'Axial CT or MRI of the thoracic spine and spinal canal.', 'CT of the rib cage in a male patient', 'Coronal CT of the rib cage and thoracic spine']","E, B, D, C, A",True,0.03186258301138878,0.02923065796494484
1142,Axial CT of the thorax and mediastinum,ct,"z, x","age, autochthon_right, gender, lung_lower_lobe_right, pathology",0.022195009142160417,70.5,0.1379620705586077,2,True,"[4455, 4883, 5002, 2122]","['Coronal CT or MRI of the rib cage and associated structures.', 'CT of the rib cage', 'Coronal CT of the thorax including ribs and vertebral bodies', 'Coronal CT of the rib cage and thoracic spine']","C, E, D, B, A",True,0.028137557208538055,0.023672379553318024
