feature_idx,n_activating,n_ct,n_mri,n_male,n_female,mean_age
215,4478,4471,7,2780,1697,66.92628992628993
17,2530,2396,134,1698,820,64.31254964257347
1063,7739,7637,102,5086,2636,64.87490287490287
14,17648,17445,203,13129,4221,64.16005763688761
259,6641,6318,323,3450,2902,61.3507556675063
443,18505,17703,802,12364,5502,65.43932609425725
853,9762,9638,124,6019,3530,64.73442245261283
3293,8633,8625,8,3307,5323,63.276709154113554
1317,12350,12152,198,7729,4560,65.0673773293189
1125,4646,3979,667,2977,965,66.23541349568747
1509,3057,3037,20,2490,549,66.33432050016452
907,6658,6656,2,4072,2586,65.56638630219285
167,15901,15840,61,9729,6140,62.14518873274938
1544,16261,15986,275,10390,5471,62.65456150305781
441,7268,7207,61,3723,3542,64.13076393668273
425,21770,21322,448,13223,8254,64.23331936490199
1273,7416,7413,3,4679,2737,67.13484358144552
303,10171,10171,0,5646,4525,63.11621276177367
390,23588,21895,1693,15225,7618,65.25049249222957
1120,6802,6653,149,3501,3220,63.186876952834396
679,14746,14588,158,9416,5217,63.954349757397665
594,1802,1802,0,1189,602,60.43048576214405
180,12438,12252,186,7271,4978,62.51718507633276
3195,6578,6489,89,4596,1955,65.70233552129446
1202,8779,8643,136,4076,4561,62.43498900081047
1177,6828,6763,65,3813,2961,62.111603188662535
1481,9820,9805,15,6040,3692,61.9867447595561
10,6945,6780,165,4030,2899,63.37711069418386
138,9816,9713,103,5330,4465,62.63950995405819
227,17625,17374,251,11438,6104,63.635902405655
478,5013,4890,123,2898,2080,64.5431900361591
25,10011,9826,185,6310,3431,65.37439687917052
309,3442,3419,23,1298,2124,60.46230274693162
200,7617,7552,65,5358,2236,63.50355543850408
1569,12596,10586,2010,7691,4020,65.4956878148749
1188,3988,3770,218,2625,1312,61.0749301498603
7433,7913,7771,142,5302,2447,65.908633372048
146,2266,2214,52,1635,624,63.330677290836654
6253,10750,10606,144,6840,3815,64.32876583763492
6098,3074,3050,24,1915,1140,64.49918166939443
36,39005,36756,2249,22540,15521,63.73274480439295
1285,3302,3189,113,1903,1365,65.58567931456548
28,14409,13424,985,8409,5779,63.97758669297998
1897,8807,8454,353,3764,5012,62.86326344576117
77,5301,5221,80,3119,2166,65.04787133396405
1217,3683,3671,12,2120,1563,65.54683681781157
365,6034,5201,833,3939,2014,63.866117923735935
973,2376,2353,23,1642,734,66.16708754208754
383,4382,4302,80,2621,1700,62.76903494561444
1516,11808,11778,30,5408,6371,64.54266066728924
61,11784,11783,1,7602,4153,63.10097830710336
3507,12608,12524,84,6898,5605,62.94801247700552
115,38124,37408,716,21808,16091,63.642523549434024
1718,6334,6189,145,3990,2342,64.04153506001263
171,2061,2048,13,1176,885,64.34837457544882
236,2985,2982,3,1874,1103,65.01645952300974
1263,4238,3930,308,2434,1759,63.83806343906511
689,19514,17675,1839,11551,7272,63.38107634277214
101,5753,5749,4,3773,1926,64.68538340059659
6931,5331,5292,39,2973,2307,65.0909090909091
80,7754,7706,48,4706,3011,64.12012440067383
1259,3594,3549,45,1785,1805,63.17688022284123
642,10461,9817,644,6418,3575,63.933753627539275
198,6124,6096,28,3787,2336,64.68283521149763
461,7162,6972,190,4323,2767,62.601551480959095
1563,2820,2762,58,1644,1175,63.38879035118836
1064,2796,366,2430,1188,850,65.04170755642787
420,4047,4043,4,2505,1526,64.20193500372116
45,20660,18576,2084,12790,7144,65.10780575900472
635,7968,7718,250,4642,3230,65.55703760162602
18,18772,18748,24,11859,6869,62.82090986757796
1854,10172,10162,10,4932,5232,60.53325462416372
173,2997,2988,9,2040,943,63.93630573248408
1278,9639,9450,189,6231,3375,62.19342077867999
1074,3957,3940,17,2415,1542,65.17487995956533
1649,3715,3682,33,2129,1585,62.24151857835218
371,6878,6349,529,3879,2776,62.712396694214874
503,21754,21607,147,12484,9232,63.26026892613741
46,4592,4084,508,3071,1464,61.64917309812569
6969,7507,7481,26,3325,4102,60.16372694223778
1183,5303,4646,657,3479,1549,62.34486873508353
493,12339,12038,301,8656,3524,68.27282430213465
718,6796,6785,11,4083,2713,63.197469099470275
4735,5249,5105,144,3428,1775,65.21814337881992
1551,6874,6862,12,4166,2690,63.691802800466746
981,2898,2876,22,1666,1230,65.22168508287292
392,2936,2930,6,1849,1087,65.17302452316076
634,6996,6769,227,4755,2070,61.944761904761904
1210,6755,6743,12,3917,2811,63.35344827586207
358,3139,3138,1,2168,953,62.633771227170776
444,7646,7297,349,5245,2266,66.69324990014645
1747,3032,3021,11,1668,1363,67.14450676344441
404,1661,298,1363,862,493,65.07675276752768
400,4262,4261,1,2997,1263,68.41924882629108
3896,8758,8598,160,4972,3716,64.90032228360958
135,1712,1684,28,1107,602,61.54359274429491
938,6284,6156,128,4146,2136,63.87854186564788
462,7712,7673,39,5188,2496,64.52329515877148
1322,10583,10529,54,6845,3572,66.94480176634347
407,4209,1031,3178,2246,1358,66.35987791342953
491,13122,13057,65,7892,5174,64.08051431195469
106,4634,4233,401,2852,1747,64.2574472711459
163,16618,16240,378,9553,6964,65.86292910334807
117,15247,15005,242,9667,5521,64.06287858835923
408,8503,8414,89,5586,2871,63.28272437034409
457,3447,1568,1879,1482,1092,64.67288267288268
267,10042,9517,525,6169,3792,64.40307198072483
176,10485,10443,42,6140,4250,65.07468719923003
8158,3700,1899,1801,1916,1221,66.69014982467326
123,8281,8258,23,4762,3515,63.133502476742784
1205,6334,6332,2,4213,2087,65.85492063492063
5760,5434,5073,361,3319,2079,65.38199333086328
720,3936,3902,34,2484,1425,66.07162957278076
1090,9501,9392,109,6129,3331,63.5176532769556
1838,6923,6922,1,3613,3309,62.1456226524126
3397,767,27,740,165,86,70.74900398406375
2,59426,57289,2137,35229,23088,64.1790387022652
524,4446,4362,84,2457,1974,64.19318438275785
288,5372,4179,1193,2946,2337,65.63221654363052
1613,1696,1556,140,1047,633,65.02440476190476
1562,7179,7171,8,5278,1900,63.56505990526609
1684,5161,5083,78,2629,2454,65.63859925240999
415,8346,6986,1360,5695,2479,65.03205285050159
1668,1112,837,275,659,254,65.98028477546549
535,2368,2358,10,1624,744,62.20988175675676
258,1314,738,576,767,522,60.28161365399534
314,11207,10972,235,7308,3842,64.36636771300448
65,9411,9383,28,5646,3758,63.59240748617609
1558,12430,12095,335,6424,5883,64.94230925489559
1547,16202,16075,127,9421,6742,62.72486543339726
69,8245,8202,43,4215,4023,61.31815974751153
1025,6795,6779,16,3350,3355,63.888292319164805
1079,12872,12592,280,7063,5767,63.417692907248636
31,30016,29249,767,18278,11560,62.92127488437563
812,8094,7471,623,5730,2282,64.87618572141787
253,18770,18555,215,11111,7616,63.92588241576334
433,8561,8462,99,5314,3230,63.28148408239701
143,2728,2620,108,1667,1040,64.4861470262283
1403,3093,3055,38,1849,1215,66.4373368146214
4007,4594,4594,0,2455,2139,62.986068785372225
1901,8301,7986,315,4811,3391,64.83601560594977
355,8052,8041,11,4828,3200,62.803562531141004
352,6648,6561,87,4598,1907,67.26579554189085
1162,9252,9252,0,5997,3042,67.61621860825312
963,9334,9201,133,6124,3137,65.83252348558472
104,8293,8119,174,5091,3125,65.34773612463486
57,3855,3720,135,2127,1704,65.68702688593056
119,49937,48112,1825,30630,18203,64.45246042635104
875,7263,7153,110,4138,3113,65.96428078885671
1746,8430,8406,24,5630,2772,65.38514639371579
1700,9036,8973,63,5173,3845,61.61177644710579
1934,14495,14488,7,6031,8460,62.79449313366917
251,3101,2577,524,2114,981,63.237479806138936
274,1802,839,963,801,358,67.35461604831751
1239,7939,7904,35,4960,2913,64.21110123205894
2024,4330,4287,43,1841,2486,66.99052461289577
111,7496,7272,224,4671,2807,60.525675314255146
481,9037,8973,64,5534,3396,62.68544232922732
263,9005,8646,359,5405,3555,64.89330357142858
1774,5467,5364,103,3572,1892,62.21229868228404
7448,4548,4462,86,2595,1934,64.81519099138883
346,7324,6868,456,4180,3076,64.44142778390298
816,6978,6968,10,4320,2650,64.89842180774748
575,8597,8593,4,5732,2851,62.8698590236514
126,17048,16849,199,10762,6247,63.30801340466812
494,11263,10295,968,6174,4898,63.49720014450867
63,625,278,347,319,280,62.32554257095158
100,3891,3345,546,2495,1380,64.19638709677419
2921,2765,2642,123,1642,1108,66.56363636363636
91,12612,12437,175,6837,5739,64.40298982188295
42,23424,23371,53,13606,9480,65.1692800831673
103,23946,23663,283,13489,10362,64.03425432895895
1463,4831,4818,13,3417,1414,64.53984682260402
1709,3365,3360,5,2462,868,68.05255255255256
469,3308,3307,1,2155,1153,64.63029020556228
201,5898,5725,173,3086,2785,65.40453074433657
1059,6262,6059,203,4238,2000,65.53270278935557
280,3144,2172,972,1552,1123,64.56785046728972
607,9158,9029,129,5745,3342,65.14570265214041
34,22095,21429,666,14032,7899,64.8750170990835
67,1960,1931,29,1256,702,62.42236976506639
82,1454,1388,66,801,615,66.64477401129943
278,8322,8220,102,4122,4188,63.447412755716
520,9814,9813,1,6181,3612,61.89686510773001
1291,5016,4961,55,3086,1909,64.29309309309309
199,8436,8370,66,4656,3749,66.04366448542534
466,4381,4341,40,2858,1513,65.49645390070921
410,8802,8441,361,5728,3029,66.11487952495146
631,1872,1835,37,1315,555,64.09679144385026
877,3877,3868,9,2737,1125,68.5756084930088
1351,4247,4240,7,2572,1646,65.81602655286866
1536,6216,6182,34,3388,2782,62.88865478119935
467,376,373,3,298,78,67.50797872340425
489,1005,994,11,679,326,67.82786069651742
217,2284,1844,440,1545,700,60.353674832962135
585,24520,24192,328,13996,10411,63.7826852952022
29,4239,4203,36,2801,1430,64.99905459702198
172,5920,5705,215,3743,2093,65.03649760109664
732,1354,257,1097,577,468,60.047846889952154
348,14632,14566,66,7691,6887,64.87584030731239
71,4735,4732,3,3088,1633,65.38318152933701
168,13116,12315,801,7512,5488,65.28461538461538
1752,5350,4079,1271,3352,1882,64.53725640045855
6,2639,2636,3,1979,656,62.61290322580645
246,5806,5772,34,3461,2302,68.5288912024987
257,7451,7449,2,5024,2267,65.84803182005211
659,458,425,33,360,95,68.12087912087912
7041,966,229,737,611,296,63.97133406835722
451,12632,12104,528,7354,5177,65.83377224483282
424,25883,25774,109,15443,10394,63.511978944923946
233,8972,8922,50,5485,3447,65.58094491715181
1676,6072,6013,59,3045,3010,66.78992568125516
175,9685,9482,203,5287,4338,64.66285714285715
1216,740,256,484,401,287,68.96947674418605
1281,1593,1573,20,945,634,65.53261557948069
373,23369,23100,269,12371,10914,63.422374919476056
332,4986,4127,859,2989,1934,64.22303473491773
627,8929,8470,459,5566,3300,64.52436273404015
273,6004,6004,0,3764,2232,66.66310873915944
19,9646,9606,40,5540,4085,62.712
509,2770,2611,159,1929,838,63.62594868088182
311,4530,4135,395,2458,1999,64.50437514022886
260,5229,5228,1,3050,2179,67.85217058711035
1184,5064,5036,28,3598,1444,67.18147560491869
1783,5015,4604,411,2971,2013,65.62640449438203
55,9106,8591,515,4926,4147,64.76997685440317
826,3750,3730,20,2306,1442,65.27454642475988
102,16402,16048,354,10711,5652,63.20479129743934
1921,11699,11611,88,7294,4357,63.37164191914857
224,631,622,9,436,195,67.40095087163233
1008,2415,2366,49,1777,633,62.47053941908714
1740,4903,4878,25,2921,1939,64.56831275720165
136,8106,8091,15,5001,3095,65.66131422924902
1267,14500,14411,89,7781,6628,63.09959053369422
1068,771,549,222,412,299,61.49789029535865
41,21450,20311,1139,12893,8179,65.88586750189825
741,13350,12930,420,7500,5813,64.30443926988657
6021,816,789,27,509,305,66.67444717444718
1460,1443,1411,32,930,513,63.65973665973666
1939,10162,9842,320,6577,3536,62.704044299416594
376,9030,8604,426,5045,3914,63.21185400156268
294,3407,3388,19,2467,911,64.08880994671404
639,3575,3315,260,2225,1315,63.71694915254237
1789,4269,4116,153,2729,1523,62.780338664158045
1437,3856,3805,51,2677,1161,68.51537258989057
191,11377,11366,11,7005,4354,63.869794876309534
1290,8471,8440,31,5275,3179,63.97421339011119
848,3790,3625,165,2422,1368,64.2311345646438
811,17212,17019,193,9638,7562,63.786337209302324
647,2473,1935,538,1379,1059,64.06152584085316
