feature_idx,description,top_modalities,top_orientations,top_structures,mean_activation,combined_rank,interp_score,true_concept_rank,is_successful,distractor_features,distractor_concepts,ranking_output,parse_success,train_activation_mean,val_activation_mean
215,Axial CT of the thorax and mediastinum in a male patient,ct,z,"age, autochthon_left, autochthon_right, esophagus, gender",0.07380487769842148,40.0,0.1683035551109662,2,True,"[5934, 7471, 2667, 1686]","['CT of the rib cage', 'Sagittal CT of the gluteal muscles and hip region in an adult patient.', 'Coronal CT of the bony pelvis and proximal femur in a middle-aged male patient', 'CT of the rib cage']","D, E, A, C, B",True,0.09345608204603195,0.08586158603429794
17,Axial CT of the skull and brain,ct,z,"age, brain, gender, skull, pathology",0.07615065723657607,40.0,0.1272479893079404,1,True,"[2839, 5172, 180, 7942]","['CT of the rib cage and associated structures', 'CT of the thoracic spine and paraspinal muscles', 'Axial CT of the abdomen and thoracic spine', 'CT of the ribs and thoracic spine']","C, B, E, D, A",True,0.10726124793291092,0.09826966375112534
1063,Axial CT of the thorax and mediastinum,ct,z,"age, aorta, autochthon_left, autochthon_right, esophagus",0.07146183997392655,58.0,0.1676849099870162,1,True,"[1796, 4098, 5000, 6807]","['Coronal CT of the rib cage and paraspinal muscles', 'CT of the paraspinal muscles and vertebral bodies', 'Axial CT of the abdomen and retroperitoneum in an adult patient', 'CT of the skull in a male patient']","E, C, B, A, D",True,0.08597572892904282,0.09019932895898819
14,Axial CT of the abdomen and lumbar spine in a middle-aged male patient,ct,z,"age, autochthon_left, autochthon_right, colon, gender",0.07096784859895706,62.0,0.112528903023774,1,True,"[5983, 262, 5915, 201]","['CT of the rib cage in a male patient', 'CT of the skull', 'Coronal CT of the rib cage and thoracic spine', 'CT of the shoulder girdle and upper chest in an adult patient']","A, C, E, B, D",True,0.08561796694993973,0.08076707273721695
259,Axial CT of the gluteal muscles and proximal femur,"ct, mri",z,"age, femur_left, femur_right, gender, gluteus_maximus_left",0.07683014124631882,62.5,0.4392623099098327,1,True,"[1382, 817, 1307, 5060]","['Coronal CT of the thoracic spine and paraspinal muscles', 'CT of the rib cage', 'CT of the rib cage', 'CT of the rib cage']","E, D, A, B, C",True,0.09421821683645248,0.08807168155908585
443,Axial CT of the thoracic spine and paraspinal muscles,ct,z,"age, gender, pathology, aorta, autochthon_left",0.07497502118349075,69.0,0.1007905694637178,4,False,"[752, 7697, 5636, 5553]","['CT of the ribs and thoracic spine', 'CT of the rib cage and associated structures', 'CT of the rib cage and associated structures', 'CT of the skull']","A, E, D, B, C",True,0.08516644686460495,0.08624281734228134
853,Axial CT of the abdomen and retroperitoneum in an elderly patient,ct,z,"age, aorta, autochthon_left, autochthon_right, gender",0.05176297873258591,70.0,0.1459421070752488,1,True,"[7970, 6161, 8183, 3111]","['Axial CT of the shoulder girdle and cervical spine in a male patient', 'CT or MRI of the thorax including the lungs and ribs.', 'CT or MRI of the shoulder girdle in an adult patient.', 'Coronal CT of the skull in an elderly female patient']","C, D, E, A, B",True,0.0620117112994194,0.06558126956224442
3293,Axial CT of the lumbar spine and spinal canal,ct,z,"age, colon, gender, iliopsoas_left, iliopsoas_right",0.03470393121242523,71.0,0.1016456740863287,1,True,"[1789, 7388, 2907, 4460]","['Sagittal CT of the cervical and thoracic spine and spinal canal.', 'CT of the rib cage', 'CT of the skull', 'CT of the rib cage and associated structures']","A, E, B, D, C",True,0.05285201221704483,0.044238246977329254
1317,Axial CT of the thorax and mediastinum in a male patient,ct,z,"age, aorta, autochthon_left, autochthon_right, costal_cartilages",0.06066832095384598,73.5,0.1336936943651965,1,True,"[2227, 710, 1821, 260]","['CT of the spine and spinal canal', 'Sagittal CT of the skull and cervical spine', 'MRI of the brain in an adult patient', 'CT of the proximal femur']","A, C, E, D, B",True,0.06973917037248611,0.06818556040525436
1125,"Axial CT or MRI of the upper abdomen including the liver, pancreas, spleen, stomach, aorta, and spinal canal.","ct, mri",z,"age, aorta, autochthon_left, autochthon_right, inferior_vena_cava",0.038960620760917664,73.5,0.1107052582402088,1,True,"[4752, 1005, 6574, 6017]","['Coronal CT of the rib cage and mediastinum', 'CT of the abdominal vasculature and retroperitoneum', 'Coronal CT of the paraspinal muscles', 'Sagittal CT of the rib cage']","E, A, B, D, C",True,0.06564079225063324,0.05721128731966019
