feature_idx,sample_rank,array_idx,image_id,slice_nr,modality,slice_orientation
215,1,127304,s1344,376,ct,z
215,2,33830,s0374,170,ct,z
215,3,87876,s0949,36,ct,z
215,4,113734,s1172,155,ct,z
215,5,13048,s0138,193,ct,z
17,1,44667,s0537,137,ct,z
17,2,37262,s0411,131,ct,z
17,3,130597,s1410,39,ct,z
17,4,10615,s0103,13,ct,z
17,5,71213,s0754,542,ct,z
1063,1,1486,s0004,340,ct,z
1063,2,10294,s0086,348,ct,z
1063,3,53427,s0617,337,ct,z
1063,4,11017,s0110,7,ct,z
1063,5,64585,s0720,367,ct,z
14,1,100387,s1038,243,ct,z
14,2,125639,s1326,139,ct,z
14,3,2705,s0010,171,ct,z
14,4,80486,s0860,182,ct,z
14,5,119265,s1272,6,ct,z
259,1,65012,s0721,4,ct,z
259,2,117182,s1234,104,ct,z
259,3,73454,s0776,4,ct,z
259,4,134878,s0225,13,mri,z
259,5,131053,s1415,4,ct,z
443,1,1445,s0004,299,ct,z
443,2,60070,s0684,7,ct,z
443,3,8010,s0065,197,ct,z
443,4,80315,s0860,11,ct,z
443,5,100432,s1038,288,ct,z
853,1,116353,s1212,188,ct,z
853,2,49543,s0591,167,ct,z
853,3,16366,s0161,225,ct,z
853,4,131306,s1415,257,ct,z
853,5,51183,s0606,8,ct,z
3293,1,89662,s0957,163,ct,z
3293,2,109589,s1121,325,ct,z
3293,3,91989,s0970,75,ct,z
3293,4,131194,s1415,145,ct,z
3293,5,131915,s1418,182,ct,z
1317,1,64548,s0720,330,ct,z
1317,2,58760,s0664,315,ct,z
1317,3,12944,s0138,89,ct,z
1317,4,17692,s0165,83,ct,z
1317,5,11725,s0115,133,ct,z
1125,1,136344,s0360,55,mri,z
1125,2,30523,s0328,230,ct,z
1125,3,106974,s1083,18,ct,z
1125,4,133402,s0003,7,mri,z
1125,5,33673,s0374,13,ct,z
1509,1,43698,s0536,183,ct,y
1509,2,85727,s0912,161,ct,y
1509,3,123169,s1296,190,ct,y
1509,4,76518,s0806,177,ct,y
1509,5,36461,s0408,170,ct,y
907,1,65858,s0724,210,ct,z
907,2,16186,s0161,45,ct,z
