base_model,sae_config,dict_sizes,top_k_values,M_config,mean_n_features,n_targets,rank_mono,rank_perf,rank_combined,final_rank
biomedparse,D_128_512_2048_8192_K_20_40_80_160,128_512_2048_8192,20_40_80_160,0.3562108105590685,16.805555555555557,18,2.0,3.0,2.5,1.0
biomedparse,D_128_512_2048_8192_K_30_60_120_240,128_512_2048_8192,30_60_120_240,0.315638066189375,18.161290322580644,31,3.0,6.0,4.5,2.0
biomedparse,D_128_512_2048_8192_K_10_20_40_80,128_512_2048_8192,10_20_40_80,0.3942846970083575,22.537634408602152,31,1.0,12.0,6.5,3.0
biomedparse,D_32_128_512_2048_K_20_40_80_160,32_128_512_2048,20_40_80_160,0.2140091548070052,14.63978494623656,31,11.0,2.0,6.5,3.0
biomedparse,D_32_128_512_2048_K_30_60_120_240,32_128_512_2048,30_60_120_240,0.2094888586578775,16.989247311827956,31,12.0,1.0,6.5,3.0
biomedparse,D_32_128_512_2048_K_10_20_40_80,32_128_512_2048,10_20_40_80,0.2665390224792349,11.059139784946236,31,6.0,8.0,7.0,6.0
biomedparse,D_128_512_2048_8192_K_30_30_30_30,128_512_2048_8192,30_30_30_30,0.2207185638329173,14.231182795698924,31,9.0,5.0,7.0,6.0
biomedparse,D_64_256_1024_4096_K_30_60_120_240,64_256_1024_4096,30_60_120_240,0.2556253503818733,20.06989247311828,31,8.0,7.0,7.5,8.0
biomedparse,D_64_256_1024_4096_K_20_40_80_160,64_256_1024_4096,20_40_80_160,0.2649126844155667,19.21505376344086,31,7.0,9.0,8.0,9.0
biomedparse,D_64_256_1024_4096_K_10_20_40_80,64_256_1024_4096,10_20_40_80,0.2919328908109982,27.989247311827956,31,4.0,14.0,9.0,10.0
biomedparse,D_64_256_1024_4096_K_30_30_30_30,64_256_1024_4096,30_30_30_30,0.1695558490053473,4.473118279569892,31,15.0,3.0,9.0,10.0
biomedparse,D_16_64_256_1024_K_5_10_20_40,16_64_256_1024,5_10_20_40,0.1911577756643063,13.725806451612904,31,14.0,11.0,12.5,12.0
biomedparse,D_128_512_2048_8192_K_5_10_20_40,128_512_2048_8192,5_10_20_40,0.2800635742597946,9.28494623655914,31,5.0,22.0,13.5,13.0
biomedparse,D_64_256_1024_4096_K_5_10_20_40,64_256_1024_4096,5_10_20_40,0.2148548994512306,8.510752688172044,31,10.0,17.0,13.5,13.0
biomedparse,D_64_256_1024_4096_K_20_20_20_20,64_256_1024_4096,20_20_20_20,0.1381539368683827,6.655913978494624,31,17.0,10.0,13.5,13.0
biomedparse,D_32_128_512_2048_K_5_10_20_40,32_128_512_2048,5_10_20_40,0.1947187914363148,19.887096774193548,31,13.0,18.0,15.5,16.0
biomedparse,D_128_512_2048_8192_K_20_20_20_20,128_512_2048_8192,20_20_20_20,0.1211584083959311,6.795698924731183,31,19.0,13.0,16.0,17.0
biomedparse,D_16_64_256_1024_K_10_20_40_80,16_64_256_1024,10_20_40_80,0.1377663978294974,10.24731182795699,31,18.0,16.0,17.0,18.0
biomedparse,D_32_128_512_2048_K_30_30_30_30,32_128_512_2048,30_30_30_30,0.1662886128482607,8.682795698924732,31,16.0,20.0,18.0,19.0
biomedparse,D_32_128_512_2048_K_20_20_20_20,32_128_512_2048,20_20_20_20,0.1143959186524701,4.586021505376344,31,21.0,15.0,18.0,19.0
biomedparse,D_16_64_256_1024_K_10_10_10_10,16_64_256_1024,10_10_10_10,0.1151650623691173,3.446236559139785,31,20.0,21.0,20.5,21.0
biomedparse,D_128_512_2048_8192_K_10_10_10_10,128_512_2048_8192,10_10_10_10,0.0665230292437874,20.37037037037037,18,24.0,19.0,21.5,22.0
biomedparse,D_32_128_512_2048_K_10_10_10_10,32_128_512_2048,10_10_10_10,0.0903195307716494,3.4086021505376345,31,22.0,23.0,22.5,23.0
biomedparse,D_64_256_1024_4096_K_10_10_10_10,64_256_1024_4096,10_10_10_10,0.0725299855104063,2.78494623655914,31,23.0,24.0,23.5,24.0
