k,reference_id,reference_slice,sparse_mean,sparse_std,sparse_min,sparse_max,dense_fp_mean,dense_fp_std,dense_fp_min,dense_fp_max
1,s0754,160,0.8991348147392273,0.017595792189240456,0.881199300289154,0.9288100004196167,0.8610466122627258,0.02986234799027443,0.8027399778366089,0.883091151714325
2,s0754,160,0.8934615850448608,0.00511041097342968,0.8893898129463196,0.9034023284912109,0.8679728507995605,0.02236691676080227,0.8416443467140198,0.8955018520355225
3,s0754,160,0.9166777729988098,0.0073567768558859825,0.9062960147857666,0.9268200397491455,0.8809964060783386,0.0280171986669302,0.8542662858963013,0.934440016746521
5,s0754,160,0.9312499761581421,0.02247737906873226,0.8894380927085876,0.9514716267585754,0.9162937998771667,0.024167481809854507,0.8885802030563354,0.9562342166900635
10,s0754,160,0.9365371465682983,0.021601788699626923,0.8973814845085144,0.9532132148742676,0.9156509637832642,0.017652804031968117,0.8842325210571289,0.934440016746521
20,s0754,160,0.9371508359909058,0.021956298500299454,0.8973814845085144,0.9562342166900635,0.9282671809196472,0.025479180738329887,0.8842325210571289,0.956200361251831
50,s0754,160,0.938308596611023,0.01288003008812666,0.9191418886184692,0.9524668455123901,0.9445027112960815,0.011437111534178257,0.9233206510543823,0.956200361251831
100,s0754,160,0.9436954259872437,0.008550585247576237,0.9295651316642761,0.9524668455123901,0.9517704844474792,0.003028376027941704,0.9473737478256226,0.956200361251831
1,s1167,129,0.9446490406990051,0.02375243417918682,0.9013149738311768,0.9719508290290833,0.8742354512214661,0.03708983585238457,0.8187987208366394,0.9205222725868225
2,s1167,129,0.9059089422225952,0.036772530525922775,0.8485859632492065,0.9476847648620605,0.9417988657951355,0.010363783687353134,0.9246008396148682,0.952751874923706
3,s1167,129,0.9319890737533569,0.0332941859960556,0.8739379048347473,0.9701875448226929,0.9474611282348633,0.016714556142687798,0.9268361926078796,0.9764096736907959
5,s1167,129,0.9562114477157593,0.01062806323170662,0.9415637254714966,0.9746536016464233,0.9633505940437317,0.00829681009054184,0.9498172998428345,0.9731026887893677
10,s1167,129,0.9661315083503723,0.0051034255884587765,0.9597647786140442,0.9739089012145996,0.9656656384468079,0.006386167369782925,0.95356285572052,0.971145749092102
20,s1167,129,0.9665788412094116,0.004685521591454744,0.9613350629806519,0.9739089012145996,0.964710533618927,0.006260021589696407,0.95356285572052,0.970792829990387
50,s1167,129,0.9702447652816772,0.001961766043677926,0.9684239625930786,0.9739089012145996,0.9701283574104309,0.0014818032504990697,0.9676831960678101,0.9717419743537903
100,s1167,129,0.9711776971817017,0.003583662211894989,0.9676954746246338,0.9777865409851074,0.970888614654541,0.0019418044248595834,0.9676831960678101,0.9734376072883606
