k,reference_id,reference_slice,sparse_mean,sparse_std,sparse_min,sparse_max,dense_fp_mean,dense_fp_std,dense_fp_min,dense_fp_max
1,s0754,160,0.9974115490913391,0.0020833429880440235,0.9934304356575012,0.9990159869194031,0.7510332465171814,0.1949184089899063,0.438773512840271,0.9816538095474243
2,s0754,160,0.9976192712783813,0.0006014082464389503,0.9964905977249146,0.9982525110244751,0.8264727592468262,0.16705121099948883,0.5735790729522705,0.9977146983146667
3,s0754,160,0.9979780912399292,0.0010697314282879233,0.9963477849960327,0.9994457960128784,0.9449160695075989,0.08285439759492874,0.7801672220230103,0.9987784028053284
5,s0754,160,0.9965461492538452,0.003116559237241745,0.9904282689094543,0.9988515377044678,0.9972208142280579,0.0017578889383003116,0.9948924779891968,0.9993895292282104
10,s0754,160,0.9986560940742493,0.0005145995528437197,0.9978857636451721,0.9994735717773438,0.9976170659065247,0.0005820152582600713,0.9967969655990601,0.9981708526611328
20,s0754,160,0.9991098642349243,0.0002523135335650295,0.9988810420036316,0.9994457960128784,0.9992681741714478,0.0002004004636546597,0.9990164637565613,0.9995308518409729
50,s0754,160,0.9993911981582642,0.00010550747538218275,0.999230682849884,0.9995308518409729,0.9992445707321167,0.00018547124636825174,0.9990134239196777,0.9995308518409729
100,s0754,160,0.9993911981582642,0.00010550747538218275,0.999230682849884,0.9995308518409729,0.9993740320205688,0.00012043844617437571,0.9991722702980042,0.9995308518409729
1,s1167,129,0.9275258779525757,0.13539230823516846,0.6569138765335083,0.9987257719039917,0.6275451183319092,0.23624081909656525,0.29575711488723755,0.9958829879760742
2,s1167,129,0.9962266683578491,0.0019336147233843803,0.9929397702217102,0.9984942078590393,0.9194299578666687,0.13439124822616577,0.65105140209198,0.9969789981842041
3,s1167,129,0.9961002469062805,0.00311539345420897,0.9899985194206238,0.998687207698822,0.9957481622695923,0.002567925723269582,0.9914448261260986,0.9982768297195435
5,s1167,129,0.9977424740791321,0.000793160405009985,0.996306300163269,0.9984298944473267,0.9987509846687317,0.00022015388822183013,0.9983276128768921,0.998934268951416
10,s1167,129,0.9986572265625,0.00033686371170915663,0.9981972575187683,0.9991495013237,0.998113751411438,0.0010614129714667797,0.9960946440696716,0.9991495013237
