rank,feature_idx,coefficient,abs_coefficient
1,31,-11.027814,11.027814
2,52,7.195416,7.195416
3,65,5.716381,5.716381
4,63,5.5458384,5.5458384
5,5,-3.4252424,3.4252424
6,120,3.3056703,3.3056703
7,126,3.1350448,3.1350448
8,22,-2.4978924,2.4978924
9,6,-1.6335653,1.6335653
10,40,0.9921025,0.9921025
11,35,-0.11560605,0.11560605
12,2751,0.0,0.0
13,2726,0.0,0.0
14,2727,0.0,0.0
15,2728,0.0,0.0
16,2729,0.0,0.0
17,2730,0.0,0.0
18,2752,0.0,0.0
19,2731,0.0,0.0
20,2732,0.0,0.0
21,2733,0.0,0.0
22,2734,0.0,0.0
23,2735,0.0,0.0
24,2736,0.0,0.0
25,2747,0.0,0.0
26,2748,0.0,0.0
27,2750,0.0,0.0
28,2738,0.0,0.0
29,2739,0.0,0.0
30,2740,0.0,0.0
31,2725,0.0,0.0
32,2741,0.0,0.0
33,2742,0.0,0.0
34,2743,0.0,0.0
35,2744,0.0,0.0
36,2745,0.0,0.0
37,2749,0.0,0.0
38,2746,0.0,0.0
39,2737,0.0,0.0
40,8191,0.0,0.0
41,2724,0.0,0.0
42,2708,0.0,0.0
43,2694,0.0,0.0
44,2695,0.0,0.0
45,2696,0.0,0.0
46,2697,0.0,0.0
47,2698,0.0,0.0
48,2699,0.0,0.0
49,2700,0.0,0.0
50,2701,0.0,0.0
51,2702,0.0,0.0
52,2703,0.0,0.0
53,2704,0.0,0.0
54,2705,0.0,0.0
55,2706,0.0,0.0
56,2707,0.0,0.0
57,2709,0.0,0.0
58,2723,0.0,0.0
59,2710,0.0,0.0
60,2711,0.0,0.0
61,2712,0.0,0.0
62,2713,0.0,0.0
63,2714,0.0,0.0
64,2715,0.0,0.0
65,2716,0.0,0.0
66,2717,0.0,0.0
67,2718,0.0,0.0
68,2719,0.0,0.0
69,2720,0.0,0.0
70,2721,0.0,0.0
71,2754,0.0,0.0
72,2722,0.0,0.0
73,2753,0.0,0.0
74,2759,0.0,0.0
75,2755,0.0,0.0
76,2756,0.0,0.0
77,2789,0.0,0.0
78,2790,0.0,0.0
79,2791,0.0,0.0
80,2792,0.0,0.0
81,2793,0.0,0.0
82,2794,0.0,0.0
83,2795,0.0,0.0
84,2796,0.0,0.0
85,2797,0.0,0.0
86,2798,0.0,0.0
87,2799,0.0,0.0
88,2800,0.0,0.0
89,2801,0.0,0.0
90,2802,0.0,0.0
91,2803,0.0,0.0
92,2804,0.0,0.0
93,2805,0.0,0.0
94,2806,0.0,0.0
95,2807,0.0,0.0
96,2808,0.0,0.0
97,2809,0.0,0.0
98,2810,0.0,0.0
99,2811,0.0,0.0
100,2812,0.0,0.0
