rank,feature_idx,coefficient,abs_coefficient
1,302,5.6515703,5.6515703
2,1471,4.2237415,4.2237415
3,281,4.218989,4.218989
4,1045,3.7978592,3.7978592
5,1228,3.7737823,3.7737823
6,73,3.7085044,3.7085044
7,984,3.6624668,3.6624668
8,340,3.652284,3.652284
9,1194,3.623972,3.623972
10,1393,3.6050203,3.6050203
11,792,3.5046303,3.5046303
12,1123,3.4128635,3.4128635
13,161,3.295266,3.295266
14,1379,3.1905177,3.1905177
15,713,3.1866658,3.1866658
16,688,3.0382876,3.0382876
17,1531,3.024212,3.024212
18,529,2.9988809,2.9988809
19,973,2.748118,2.748118
20,960,2.7333686,2.7333686
21,534,2.7210689,2.7210689
22,1042,2.7049735,2.7049735
23,124,2.6952395,2.6952395
24,851,2.6295931,2.6295931
25,115,2.626061,2.626061
26,1343,2.6002774,2.6002774
27,189,2.5892012,2.5892012
28,487,2.5859866,2.5859866
29,827,2.544401,2.544401
30,121,2.542713,2.542713
31,1528,2.4901242,2.4901242
32,1098,2.4703934,2.4703934
33,1293,2.440577,2.440577
34,1331,2.430261,2.430261
35,1485,2.4251363,2.4251363
36,963,2.392761,2.392761
37,462,2.379232,2.379232
38,1344,2.336778,2.336778
39,262,2.3310294,2.3310294
40,983,2.3164496,2.3164496
41,1267,2.3031814,2.3031814
42,394,2.2906325,2.2906325
43,680,2.2584558,2.2584558
44,519,2.2377865,2.2377865
45,894,2.233193,2.233193
46,1249,2.2272203,2.2272203
47,1164,2.2159162,2.2159162
48,875,2.201626,2.201626
49,1057,2.178575,2.178575
50,1502,2.173535,2.173535
51,939,2.1609275,2.1609275
52,1125,2.1601615,2.1601615
53,227,2.1577213,2.1577213
54,653,2.1491292,2.1491292
55,899,2.134206,2.134206
56,626,2.126888,2.126888
57,1233,2.1259816,2.1259816
58,1167,2.124133,2.124133
59,264,2.115967,2.115967
60,363,2.1148398,2.1148398
61,1118,2.1036658,2.1036658
62,512,2.096555,2.096555
63,66,2.0962389,2.0962389
64,637,2.0897553,2.0897553
65,326,2.0717494,2.0717494
66,1237,2.0477576,2.0477576
67,344,2.03975,2.03975
68,203,2.0378313,2.0378313
69,676,2.029578,2.029578
70,389,2.0069933,2.0069933
71,1454,2.003721,2.003721
72,248,2.0024312,2.0024312
73,967,2.002216,2.002216
74,1473,1.998485,1.998485
75,1523,1.9966234,1.9966234
76,972,1.9957354,1.9957354
77,397,1.9901327,1.9901327
78,303,1.9824343,1.9824343
79,770,1.9808761,1.9808761
80,152,1.959055,1.959055
81,558,1.9564968,1.9564968
82,515,1.9512596,1.9512596
83,101,1.947064,1.947064
84,285,1.9262935,1.9262935
85,1128,1.9223869,1.9223869
86,890,1.9194372,1.9194372
87,69,1.9034606,1.9034606
88,1242,1.8971435,1.8971435
89,786,1.8759242,1.8759242
90,949,1.872532,1.872532
91,1097,1.870858,1.870858
92,1072,1.8478109,1.8478109
93,1334,1.8476065,1.8476065
94,602,1.8408045,1.8408045
95,1355,1.8359996,1.8359996
96,1168,1.8329716,1.8329716
97,1044,1.822511,1.822511
98,216,1.8192909,1.8192909
99,111,1.8180579,1.8180579
100,146,1.8113173,1.8113173
