rank,feature_idx,coefficient,abs_coefficient
1,120,10.907592,10.907592
2,65,9.92822,9.92822
3,52,9.156262,9.156262
4,5,9.004397,9.004397
5,6,8.722045,8.722045
6,22,7.9907937,7.9907937
7,54,7.870678,7.870678
8,31,7.4554133,7.4554133
9,63,4.606733,4.606733
10,35,1.5452545,1.5452545
11,1,1.2130715,1.2130715
12,47,1.2042502,1.2042502
13,416,1.178542,1.178542
14,17,0.72711277,0.72711277
15,126,0.3168134,0.3168134
16,201,0.1846299,0.1846299
17,39,0.081762396,0.081762396
18,40,0.045253377,0.045253377
19,3574,0.0049701924,0.0049701924
20,412,0.0011245171,0.0011245171
21,4954,0.00036795012,0.00036795012
22,493,0.00033143902,0.00033143902
23,285,0.00030512144,0.00030512144
24,2126,0.00016656553,0.00016656553
25,1778,0.000147316,0.000147316
26,6619,9.099534e-05,9.099534e-05
27,7337,3.5251018e-05,3.5251018e-05
28,1395,1.2725703e-05,1.2725703e-05
29,4287,1.8319084e-06,1.8319084e-06
30,5790,5.0015063e-07,5.0015063e-07
31,2715,0.0,0.0
32,2716,0.0,0.0
33,2733,0.0,0.0
34,2734,0.0,0.0
35,2735,0.0,0.0
36,2736,0.0,0.0
37,2737,0.0,0.0
38,2702,0.0,0.0
39,2701,0.0,0.0
40,2738,0.0,0.0
41,2739,0.0,0.0
42,2740,0.0,0.0
43,2741,0.0,0.0
44,2742,0.0,0.0
45,2743,0.0,0.0
46,2744,0.0,0.0
47,2745,0.0,0.0
48,2700,0.0,0.0
49,2746,0.0,0.0
50,2747,0.0,0.0
51,2748,0.0,0.0
52,2749,0.0,0.0
53,2699,0.0,0.0
54,2698,0.0,0.0
55,2750,0.0,0.0
56,2751,0.0,0.0
57,2732,0.0,0.0
58,2731,0.0,0.0
59,2730,0.0,0.0
60,2752,0.0,0.0
61,2714,0.0,0.0
62,2713,0.0,0.0
63,2717,0.0,0.0
64,2718,0.0,0.0
65,2719,0.0,0.0
66,2712,0.0,0.0
67,2711,0.0,0.0
68,2720,0.0,0.0
69,2710,0.0,0.0
70,2709,0.0,0.0
71,2708,0.0,0.0
72,2722,0.0,0.0
73,2703,0.0,0.0
74,2707,0.0,0.0
75,2723,0.0,0.0
76,2724,0.0,0.0
77,2725,0.0,0.0
78,2706,0.0,0.0
79,2726,0.0,0.0
80,2705,0.0,0.0
81,2727,0.0,0.0
82,2728,0.0,0.0
83,2704,0.0,0.0
84,2729,0.0,0.0
85,2721,0.0,0.0
86,2761,0.0,0.0
87,2753,0.0,0.0
88,2800,0.0,0.0
89,2787,0.0,0.0
90,2788,0.0,0.0
91,2789,0.0,0.0
92,2790,0.0,0.0
93,2791,0.0,0.0
94,2792,0.0,0.0
95,2793,0.0,0.0
96,2794,0.0,0.0
97,2795,0.0,0.0
98,2796,0.0,0.0
99,2797,0.0,0.0
100,2798,0.0,0.0
