rank,feature_idx,coefficient,abs_coefficient
1,37,13.092837,13.092837
2,95,11.742353,11.742353
3,108,10.634508,10.634508
4,94,10.313383,10.313383
5,96,9.313064,9.313064
6,67,8.626549,8.626549
7,22,8.390515,8.390515
8,25,8.282853,8.282853
9,115,8.279628,8.279628
10,240,6.720491,6.720491
11,113,6.1580973,6.1580973
12,241,4.2713575,4.2713575
13,225,4.162693,4.162693
14,181,3.6576767,3.6576767
15,1269,3.6355445,3.6355445
16,410,3.350848,3.350848
17,308,3.339854,3.339854
18,1862,3.2613673,3.2613673
19,480,3.0108867,3.0108867
20,2014,2.8752763,2.8752763
21,368,2.7185092,2.7185092
22,5719,2.6262803,2.6262803
23,1045,2.4416645,2.4416645
24,1800,2.1257396,2.1257396
25,331,2.0722451,2.0722451
26,203,2.0541863,2.0541863
27,162,1.9674559,1.9674559
28,983,1.9048283,1.9048283
29,1804,1.8804139,1.8804139
30,217,1.8477666,1.8477666
31,402,1.8182884,1.8182884
32,293,1.8138103,1.8138103
33,343,1.8006572,1.8006572
34,1406,1.8004769,1.8004769
35,73,1.7689781,1.7689781
36,137,1.7107447,1.7107447
37,1836,1.6929109,1.6929109
38,377,1.5948312,1.5948312
39,827,1.5649012,1.5649012
40,438,1.5333027,1.5333027
41,418,1.4208548,1.4208548
42,133,1.4108717,1.4108717
43,124,1.4098049,1.4098049
44,1910,1.4036924,1.4036924
45,55,1.4023321,1.4023321
46,1356,1.4022008,1.4022008
47,386,1.3985939,1.3985939
48,301,1.3850092,1.3850092
49,282,1.384185,1.384185
50,216,1.3698796,1.3698796
51,451,1.3361777,1.3361777
52,179,1.3310738,1.3310738
53,463,1.3187996,1.3187996
54,882,1.2948093,1.2948093
55,448,1.275485,1.275485
56,507,1.2635419,1.2635419
57,1766,1.2595013,1.2595013
58,1276,1.2423424,1.2423424
59,351,1.1931002,1.1931002
60,1102,1.1882142,1.1882142
61,1056,1.176883,1.176883
62,6753,1.1689056,1.1689056
63,1372,1.1438715,1.1438715
64,1562,1.1234773,1.1234773
65,311,1.0978161,1.0978161
66,1744,1.0877537,1.0877537
67,948,1.0216459,1.0216459
68,180,1.0146401,1.0146401
69,99,1.0050818,1.0050818
70,1702,0.9973578,0.9973578
71,1070,0.99636596,0.99636596
72,1134,0.99243367,0.99243367
73,47,0.9844393,0.9844393
74,1988,0.9819656,0.9819656
75,125,0.96914387,0.96914387
76,682,0.9441446,0.9441446
77,1024,0.9429084,0.9429084
78,577,0.94216543,0.94216543
79,378,0.93013436,0.93013436
80,59,0.90140563,0.90140563
81,7,0.8999575,0.8999575
82,1917,0.8721992,0.8721992
83,1223,0.8609424,0.8609424
84,472,0.84728867,0.84728867
85,1337,0.8406263,0.8406263
86,367,0.8399779,0.8399779
87,1860,0.8330807,0.8330807
88,1007,0.83133835,0.83133835
89,275,0.8183454,0.8183454
90,5134,0.79486626,0.79486626
91,1579,0.77982,0.77982
92,1329,0.76843965,0.76843965
93,1896,0.74873626,0.74873626
94,191,0.7435465,0.7435465
95,1851,0.74076426,0.74076426
96,1921,0.73518974,0.73518974
97,188,0.7315846,0.7315846
98,21,0.7188874,0.7188874
99,5588,0.71607846,0.71607846
100,1965,0.70953834,0.70953834
