rank,feature_idx,coefficient,abs_coefficient
1,55,13.321007,13.321007
2,42,11.186406,11.186406
3,37,10.982717,10.982717
4,82,10.228494,10.228494
5,38,9.482366,9.482366
6,60,9.385179,9.385179
7,94,8.96505,8.96505
8,118,7.243542,7.243542
9,78,6.982432,6.982432
10,28,6.7015,6.7015
11,10,6.446011,6.446011
12,43,6.387857,6.387857
13,107,5.672609,5.672609
14,2,5.294712,5.294712
15,49,5.272022,5.272022
16,25,4.8825803,4.8825803
17,104,4.1862907,4.1862907
18,34,3.4399672,3.4399672
19,16,3.2904842,3.2904842
20,50,3.2255325,3.2255325
21,5,3.180501,3.180501
22,1920,3.1735647,3.1735647
23,4,2.608527,2.608527
24,23,2.495526,2.495526
25,169,2.3849597,2.3849597
26,1334,1.9929155,1.9929155
27,476,1.6304175,1.6304175
28,89,1.5519336,1.5519336
29,109,1.5387539,1.5387539
30,1933,1.4666706,1.4666706
31,122,1.31314,1.31314
32,83,1.310693,1.310693
33,124,1.1756433,1.1756433
34,74,1.047526,1.047526
35,120,0.7335906,0.7335906
36,713,0.6917022,0.6917022
37,371,0.6483905,0.6483905
38,367,0.64677256,0.64677256
39,2553,0.6371339,0.6371339
40,427,0.61778057,0.61778057
41,1605,0.5009088,0.5009088
42,281,0.48990607,0.48990607
43,461,0.450753,0.450753
44,92,0.31778446,0.31778446
45,100,0.29797533,0.29797533
46,174,0.2793229,0.2793229
47,1304,0.266884,0.266884
48,156,0.22273135,0.22273135
49,302,0.21817464,0.21817464
50,374,0.18919344,0.18919344
51,1574,0.11433506,0.11433506
52,53,0.11369657,0.11369657
53,77,0.09977671,0.09977671
54,254,0.09499586,0.09499586
55,1528,0.09246314,0.09246314
56,167,0.08135159,0.08135159
57,85,0.08033425,0.08033425
58,377,0.07411153,0.07411153
59,5929,0.062807,0.062807
60,942,0.049111847,0.049111847
61,17,0.04777668,0.04777668
62,27,0.035039347,0.035039347
63,171,0.027684443,0.027684443
64,1119,0.026863366,0.026863366
65,320,0.026609642,0.026609642
66,1625,0.024053454,0.024053454
67,1805,0.017657707,0.017657707
68,5319,0.013648332,0.013648332
69,45,0.011360973,0.011360973
70,1255,0.009960647,0.009960647
71,6478,0.0074305865,0.0074305865
72,1251,0.006469889,0.006469889
73,3,0.0064407643,0.0064407643
74,36,0.0061614695,0.0061614695
75,47,0.0049993335,0.0049993335
76,98,0.004924827,0.004924827
77,288,0.004553866,0.004553866
78,477,0.0044981968,0.0044981968
79,87,0.0038792172,0.0038792172
80,69,0.0037156902,0.0037156902
81,7556,0.0033512928,0.0033512928
82,4269,0.0029765863,0.0029765863
83,3218,0.0028856539,0.0028856539
84,356,0.0024488294,0.0024488294
85,95,0.002368713,0.002368713
86,251,0.0023027076,0.0023027076
87,843,0.0020639293,0.0020639293
88,41,0.0019986092,0.0019986092
89,67,0.0019278792,0.0019278792
90,385,0.0016202984,0.0016202984
91,2611,0.0015842658,0.0015842658
92,1369,0.00141702,0.00141702
93,668,0.0013137214,0.0013137214
94,5205,0.001281937,0.001281937
95,973,0.001277166,0.001277166
96,1196,0.0011587031,0.0011587031
97,1738,0.0009914982,0.0009914982
98,859,0.00082734396,0.00082734396
99,79,0.0007809177,0.0007809177
100,1494,0.0007541331,0.0007541331
