rank,feature_idx,coefficient,abs_coefficient
1,8,12.86978,12.86978
2,107,8.917768,8.917768
3,15,8.727317,8.727317
4,1,8.693904,8.693904
5,87,7.865979,7.865979
6,4,6.933263,6.933263
7,50,6.618371,6.618371
8,442,6.103854,6.103854
9,455,5.580022,5.580022
10,86,5.3154464,5.3154464
11,32,4.972041,4.972041
12,376,3.9071229,3.9071229
13,225,3.8992646,3.8992646
14,61,3.8763053,3.8763053
15,130,3.8627102,3.8627102
16,1510,3.7520204,3.7520204
17,41,3.7419362,3.7419362
18,142,3.6754174,3.6754174
19,262,3.6410565,3.6410565
20,274,3.6226132,3.6226132
21,1608,3.5699127,3.5699127
22,247,3.5443215,3.5443215
23,28,3.5340145,3.5340145
24,97,3.4859452,3.4859452
25,48,3.4567723,3.4567723
26,210,3.4034448,3.4034448
27,477,3.3829741,3.3829741
28,120,3.3250566,3.3250566
29,329,3.1994524,3.1994524
30,38,3.1123424,3.1123424
31,1019,3.0317128,3.0317128
32,114,2.9865017,2.9865017
33,83,2.9556699,2.9556699
34,23,2.8315873,2.8315873
35,335,2.8060827,2.8060827
36,92,2.7155712,2.7155712
37,59,2.7136734,2.7136734
38,297,2.6250138,2.6250138
39,422,2.6239657,2.6239657
40,345,2.6071842,2.6071842
41,55,2.5529847,2.5529847
42,564,2.5357642,2.5357642
43,1169,2.5024748,2.5024748
44,307,2.4712842,2.4712842
45,123,2.469214,2.469214
46,89,2.3819938,2.3819938
47,250,2.3819032,2.3819032
48,1288,2.3776054,2.3776054
49,235,2.3654122,2.3654122
50,119,2.3501968,2.3501968
51,287,2.3401194,2.3401194
52,1171,2.33971,2.33971
53,1064,2.3034565,2.3034565
54,352,2.2319548,2.2319548
55,1103,2.1716397,2.1716397
56,356,2.1487134,2.1487134
57,881,2.1423168,2.1423168
58,451,2.1078033,2.1078033
59,468,2.100222,2.100222
60,40,2.0832665,2.0832665
61,157,2.0768018,2.0768018
62,508,2.0545948,2.0545948
63,843,2.034795,2.034795
64,1877,1.9322052,1.9322052
65,393,1.925587,1.925587
66,746,1.9189879,1.9189879
67,995,1.9186577,1.9186577
68,131,1.8969237,1.8969237
69,320,1.8362706,1.8362706
70,586,1.8170185,1.8170185
71,384,1.7610419,1.7610419
72,655,1.7447052,1.7447052
73,942,1.7395903,1.7395903
74,84,1.727226,1.727226
75,1781,1.7227442,1.7227442
76,1817,1.7130505,1.7130505
77,382,1.7076585,1.7076585
78,1519,1.6995165,1.6995165
79,19,1.692429,1.692429
80,369,1.6492478,1.6492478
81,409,1.6301434,1.6301434
82,399,1.5888854,1.5888854
83,181,1.5867039,1.5867039
84,463,1.550596,1.550596
85,454,1.5394647,1.5394647
86,427,1.5384772,1.5384772
87,1984,1.5222685,1.5222685
88,13,1.5157591,1.5157591
89,737,1.5112226,1.5112226
90,961,1.4956623,1.4956623
91,241,1.4616401,1.4616401
92,1236,1.4565395,1.4565395
93,434,1.4530522,1.4530522
94,16,1.4504098,1.4504098
95,1217,1.4293616,1.4293616
96,789,1.4182649,1.4182649
97,144,1.396695,1.396695
98,176,1.3920685,1.3920685
99,948,1.3899524,1.3899524
100,340,1.3898442,1.3898442
