rank,feature_idx,coefficient,abs_coefficient
1,13,8.014699,8.014699
2,50,7.706995,7.706995
3,41,6.429533,6.429533
4,32,6.1134186,6.1134186
5,23,5.918139,5.918139
6,4,5.4200096,5.4200096
7,1,5.2019367,5.2019367
8,48,4.7863374,4.7863374
9,40,4.7592773,4.7592773
10,38,4.200816,4.200816
11,89,3.9832222,3.9832222
12,59,3.9777749,3.9777749
13,87,3.9451046,3.9451046
14,376,3.8145885,3.8145885
15,119,3.7097485,3.7097485
16,157,3.683586,3.683586
17,434,3.6241367,3.6241367
18,329,3.6023118,3.6023118
19,1620,3.5158212,3.5158212
20,352,3.4221506,3.4221506
21,28,3.335595,3.335595
22,477,3.2635338,3.2635338
23,209,3.1559937,3.1559937
24,455,3.0118628,3.0118628
25,262,3.0071113,3.0071113
26,1144,2.925782,2.925782
27,304,2.8898036,2.8898036
28,123,2.8791704,2.8791704
29,1930,2.7613156,2.7613156
30,8,2.7300518,2.7300518
31,320,2.7292423,2.7292423
32,235,2.609177,2.609177
33,83,2.5932434,2.5932434
34,107,2.5352547,2.5352547
35,225,2.511168,2.511168
36,902,2.4971037,2.4971037
37,1628,2.420561,2.420561
38,651,2.2878015,2.2878015
39,1608,2.2748716,2.2748716
40,151,2.2731335,2.2731335
41,1236,2.2453825,2.2453825
42,442,2.2168694,2.2168694
43,297,2.1715133,2.1715133
44,360,2.1706727,2.1706727
45,1817,2.094225,2.094225
46,1288,1.9794265,1.9794265
47,1086,1.9435616,1.9435616
48,1277,1.9407352,1.9407352
49,1844,1.916716,1.916716
50,1984,1.8851691,1.8851691
51,111,1.8779238,1.8779238
52,267,1.8460841,1.8460841
53,210,1.8386674,1.8386674
54,1019,1.802358,1.802358
55,190,1.7908481,1.7908481
56,881,1.7441006,1.7441006
57,0,1.7024355,1.7024355
58,948,1.6954316,1.6954316
59,247,1.6568133,1.6568133
60,1566,1.6161938,1.6161938
61,288,1.5949622,1.5949622
62,1103,1.5835958,1.5835958
63,467,1.5697656,1.5697656
64,843,1.5592432,1.5592432
65,995,1.5551867,1.5551867
66,1169,1.5458082,1.5458082
67,1735,1.5313324,1.5313324
68,177,1.4933313,1.4933313
69,61,1.4916973,1.4916973
70,273,1.4896641,1.4896641
71,246,1.4881567,1.4881567
72,1308,1.4758536,1.4758536
73,230,1.465088,1.465088
74,299,1.4442002,1.4442002
75,413,1.4387678,1.4387678
76,509,1.4124278,1.4124278
77,421,1.3879913,1.3879913
78,1314,1.369187,1.369187
79,1064,1.365569,1.365569
80,244,1.3607992,1.3607992
81,586,1.3580376,1.3580376
82,393,1.3432851,1.3432851
83,120,1.3415204,1.3415204
84,281,1.338088,1.338088
85,426,1.3216008,1.3216008
86,144,1.311658,1.311658
87,287,1.3022372,1.3022372
88,571,1.2954125,1.2954125
89,746,1.2903904,1.2903904
90,142,1.270492,1.270492
91,655,1.2636217,1.2636217
92,458,1.2601182,1.2601182
93,391,1.2518411,1.2518411
94,250,1.2468598,1.2468598
95,58,1.2448437,1.2448437
96,487,1.2433476,1.2433476
97,176,1.2415698,1.2415698
98,1009,1.2209247,1.2209247
99,435,1.2090492,1.2090492
100,9,1.2065312,1.2065312
