rank,feature_idx,coefficient,abs_coefficient
1,532,2.7104535,2.7104535
2,320,2.477022,2.477022
3,47,2.3638794,2.3638794
4,845,1.9178275,1.9178275
5,1258,1.857514,1.857514
6,904,1.8566006,1.8566006
7,1414,1.8120759,1.8120759
8,1232,1.7899499,1.7899499
9,307,1.7461131,1.7461131
10,1368,1.7203629,1.7203629
11,807,1.7143048,1.7143048
12,1479,1.7069122,1.7069122
13,496,1.706884,1.706884
14,1355,1.695256,1.695256
15,341,1.6922714,1.6922714
16,1436,1.6838144,1.6838144
17,681,1.6770681,1.6770681
18,548,1.6662201,1.6662201
19,1502,1.6312233,1.6312233
20,196,1.6146927,1.6146927
21,595,1.577838,1.577838
22,1487,1.5598917,1.5598917
23,298,1.5506423,1.5506423
24,812,1.5105958,1.5105958
25,299,1.5082403,1.5082403
26,1429,1.4915452,1.4915452
27,1409,1.397671,1.397671
28,1524,1.3571888,1.3571888
29,1315,1.3542308,1.3542308
30,1170,1.3312933,1.3312933
31,792,1.3217947,1.3217947
32,1251,1.3113624,1.3113624
33,302,1.3090752,1.3090752
34,1458,1.2924685,1.2924685
35,1322,1.1975297,1.1975297
36,480,1.190869,1.190869
37,383,1.1857799,1.1857799
38,513,1.1853524,1.1853524
39,1098,1.1731588,1.1731588
40,635,1.1601171,1.1601171
41,477,1.1499983,1.1499983
42,1434,1.1443914,1.1443914
43,199,1.1362659,1.1362659
44,205,1.1275454,1.1275454
45,475,1.1262506,1.1262506
46,1188,1.1180538,1.1180538
47,1403,1.116518,1.116518
48,1500,1.1026094,1.1026094
49,512,1.0903932,1.0903932
50,460,1.076251,1.076251
51,1433,1.0572683,1.0572683
52,526,1.0508522,1.0508522
53,216,1.0500448,1.0500448
54,555,1.0435692,1.0435692
55,163,1.0432236,1.0432236
56,1228,1.0409185,1.0409185
57,89,1.034478,1.034478
58,1183,1.024503,1.024503
59,1483,1.0220845,1.0220845
60,1504,1.0167111,1.0167111
61,530,1.0164382,1.0164382
62,191,1.011546,1.011546
63,173,1.0063928,1.0063928
64,1343,0.99999905,0.99999905
65,949,0.99999714,0.99999714
66,879,0.999997,0.999997
67,759,0.9999969,0.9999969
68,951,0.99999654,0.99999654
69,1475,0.9999957,0.9999957
70,538,0.9999944,0.9999944
71,335,0.99999416,0.99999416
72,846,0.99999404,0.99999404
73,1399,0.9999931,0.9999931
74,438,0.9999926,0.9999926
75,788,0.999992,0.999992
76,918,0.9997959,0.9997959
77,465,0.99947673,0.99947673
78,101,0.9987579,0.9987579
79,906,0.99809134,0.99809134
80,1394,0.99765676,0.99765676
81,1261,0.9814813,0.9814813
82,1217,0.9795665,0.9795665
83,752,0.97882545,0.97882545
84,598,0.97181225,0.97181225
85,1186,0.9654294,0.9654294
86,1497,0.96239394,0.96239394
87,888,0.9598827,0.9598827
88,740,0.9547867,0.9547867
89,1082,0.9533652,0.9533652
90,958,0.9528915,0.9528915
91,181,0.9525745,0.9525745
92,74,0.94850695,0.94850695
93,1235,0.9476831,0.9476831
94,648,0.9396216,0.9396216
95,840,0.93927306,0.93927306
96,1122,0.93535554,0.93535554
97,680,0.92888445,0.92888445
98,1208,0.92624044,0.92624044
99,414,0.9248755,0.9248755
100,430,0.9242263,0.9242263
