rank,feature_idx,coefficient,abs_coefficient
1,95,77.33309,77.33309
2,120,41.863632,41.863632
3,38,40.915043,40.915043
4,66,38.747746,38.747746
5,112,32.947052,32.947052
6,7,27.353079,27.353079
7,323,18.337816,18.337816
8,60,18.13569,18.13569
9,5,17.038519,17.038519
10,127,14.879013,14.879013
11,56,14.560822,14.560822
12,58,14.479912,14.479912
13,161,13.135163,13.135163
14,119,13.049619,13.049619
15,17,12.601238,12.601238
16,710,12.447001,12.447001
17,25,12.262093,12.262093
18,73,11.432648,11.432648
19,117,10.664233,10.664233
20,89,9.818875,9.818875
21,49,9.75419,9.75419
22,78,7.8499255,7.8499255
23,11,7.637468,7.637468
24,440,7.347467,7.347467
25,406,7.326223,7.326223
26,336,6.33754,6.33754
27,67,3.8282878,3.8282878
28,302,3.5679018,3.5679018
29,397,3.3932686,3.3932686
30,1679,3.3841136,3.3841136
31,448,3.3109949,3.3109949
32,1887,2.7692614,2.7692614
33,34,2.596471,2.596471
34,33,2.497038,2.497038
35,265,2.4778688,2.4778688
36,1796,2.4489543,2.4489543
37,504,2.4483001,2.4483001
38,82,2.3400924,2.3400924
39,135,2.3268905,2.3268905
40,90,1.7149702,1.7149702
41,105,1.6873163,1.6873163
42,480,1.6085323,1.6085323
43,47,1.5493307,1.5493307
44,16,1.4977299,1.4977299
45,249,1.443178,1.443178
46,487,1.4320579,1.4320579
47,404,1.3998216,1.3998216
48,145,1.3692335,1.3692335
49,43,1.3426682,1.3426682
50,655,1.184561,1.184561
51,175,1.1229788,1.1229788
52,104,1.0820112,1.0820112
53,213,1.0701149,1.0701149
54,509,1.0682956,1.0682956
55,110,1.0665116,1.0665116
56,4464,1.0311344,1.0311344
57,248,1.01374,1.01374
58,349,0.9990453,0.9990453
59,1355,0.9644258,0.9644258
60,452,0.9427509,0.9427509
61,40,0.8903842,0.8903842
62,7631,0.8283054,0.8283054
63,6,0.8235151,0.8235151
64,2207,0.8159494,0.8159494
65,46,0.8024693,0.8024693
66,20,0.79575825,0.79575825
67,467,0.696264,0.696264
68,76,0.66999584,0.66999584
69,8141,0.66183305,0.66183305
70,81,0.6439469,0.6439469
71,63,0.5987234,0.5987234
72,5069,0.57170004,0.57170004
73,35,0.5492497,0.5492497
74,57,0.5278479,0.5278479
75,133,0.50042796,0.50042796
76,3953,0.49622414,0.49622414
77,433,0.46882358,0.46882358
78,1213,0.4669824,0.4669824
79,252,0.4635979,0.4635979
80,5098,0.46215054,0.46215054
81,41,0.4415431,0.4415431
82,2591,0.43542373,0.43542373
83,1890,0.41641498,0.41641498
84,620,0.4022291,0.4022291
85,42,0.40220007,0.40220007
86,6231,0.3943995,0.3943995
87,324,0.39410436,0.39410436
88,5746,0.3916917,0.3916917
89,116,0.39081702,0.39081702
90,240,0.3781471,0.3781471
91,447,0.37340984,0.37340984
92,191,0.31844965,0.31844965
93,6378,0.29686344,0.29686344
94,491,0.29437375,0.29437375
95,892,0.26576704,0.26576704
96,223,0.2560903,0.2560903
97,1458,0.23821366,0.23821366
98,55,0.23193948,0.23193948
99,862,0.21349339,0.21349339
100,226,0.2107467,0.2107467
