rank,feature_idx,coefficient,abs_coefficient
1,46,13.241003,13.241003
2,25,10.214614,10.214614
3,12,8.865805,8.865805
4,16,7.621395,7.621395
5,59,7.147937,7.147937
6,31,7.0358033,7.0358033
7,37,6.7033396,6.7033396
8,88,6.577115,6.577115
9,322,6.4423704,6.4423704
10,60,6.40608,6.40608
11,114,6.3015676,6.3015676
12,126,5.883526,5.883526
13,110,5.8482676,5.8482676
14,91,5.6786923,5.6786923
15,32,5.62074,5.62074
16,38,5.5820646,5.5820646
17,79,5.4596453,5.4596453
18,20,4.8552585,4.8552585
19,143,4.62426,4.62426
20,64,4.5317073,4.5317073
21,10,4.4778833,4.4778833
22,338,4.265566,4.265566
23,113,4.095126,4.095126
24,120,3.9146094,3.9146094
25,95,3.8400707,3.8400707
26,360,3.6212602,3.6212602
27,21,3.6057096,3.6057096
28,410,3.5252209,3.5252209
29,617,3.5186975,3.5186975
30,1191,3.4615762,3.4615762
31,321,3.4276345,3.4276345
32,112,3.3894024,3.3894024
33,28,3.3173044,3.3173044
34,4,3.2360241,3.2360241
35,770,3.2103732,3.2103732
36,355,3.185527,3.185527
37,833,3.0291114,3.0291114
38,523,2.9697878,2.9697878
39,106,2.967148,2.967148
40,140,2.9568214,2.9568214
41,26,2.8934724,2.8934724
42,1141,2.8147776,2.8147776
43,68,2.7609975,2.7609975
44,7,2.7530277,2.7530277
45,830,2.7412467,2.7412467
46,149,2.6636434,2.6636434
47,1291,2.6479318,2.6479318
48,529,2.6362267,2.6362267
49,296,2.5842013,2.5842013
50,158,2.4613576,2.4613576
51,104,2.4378982,2.4378982
52,1714,2.3865068,2.3865068
53,48,2.3670003,2.3670003
54,36,2.3660305,2.3660305
55,618,2.3585384,2.3585384
56,1027,2.334871,2.334871
57,1248,2.2331166,2.2331166
58,946,2.2298083,2.2298083
59,949,2.2112386,2.2112386
60,1611,2.1719136,2.1719136
61,308,2.1625555,2.1625555
62,400,2.1195862,2.1195862
63,19,2.081525,2.081525
64,121,2.01811,2.01811
65,328,2.006637,2.006637
66,1613,1.9822165,1.9822165
67,145,1.9668547,1.9668547
68,1458,1.9406639,1.9406639
69,349,1.9082724,1.9082724
70,459,1.8721923,1.8721923
71,98,1.8706216,1.8706216
72,284,1.8582926,1.8582926
73,287,1.8521999,1.8521999
74,236,1.8327806,1.8327806
75,84,1.7777897,1.7777897
76,368,1.7726697,1.7726697
77,570,1.7710369,1.7710369
78,197,1.7528371,1.7528371
79,366,1.736092,1.736092
80,327,1.7126064,1.7126064
81,109,1.692869,1.692869
82,1346,1.6859595,1.6859595
83,195,1.6788826,1.6788826
84,1762,1.6743014,1.6743014
85,1539,1.6699816,1.6699816
86,304,1.6404068,1.6404068
87,342,1.6195837,1.6195837
88,293,1.6194605,1.6194605
89,45,1.5980356,1.5980356
90,52,1.5825481,1.5825481
91,1908,1.5690686,1.5690686
92,409,1.5617284,1.5617284
93,726,1.5509754,1.5509754
94,1637,1.5480987,1.5480987
95,947,1.5434494,1.5434494
96,306,1.5375985,1.5375985
97,1309,1.4985864,1.4985864
98,1594,1.470527,1.470527
99,44,1.4664272,1.4664272
100,1764,1.4586388,1.4586388
