rank,feature_idx,coefficient,abs_coefficient
1,1123,1.7068474,1.7068474
2,1355,1.5547413,1.5547413
3,1304,1.122401,1.122401
4,303,0.99999595,0.99999595
5,389,0.9999958,0.9999958
6,1271,0.999995,0.999995
7,650,-0.8688352,0.8688352
8,1385,0.86294764,0.86294764
9,202,0.82568306,0.82568306
10,381,-0.8252574,0.8252574
11,397,0.81697124,0.81697124
12,41,-0.74349105,0.74349105
13,1074,-0.7367874,0.7367874
14,281,-0.71264356,0.71264356
15,749,0.7041846,0.7041846
16,1317,0.70000154,0.70000154
17,225,0.63773847,0.63773847
18,544,-0.58377093,0.58377093
19,1343,-0.509528,0.509528
20,786,0.4999981,0.4999981
21,685,0.4999978,0.4999978
22,1450,-0.49999768,0.49999768
23,1125,0.49999756,0.49999756
24,569,-0.49993697,0.49993697
25,1379,0.4997693,0.4997693
26,38,-0.49976444,0.49976444
27,752,-0.49670315,0.49670315
28,70,0.48451164,0.48451164
29,515,0.48253977,0.48253977
30,911,0.47967547,0.47967547
31,132,-0.46628958,0.46628958
32,1026,-0.46306816,0.46306816
33,1098,-0.45713243,0.45713243
34,1435,0.45356813,0.45356813
35,995,-0.44670776,0.44670776
36,1235,0.44317895,0.44317895
37,792,0.4366924,0.4366924
38,508,-0.4182557,0.4182557
39,688,0.40941226,0.40941226
40,857,0.40752563,0.40752563
41,788,-0.4073055,0.4073055
42,1534,0.3578611,0.3578611
43,1524,-0.330068,0.330068
44,1058,0.32831624,0.32831624
45,512,0.2923167,0.2923167
46,318,-0.28664833,0.28664833
47,1473,-0.28257462,0.28257462
48,1103,-0.28210932,0.28210932
49,706,-0.27723464,0.27723464
50,1004,-0.26849774,0.26849774
51,1228,0.2517096,0.2517096
52,316,0.25015822,0.25015822
53,73,0.24999923,0.24999923
54,1501,0.24999908,0.24999908
55,1272,-0.24999908,0.24999908
56,462,-0.24999905,0.24999905
57,1251,0.24999902,0.24999902
58,680,0.24999893,0.24999893
59,1299,-0.24999884,0.24999884
60,1109,0.24999884,0.24999884
61,398,0.24999878,0.24999878
62,1380,0.24999875,0.24999875
63,1093,-0.24999857,0.24999857
64,918,-0.24990353,0.24990353
65,646,-0.24980208,0.24980208
66,1489,0.24970117,0.24970117
67,359,0.24969575,0.24969575
68,828,-0.24897496,0.24897496
69,812,-0.24877895,0.24877895
70,962,-0.2469551,0.2469551
71,66,-0.24172175,0.24172175
72,637,0.23904082,0.23904082
73,1237,0.23807094,0.23807094
74,152,-0.23551796,0.23551796
75,1289,0.23193096,0.23193096
76,607,0.23106553,0.23106553
77,893,-0.2279281,0.2279281
78,1297,0.21898386,0.21898386
79,850,0.21699476,0.21699476
80,1029,-0.2146826,0.2146826
81,487,-0.20884278,0.20884278
82,558,0.20239948,0.20239948
83,1042,0.2019829,0.2019829
84,627,-0.18989033,0.18989033
85,1429,0.18048818,0.18048818
86,1090,0.17816009,0.17816009
87,1327,0.17645147,0.17645147
88,630,-0.17495047,0.17495047
89,216,0.16972513,0.16972513
90,1264,-0.16871203,0.16871203
91,1393,-0.16701747,0.16701747
92,1215,-0.16662954,0.16662954
93,1021,-0.16544385,0.16544385
94,494,0.16288324,0.16288324
95,1528,-0.16151623,0.16151623
96,537,-0.16001242,0.16001242
97,1116,0.15904124,0.15904124
98,0,0.15783438,0.15783438
99,1013,-0.1574267,0.1574267
100,65,-0.15473108,0.15473108
