rank,feature_idx,coefficient,abs_coefficient
1,99,9.528493,9.528493
2,40,8.267847,8.267847
3,35,5.6707478,5.6707478
4,2,5.530974,5.530974
5,1730,3.3258512,3.3258512
6,1933,2.7518642,2.7518642
7,808,2.7068062,2.7068062
8,189,2.6207557,2.6207557
9,63,2.59133,2.59133
10,1734,2.3054543,2.3054543
11,1977,2.177809,2.177809
12,1650,2.0095303,2.0095303
13,1160,1.8208205,1.8208205
14,439,1.788014,1.788014
15,371,1.6972107,1.6972107
16,310,1.6566962,1.6566962
17,482,1.6421875,1.6421875
18,473,1.577887,1.577887
19,1327,1.5632628,1.5632628
20,882,1.5383455,1.5383455
21,735,1.5201744,1.5201744
22,1142,1.519395,1.519395
23,1645,1.443761,1.443761
24,421,1.3823026,1.3823026
25,196,1.357226,1.357226
26,1279,1.3205061,1.3205061
27,1132,1.295601,1.295601
28,471,1.2944039,1.2944039
29,253,1.2863142,1.2863142
30,100,1.2691087,1.2691087
31,1546,1.1932013,1.1932013
32,336,1.1655788,1.1655788
33,451,1.0266557,1.0266557
34,1820,0.9935625,0.9935625
35,281,0.9337952,0.9337952
36,1368,0.9190344,0.9190344
37,7913,0.91748685,0.91748685
38,1452,0.8956731,0.8956731
39,802,0.85336906,0.85336906
40,852,0.78810674,0.78810674
41,2633,0.7823334,0.7823334
42,2734,0.7795653,0.7795653
43,1376,0.7680467,0.7680467
44,1785,0.76079106,0.76079106
45,480,0.7407033,0.7407033
46,1016,0.7262159,0.7262159
47,3225,0.72263783,0.72263783
48,110,0.7196369,0.7196369
49,172,0.71137077,0.71137077
50,7533,0.7010699,0.7010699
51,168,0.69143033,0.69143033
52,1490,0.6697214,0.6697214
53,1904,0.65773386,0.65773386
54,547,0.63069195,0.63069195
55,1646,0.62789315,0.62789315
56,137,0.62460196,0.62460196
57,72,0.6128492,0.6128492
58,2004,0.5953712,0.5953712
59,398,0.5879111,0.5879111
60,1709,0.5779958,0.5779958
61,4221,0.56191,0.56191
62,792,0.5453759,0.5453759
63,7539,0.5398501,0.5398501
64,341,0.5312473,0.5312473
65,1125,0.5269684,0.5269684
66,504,0.52316564,0.52316564
67,323,0.5225025,0.5225025
68,1660,0.52021176,0.52021176
69,5764,0.51781195,0.51781195
70,1408,0.51001436,0.51001436
71,7233,0.5057877,0.5057877
72,1331,0.49988,0.49988
73,784,0.49377277,0.49377277
74,221,0.47243086,0.47243086
75,1851,0.4629773,0.4629773
76,7552,0.45530665,0.45530665
77,382,0.43484583,0.43484583
78,7657,0.42151883,0.42151883
79,1039,0.4210684,0.4210684
80,312,0.4157999,0.4157999
81,352,0.3993678,0.3993678
82,940,0.3984717,0.3984717
83,467,0.38915274,0.38915274
84,1211,0.38514778,0.38514778
85,314,0.38412094,0.38412094
86,138,0.3824916,0.3824916
87,2238,0.38195416,0.38195416
88,739,0.37223038,0.37223038
89,4599,0.36845064,0.36845064
90,1553,0.35633495,0.35633495
91,1371,0.35604647,0.35604647
92,740,0.34558976,0.34558976
93,1965,0.34541914,0.34541914
94,6451,0.3393875,0.3393875
95,263,0.3390236,0.3390236
96,3664,0.33134046,0.33134046
97,1242,0.31487072,0.31487072
98,3323,0.31410983,0.31410983
99,1420,0.3127392,0.3127392
100,581,0.30379573,0.30379573
