rank,feature_idx,coefficient,abs_coefficient
1,2,9.558899,9.558899
2,40,6.1288657,6.1288657
3,189,5.667431,5.667431
4,35,5.4711194,5.4711194
5,771,5.0418196,5.0418196
6,99,4.806865,4.806865
7,1650,4.225057,4.225057
8,72,4.132879,4.132879
9,1132,3.7711458,3.7711458
10,2734,3.017318,3.017318
11,845,2.8804824,2.8804824
12,1645,2.6650448,2.6650448
13,63,2.6269548,2.6269548
14,137,2.586766,2.586766
15,1327,2.5366893,2.5366893
16,1820,2.4741013,2.4741013
17,882,2.4719858,2.4719858
18,1325,2.3895895,2.3895895
19,275,2.3551533,2.3551533
20,808,2.341283,2.341283
21,1785,2.327421,2.327421
22,362,2.2430897,2.2430897
23,1851,2.0650444,2.0650444
24,323,1.9935559,1.9935559
25,363,1.8163949,1.8163949
26,769,1.7735149,1.7735149
27,276,1.7680918,1.7680918
28,260,1.7605963,1.7605963
29,196,1.7556111,1.7556111
30,451,1.7217431,1.7217431
31,138,1.715958,1.715958
32,3225,1.6630335,1.6630335
33,1142,1.6450425,1.6450425
34,735,1.6322695,1.6322695
35,310,1.6000243,1.6000243
36,168,1.5993205,1.5993205
37,1546,1.5940665,1.5940665
38,1730,1.5151643,1.5151643
39,883,1.4959096,1.4959096
40,739,1.4476218,1.4476218
41,382,1.4420261,1.4420261
42,110,1.4350735,1.4350735
43,398,1.3755478,1.3755478
44,172,1.3667208,1.3667208
45,7913,1.3053783,1.3053783
46,113,1.2736064,1.2736064
47,1099,1.2158209,1.2158209
48,7552,1.2135438,1.2135438
49,421,1.2078314,1.2078314
50,1553,1.2001704,1.2001704
51,547,1.194482,1.194482
52,792,1.1874924,1.1874924
53,314,1.1785955,1.1785955
54,1904,1.1743835,1.1743835
55,1409,1.1638288,1.1638288
56,341,1.1087924,1.1087924
57,7539,1.0757395,1.0757395
58,5826,1.0560521,1.0560521
59,676,1.0352851,1.0352851
60,134,1.0231866,1.0231866
61,482,1.0210617,1.0210617
62,371,1.0040632,1.0040632
63,352,0.989803,0.989803
64,2004,0.9340958,0.9340958
65,1734,0.8875365,0.8875365
66,1016,0.8633795,0.8633795
67,1977,0.8341455,0.8341455
68,640,0.82739955,0.82739955
69,1509,0.8268922,0.8268922
70,1691,0.8198111,0.8198111
71,336,0.7890022,0.7890022
72,749,0.7040157,0.7040157
73,2310,0.70198375,0.70198375
74,1367,0.69171757,0.69171757
75,873,0.67492133,0.67492133
76,2238,0.66786504,0.66786504
77,6826,0.65515023,0.65515023
78,1933,0.62827253,0.62827253
79,959,0.6201513,0.6201513
80,473,0.61995864,0.61995864
81,1160,0.61563283,0.61563283
82,1686,0.6025525,0.6025525
83,467,0.5973,0.5973
84,1018,0.5971122,0.5971122
85,1646,0.59659845,0.59659845
86,4754,0.56904984,0.56904984
87,784,0.5650287,0.5650287
88,2633,0.5443745,0.5443745
89,4599,0.53556585,0.53556585
90,253,0.50732875,0.50732875
91,740,0.49231228,0.49231228
92,438,0.48556837,0.48556837
93,800,0.47307405,0.47307405
94,852,0.47275987,0.47275987
95,1039,0.4432337,0.4432337
96,281,0.44236252,0.44236252
97,82,0.44027033,0.44027033
98,608,0.43661132,0.43661132
99,802,0.42740104,0.42740104
100,1531,0.4254688,0.4254688
