rank,feature_idx,coefficient,abs_coefficient
1,984,0.9258037,0.9258037
2,260,0.8144903,0.8144903
3,1477,0.8027704,0.8027704
4,979,0.7895844,0.7895844
5,1070,0.74912566,0.74912566
6,523,0.7105355,0.7105355
7,937,0.7033673,0.7033673
8,344,0.6930285,0.6930285
9,1392,0.6862386,0.6862386
10,279,0.6749117,0.6749117
11,41,0.66264397,0.66264397
12,1098,0.64063877,0.64063877
13,1418,0.6382865,0.6382865
14,1071,0.6380586,0.6380586
15,1408,0.6286461,0.6286461
16,555,0.6200927,0.6200927
17,44,0.6150336,0.6150336
18,806,0.6125761,0.6125761
19,3,0.6002944,0.6002944
20,1390,0.5941532,0.5941532
21,831,0.5883414,0.5883414
22,197,0.58263546,0.58263546
23,441,0.56395185,0.56395185
24,547,0.56279176,0.56279176
25,273,0.5620664,0.5620664
26,1499,0.548094,0.548094
27,746,0.54688483,0.54688483
28,550,0.54616094,0.54616094
29,283,0.54424405,0.54424405
30,581,0.54296374,0.54296374
31,87,0.5345094,0.5345094
32,960,0.5344834,0.5344834
33,685,0.533971,0.533971
34,1530,0.5304682,0.5304682
35,1281,0.5273898,0.5273898
36,1458,0.5255754,0.5255754
37,263,0.52549213,0.52549213
38,409,0.52143437,0.52143437
39,1058,0.5157196,0.5157196
40,314,0.5084693,0.5084693
41,86,0.5052164,0.5052164
42,815,0.50469565,0.50469565
43,969,0.5000253,0.5000253
44,1424,0.49981067,0.49981067
45,239,0.49955598,0.49955598
46,1531,0.4977901,0.4977901
47,1003,0.495766,0.495766
48,1153,0.49391457,0.49391457
49,520,0.49340296,0.49340296
50,851,0.4925581,0.4925581
51,1532,0.49165002,0.49165002
52,357,0.49038604,0.49038604
53,571,0.48732165,0.48732165
54,1358,0.48713872,0.48713872
55,511,0.48543346,0.48543346
56,1454,0.48477745,0.48477745
57,1525,0.48121682,0.48121682
58,103,0.48085794,0.48085794
59,196,0.48041558,0.48041558
60,1252,0.4792552,0.4792552
61,35,0.47828802,0.47828802
62,121,0.47577724,0.47577724
63,1412,0.47395012,0.47395012
64,1523,0.47387305,0.47387305
65,758,0.471035,0.471035
66,751,0.4665031,0.4665031
67,1294,0.46434295,0.46434295
68,1260,0.46318308,0.46318308
69,706,0.46274975,0.46274975
70,533,0.4583827,0.4583827
71,635,0.45704138,0.45704138
72,1267,0.4560744,0.4560744
73,1355,0.45553526,0.45553526
74,17,0.45446768,0.45446768
75,808,0.45107535,0.45107535
76,1451,0.4469714,0.4469714
77,1099,0.44396296,0.44396296
78,1425,0.44386956,0.44386956
79,770,0.4408319,0.4408319
80,385,0.44082567,0.44082567
81,955,0.4386817,0.4386817
82,34,0.4378341,0.4378341
83,799,0.4373186,0.4373186
84,1481,0.4370352,0.4370352
85,1026,0.43681788,0.43681788
86,528,0.4359641,0.4359641
87,1300,0.43548265,0.43548265
88,515,0.43433723,0.43433723
89,742,0.42855343,0.42855343
90,499,0.42827535,0.42827535
91,933,0.42755315,0.42755315
92,490,0.42736435,0.42736435
93,857,0.4269762,0.4269762
94,395,0.42333925,0.42333925
95,318,0.42240834,0.42240834
96,1002,0.42173442,0.42173442
97,324,0.42173135,0.42173135
98,172,0.4193207,0.4193207
99,320,0.41872263,0.41872263
100,1421,0.41681528,0.41681528
