rank,feature_idx,coefficient,abs_coefficient
1,97,16.76813,16.76813
2,55,8.696137,8.696137
3,11,7.768649,7.768649
4,19,4.11963,4.11963
5,423,1.7851725,1.7851725
6,107,1.342633,1.342633
7,112,0.8426215,0.8426215
8,15,0.4502394,0.4502394
9,1331,0.28852805,0.28852805
10,262,0.2842421,0.2842421
11,1,0.17286114,0.17286114
12,860,0.13035393,0.13035393
13,2925,0.05736261,0.05736261
14,4,0.03577992,0.03577992
15,150,0.0075613013,0.0075613013
16,1053,0.0026681363,0.0026681363
17,425,0.0010655513,0.0010655513
18,281,0.0007284271,0.0007284271
19,6111,0.0006064483,0.0006064483
20,4823,0.00029285304,0.00029285304
21,1830,0.00023714741,0.00023714741
22,3247,0.00016413293,0.00016413293
23,5265,0.00010007165,0.00010007165
24,4708,7.312956e-05,7.312956e-05
25,43,7.067666e-05,7.067666e-05
26,2132,6.48575e-05,6.48575e-05
27,73,1.539647e-05,1.539647e-05
28,20,1.3954558e-05,1.3954558e-05
29,84,9.890794e-06,9.890794e-06
30,91,9.634267e-06,9.634267e-06
31,7741,4.002289e-06,4.002289e-06
32,443,3.732256e-06,3.732256e-06
33,1723,3.0472195e-06,3.0472195e-06
34,7321,7.119022e-08,7.119022e-08
35,2716,0.0,0.0
36,2741,0.0,0.0
37,2736,0.0,0.0
38,2706,0.0,0.0
39,2737,0.0,0.0
40,2738,0.0,0.0
41,2739,0.0,0.0
42,2705,0.0,0.0
43,2740,0.0,0.0
44,2704,0.0,0.0
45,2742,0.0,0.0
46,2707,0.0,0.0
47,2743,0.0,0.0
48,2703,0.0,0.0
49,2702,0.0,0.0
50,2744,0.0,0.0
51,2745,0.0,0.0
52,2746,0.0,0.0
53,2747,0.0,0.0
54,2748,0.0,0.0
55,2701,0.0,0.0
56,2735,0.0,0.0
57,2708,0.0,0.0
58,2717,0.0,0.0
59,2749,0.0,0.0
60,2718,0.0,0.0
61,2719,0.0,0.0
62,2715,0.0,0.0
63,2720,0.0,0.0
64,2714,0.0,0.0
65,2721,0.0,0.0
66,2722,0.0,0.0
67,2723,0.0,0.0
68,2713,0.0,0.0
69,2724,0.0,0.0
70,2712,0.0,0.0
71,2711,0.0,0.0
72,2734,0.0,0.0
73,2710,0.0,0.0
74,2725,0.0,0.0
75,2726,0.0,0.0
76,2727,0.0,0.0
77,2728,0.0,0.0
78,2729,0.0,0.0
79,2730,0.0,0.0
80,2709,0.0,0.0
81,2731,0.0,0.0
82,2732,0.0,0.0
83,2733,0.0,0.0
84,8191,0.0,0.0
85,2757,0.0,0.0
86,2750,0.0,0.0
87,2784,0.0,0.0
88,2786,0.0,0.0
89,2787,0.0,0.0
90,2788,0.0,0.0
91,2789,0.0,0.0
92,2790,0.0,0.0
93,2791,0.0,0.0
94,2792,0.0,0.0
95,2793,0.0,0.0
96,2794,0.0,0.0
97,2795,0.0,0.0
98,2796,0.0,0.0
99,2797,0.0,0.0
100,2798,0.0,0.0
