rank,feature_idx,coefficient,abs_coefficient
1,0,9.337834,9.337834
2,3,9.098922,9.098922
3,11,8.336122,8.336122
4,15,7.665863,7.665863
5,30,3.506632,3.506632
6,48,3.0813146,3.0813146
7,22,2.17361,2.17361
8,12,2.007214,2.007214
9,63,1.8856477,1.8856477
10,6,1.830035,1.830035
11,14,1.8008717,1.8008717
12,753,1.6049521,1.6049521
13,10,1.3052464,1.3052464
14,95,1.2278063,1.2278063
15,112,1.2136755,1.2136755
16,242,1.1101034,1.1101034
17,44,1.1013931,1.1013931
18,26,1.099639,1.099639
19,613,0.9274082,0.9274082
20,120,0.7489343,0.7489343
21,102,0.7181557,0.7181557
22,222,0.69150275,0.69150275
23,51,0.6487674,0.6487674
24,4,0.62512857,0.62512857
25,25,0.54364604,0.54364604
26,21,0.52079386,0.52079386
27,18,0.48446086,0.48446086
28,772,0.46652123,0.46652123
29,977,0.43470478,0.43470478
30,40,0.41142294,0.41142294
31,588,0.3999347,0.3999347
32,58,0.32869437,0.32869437
33,24,0.31847525,0.31847525
34,888,0.30268022,0.30268022
35,28,0.28410307,0.28410307
36,42,0.20399043,0.20399043
37,106,0.19343011,0.19343011
38,936,0.18892108,0.18892108
39,271,0.15906334,0.15906334
40,7,0.15840456,0.15840456
41,665,0.15455487,0.15455487
42,116,0.14314924,0.14314924
43,35,0.11252476,0.11252476
44,672,0.0788037,0.0788037
45,172,0.057708412,0.057708412
46,162,0.043101396,0.043101396
47,589,0.027131375,0.027131375
48,825,0.026343329,0.026343329
49,60,0.026165988,0.026165988
50,847,0.023570329,0.023570329
51,648,0.023501063,0.023501063
52,616,0.007059672,0.007059672
53,265,0.0065710596,0.0065710596
54,644,0.0041303397,0.0041303397
55,241,0.0020539146,0.0020539146
56,223,0.0019581898,0.0019581898
57,311,0.0017684822,0.0017684822
58,50,0.001627123,0.001627123
59,57,0.0013827054,0.0013827054
60,402,0.0012629265,0.0012629265
61,531,0.0012049048,0.0012049048
62,568,0.001062804,0.001062804
63,646,0.0009440445,0.0009440445
64,146,0.000673432,0.000673432
65,445,0.00052924326,0.00052924326
66,9,0.0005042082,0.0005042082
67,418,0.00045579093,0.00045579093
68,358,0.00035642,0.00035642
69,483,0.00034001123,0.00034001123
70,246,0.00029400448,0.00029400448
71,298,0.00026323175,0.00026323175
72,84,0.00013085784,0.00013085784
73,277,0.000123656,0.000123656
74,625,0.000116018775,0.000116018775
75,19,9.793438e-05,9.793438e-05
76,171,7.866164e-05,7.866164e-05
77,443,7.586394e-05,7.586394e-05
78,333,7.066862e-05,7.066862e-05
79,629,6.171469e-05,6.171469e-05
80,206,5.1872525e-05,5.1872525e-05
81,632,4.750536e-05,4.750536e-05
82,209,3.7277237e-05,3.7277237e-05
83,216,3.7106896e-05,3.7106896e-05
84,156,3.311753e-05,3.311753e-05
85,393,3.1439442e-05,3.1439442e-05
86,721,2.9661789e-05,2.9661789e-05
87,364,2.3340966e-05,2.3340966e-05
88,552,2.29077e-05,2.29077e-05
89,697,2.2739756e-05,2.2739756e-05
90,907,1.0396904e-05,1.0396904e-05
91,784,8.651965e-06,8.651965e-06
92,623,7.272009e-06,7.272009e-06
93,527,7.0049487e-06,7.0049487e-06
94,361,3.7038506e-06,3.7038506e-06
95,988,3.410232e-06,3.410232e-06
96,123,2.371877e-06,2.371877e-06
97,495,1.0555348e-06,1.0555348e-06
98,598,4.713585e-07,4.713585e-07
99,93,0.0,0.0
100,41,0.0,0.0
