rank,feature_idx,coefficient,abs_coefficient
1,30,-52.74074,52.74074
2,11,-35.842155,35.842155
3,15,-24.490282,24.490282
4,4,-18.563059,18.563059
5,0,16.175798,16.175798
6,120,-15.8238735,15.8238735
7,6,-12.04359,12.04359
8,588,-9.89969,9.89969
9,936,-8.549956,8.549956
10,3,8.036478,8.036478
11,48,6.9132752,6.9132752
12,51,-6.604091,6.604091
13,112,6.4749436,6.4749436
14,22,6.4097643,6.4097643
15,58,-6.2003155,6.2003155
16,271,-5.9525113,5.9525113
17,106,-5.929801,5.929801
18,672,-5.408074,5.408074
19,14,-4.354346,4.354346
20,95,3.702607,3.702607
21,222,3.634741,3.634741
22,63,3.6024995,3.6024995
23,44,3.5956638,3.5956638
24,12,2.5830288,2.5830288
25,242,2.3885803,2.3885803
26,40,2.2475603,2.2475603
27,35,-2.2319689,2.2319689
28,753,2.0852842,2.0852842
29,25,1.4434832,1.4434832
30,7,1.3778332,1.3778332
31,102,1.2711754,1.2711754
32,772,1.0988053,1.0988053
33,977,0.65598446,0.65598446
34,146,0.5947628,0.5947628
35,26,0.58435726,0.58435726
36,629,-0.4909365,0.4909365
37,24,0.47987676,0.47987676
38,18,0.43720725,0.43720725
39,116,0.3149232,0.3149232
40,21,0.075690456,0.075690456
41,361,-0.05743557,0.05743557
42,10,0.047514908,0.047514908
43,171,0.04647328,0.04647328
44,42,0.02625874,0.02625874
45,50,0.013499179,0.013499179
46,37,-0.008508803,0.008508803
47,172,-0.0077651814,0.0077651814
48,632,-0.00624542,0.00624542
49,698,-0.0039427406,0.0039427406
50,501,-0.0032367483,0.0032367483
51,527,-0.0030114118,0.0030114118
52,208,-0.0029470231,0.0029470231
53,296,-0.0028721911,0.0028721911
54,904,-0.0022481033,0.0022481033
55,705,0.0018037208,0.0018037208
56,586,-0.0014138729,0.0014138729
57,156,-0.0009374642,0.0009374642
58,613,0.0006806725,0.0006806725
59,162,0.0006357735,0.0006357735
60,13,0.00033250108,0.00033250108
61,206,0.00019103603,0.00019103603
62,9,7.368791e-05,7.368791e-05
63,697,7.158827e-05,7.158827e-05
64,20,-6.661152e-05,6.661152e-05
65,443,6.4245985e-05,6.4245985e-05
66,56,5.1489125e-05,5.1489125e-05
67,402,3.8779548e-05,3.8779548e-05
68,953,1.0043854e-05,1.0043854e-05
69,5,-4.0300033e-06,4.0300033e-06
70,358,0.0,0.0
71,357,0.0,0.0
72,359,0.0,0.0
73,356,0.0,0.0
74,355,0.0,0.0
75,354,0.0,0.0
76,353,0.0,0.0
77,352,0.0,0.0
78,287,0.0,0.0
79,351,0.0,0.0
80,350,0.0,0.0
81,286,0.0,0.0
82,349,0.0,0.0
83,288,0.0,0.0
84,348,0.0,0.0
85,289,0.0,0.0
86,347,0.0,0.0
87,290,0.0,0.0
88,346,0.0,0.0
89,345,0.0,0.0
90,360,0.0,0.0
91,305,0.0,0.0
92,362,0.0,0.0
93,373,0.0,0.0
94,282,0.0,0.0
95,381,0.0,0.0
96,380,0.0,0.0
97,379,0.0,0.0
98,283,0.0,0.0
99,378,0.0,0.0
100,377,0.0,0.0
