rank,feature_idx,coefficient,abs_coefficient
1,1276,1.5037814,1.5037814
2,1505,1.2422904,1.2422904
3,571,1.193144,1.193144
4,1021,1.1629128,1.1629128
5,788,1.1595284,1.1595284
6,343,1.1541735,1.1541735
7,180,1.145781,1.145781
8,1445,1.145202,1.145202
9,1146,1.1403284,1.1403284
10,155,1.1233019,1.1233019
11,209,1.1191162,1.1191162
12,147,1.0997224,1.0997224
13,1413,1.0990193,1.0990193
14,271,1.0907714,1.0907714
15,787,1.0897233,1.0897233
16,1160,1.0257162,1.0257162
17,1420,1.0257092,1.0257092
18,1013,1.0167052,1.0167052
19,445,1.0059886,1.0059886
20,1218,1.001583,1.001583
21,552,0.994483,0.994483
22,444,0.97615165,0.97615165
23,175,0.96959245,0.96959245
24,615,0.9679089,0.9679089
25,377,0.9648574,0.9648574
26,1428,0.96434224,0.96434224
27,710,0.96374404,0.96374404
28,405,0.9525701,0.9525701
29,1494,0.9494432,0.9494432
30,1205,0.9469834,0.9469834
31,961,0.9337499,0.9337499
32,76,0.92901516,0.92901516
33,801,0.9247567,0.9247567
34,329,0.92181087,0.92181087
35,1437,0.920434,0.920434
36,375,0.9201238,0.9201238
37,825,0.9147879,0.9147879
38,1351,0.9132438,0.9132438
39,265,0.89625096,0.89625096
40,812,0.8942176,0.8942176
41,792,0.8908923,0.8908923
42,1302,0.8862787,0.8862787
43,1284,0.88046217,0.88046217
44,836,0.8766701,0.8766701
45,474,0.8762551,0.8762551
46,455,0.8699197,0.8699197
47,479,0.8698294,0.8698294
48,591,0.86763656,0.86763656
49,1031,0.8662702,0.8662702
50,572,0.86254334,0.86254334
51,540,0.85894084,0.85894084
52,826,0.85881287,0.85881287
53,967,0.85797566,0.85797566
54,861,0.8553595,0.8553595
55,281,0.8516662,0.8516662
56,226,0.85096,0.85096
57,676,0.85089135,0.85089135
58,408,0.8507141,0.8507141
59,230,0.85058,0.85058
60,1511,0.8451717,0.8451717
61,916,0.84392786,0.84392786
62,1125,0.84084207,0.84084207
63,50,0.83909684,0.83909684
64,235,0.8383698,0.8383698
65,1404,0.83820903,0.83820903
66,1387,0.83643484,0.83643484
67,344,0.8327032,0.8327032
68,1002,0.8244529,0.8244529
69,1358,0.82128644,0.82128644
70,753,0.8201199,0.8201199
71,361,0.8191256,0.8191256
72,1325,0.8164858,0.8164858
73,85,0.8121338,0.8121338
74,507,0.81144947,0.81144947
75,895,0.81053376,0.81053376
76,974,0.80943835,0.80943835
77,1281,0.8075396,0.8075396
78,348,0.8044944,0.8044944
79,1080,0.8040402,0.8040402
80,1297,0.80169326,0.80169326
81,1448,0.80157423,0.80157423
82,1095,0.80029416,0.80029416
83,1167,0.7975601,0.7975601
84,539,0.7963668,0.7963668
85,339,0.7925077,0.7925077
86,703,0.79013455,0.79013455
87,395,0.789387,0.789387
88,709,0.78932583,0.78932583
89,969,0.7881054,0.7881054
90,107,0.7866876,0.7866876
91,937,0.78551024,0.78551024
92,84,0.78369164,0.78369164
93,1062,0.78257984,0.78257984
94,92,0.78006357,0.78006357
95,6,0.7775168,0.7775168
96,1306,0.77716255,0.77716255
97,135,0.77361006,0.77361006
98,1179,0.7720008,0.7720008
99,90,0.76437753,0.76437753
100,850,0.7606642,0.7606642
