rank,feature_idx,coefficient,abs_coefficient
1,7,11.626419,11.626419
2,0,9.634435,9.634435
3,1,9.293204,9.293204
4,4,8.323365,8.323365
5,15,7.7691536,7.7691536
6,8,6.644357,6.644357
7,52,5.345353,5.345353
8,46,5.2526064,5.2526064
9,59,4.6762776,4.6762776
10,61,4.566766,4.566766
11,620,4.564389,4.564389
12,254,4.475213,4.475213
13,27,4.271406,4.271406
14,29,4.0555344,4.0555344
15,17,4.03886,4.03886
16,5,3.8199296,3.8199296
17,65,3.6939995,3.6939995
18,932,3.4812038,3.4812038
19,110,3.3285751,3.3285751
20,280,3.320895,3.320895
21,1007,3.1869454,3.1869454
22,11,3.159412,3.159412
23,249,3.099565,3.099565
24,6,3.0802898,3.0802898
25,591,2.987751,2.987751
26,40,2.9766285,2.9766285
27,50,2.869608,2.869608
28,3,2.7253768,2.7253768
29,18,2.5898185,2.5898185
30,497,2.5745587,2.5745587
31,38,2.5213728,2.5213728
32,36,2.5134377,2.5134377
33,876,2.4929569,2.4929569
34,219,2.444326,2.444326
35,979,2.3812556,2.3812556
36,619,2.3167224,2.3167224
37,69,2.2019334,2.2019334
38,739,2.1329098,2.1329098
39,80,2.1228633,2.1228633
40,19,2.1162522,2.1162522
41,133,2.0155947,2.0155947
42,892,1.9910399,1.9910399
43,806,1.9582952,1.9582952
44,54,1.8250887,1.8250887
45,122,1.8057487,1.8057487
46,235,1.7736162,1.7736162
47,551,1.7711127,1.7711127
48,890,1.7608259,1.7608259
49,1004,1.7594849,1.7594849
50,21,1.7215097,1.7215097
51,238,1.7115949,1.7115949
52,168,1.6667906,1.6667906
53,183,1.6528599,1.6528599
54,172,1.6498762,1.6498762
55,185,1.6439035,1.6439035
56,647,1.6404539,1.6404539
57,975,1.6247075,1.6247075
58,206,1.6028694,1.6028694
59,228,1.5869975,1.5869975
60,683,1.5752047,1.5752047
61,112,1.5409043,1.5409043
62,64,1.5275204,1.5275204
63,205,1.4827052,1.4827052
64,103,1.4769409,1.4769409
65,253,1.421571,1.421571
66,28,1.4202226,1.4202226
67,158,1.4043411,1.4043411
68,48,1.4025166,1.4025166
69,30,1.3951489,1.3951489
70,729,1.3736633,1.3736633
71,322,1.3657444,1.3657444
72,226,1.3635952,1.3635952
73,78,1.3358108,1.3358108
74,828,1.3166472,1.3166472
75,426,1.2970661,1.2970661
76,151,1.2901481,1.2901481
77,121,1.2885679,1.2885679
78,327,1.242781,1.242781
79,95,1.2310324,1.2310324
80,67,1.2069428,1.2069428
81,553,1.190925,1.190925
82,142,1.1806223,1.1806223
83,745,1.1479964,1.1479964
84,241,1.1418397,1.1418397
85,388,1.131255,1.131255
86,373,1.1292026,1.1292026
87,195,1.0941783,1.0941783
88,156,1.0906055,1.0906055
89,460,1.0795777,1.0795777
90,55,1.0795553,1.0795553
91,352,1.075726,1.075726
92,225,1.0755258,1.0755258
93,204,1.0565906,1.0565906
94,498,1.0442369,1.0442369
95,180,1.0355383,1.0355383
96,976,1.0235626,1.0235626
97,363,0.9563109,0.9563109
98,367,0.95575523,0.95575523
99,89,0.9488057,0.9488057
100,170,0.9481827,0.9481827
