rank,feature_idx,coefficient,abs_coefficient
1,7,5.4950676,5.4950676
2,0,4.250386,4.250386
3,5,4.1857224,4.1857224
4,11,3.9474423,3.9474423
5,172,3.5144446,3.5144446
6,31,3.3172445,3.3172445
7,39,3.2903988,3.2903988
8,455,3.0501766,3.0501766
9,243,3.0035617,3.0035617
10,498,2.963312,2.963312
11,21,2.9327533,2.9327533
12,276,2.9068348,2.9068348
13,8,2.7454605,2.7454605
14,1,2.73116,2.73116
15,395,2.6349623,2.6349623
16,892,2.5692146,2.5692146
17,110,2.4281774,2.4281774
18,46,2.417368,2.417368
19,156,2.3249435,2.3249435
20,250,2.3238394,2.3238394
21,40,2.2428536,2.2428536
22,18,2.2180376,2.2180376
23,24,2.1634796,2.1634796
24,142,2.1175742,2.1175742
25,619,2.0938027,2.0938027
26,248,2.0515149,2.0515149
27,363,1.9181055,1.9181055
28,29,1.910251,1.910251
29,74,1.8534704,1.8534704
30,228,1.8213778,1.8213778
31,37,1.8078084,1.8078084
32,564,1.7135547,1.7135547
33,54,1.7007807,1.7007807
34,50,1.6150146,1.6150146
35,89,1.5743576,1.5743576
36,584,1.5691867,1.5691867
37,6,1.5650572,1.5650572
38,236,1.5580624,1.5580624
39,551,1.5375657,1.5375657
40,240,1.5337449,1.5337449
41,4,1.5319785,1.5319785
42,475,1.5252705,1.5252705
43,400,1.4641027,1.4641027
44,52,1.4561319,1.4561319
45,254,1.4497055,1.4497055
46,48,1.4473268,1.4473268
47,558,1.4172965,1.4172965
48,28,1.3972844,1.3972844
49,205,1.3639625,1.3639625
50,44,1.3476896,1.3476896
51,61,1.3402352,1.3402352
52,227,1.33487,1.33487
53,64,1.3245522,1.3245522
54,839,1.3012322,1.3012322
55,154,1.287899,1.287899
56,26,1.2722005,1.2722005
57,280,1.2538027,1.2538027
58,19,1.2276586,1.2276586
59,426,1.226953,1.226953
60,163,1.1991435,1.1991435
61,196,1.1922919,1.1922919
62,507,1.1791967,1.1791967
63,211,1.1752895,1.1752895
64,553,1.1456386,1.1456386
65,188,1.1423339,1.1423339
66,122,1.1205269,1.1205269
67,220,1.0937458,1.0937458
68,95,1.0886455,1.0886455
69,3,1.0808934,1.0808934
70,231,1.0723982,1.0723982
71,17,1.0596837,1.0596837
72,87,1.0450853,1.0450853
73,702,1.0330104,1.0330104
74,295,1.0307811,1.0307811
75,77,1.0286218,1.0286218
76,189,1.0226516,1.0226516
77,814,1.0172528,1.0172528
78,806,1.0017023,1.0017023
79,435,0.9947191,0.9947191
80,101,0.98070335,0.98070335
81,614,0.9798073,0.9798073
82,869,0.97268957,0.97268957
83,946,0.95236087,0.95236087
84,183,0.92449456,0.92449456
85,78,0.9226046,0.9226046
86,441,0.9141368,0.9141368
87,225,0.9087507,0.9087507
88,246,0.90754527,0.90754527
89,43,0.90461606,0.90461606
90,1022,0.9044556,0.9044556
91,235,0.88779145,0.88779145
92,185,0.88664937,0.88664937
93,347,0.88001615,0.88001615
94,796,0.86034375,0.86034375
95,56,0.85482854,0.85482854
96,73,0.8527115,0.8527115
97,969,0.84721774,0.84721774
98,300,0.8458659,0.8458659
99,322,0.841521,0.841521
100,405,0.83107466,0.83107466
