rank,feature_idx,coefficient,abs_coefficient
1,11,43.353947,43.353947
2,814,38.691723,38.691723
3,17,32.019558,32.019558
4,405,30.883646,30.883646
5,73,30.355421,30.355421
6,21,29.704596,29.704596
7,206,29.677263,29.677263
8,5,29.546434,29.546434
9,232,28.83879,28.83879
10,246,28.715635,28.715635
11,157,27.14592,27.14592
12,215,25.486975,25.486975
13,7,25.02462,25.02462
14,636,23.657495,23.657495
15,1,23.439798,23.439798
16,665,23.14326,23.14326
17,415,21.870665,21.870665
18,462,20.947721,20.947721
19,107,20.128122,20.128122
20,240,19.519957,19.519957
21,243,19.113844,19.113844
22,876,18.55279,18.55279
23,179,16.80351,16.80351
24,796,16.104239,16.104239
25,556,14.577456,14.577456
26,220,14.32788,14.32788
27,197,14.204989,14.204989
28,228,13.792806,13.792806
29,576,12.249373,12.249373
30,237,11.914612,11.914612
31,0,10.346501,10.346501
32,275,10.281346,10.281346
33,154,9.607511,9.607511
34,132,9.116252,9.116252
35,168,9.015845,9.015845
36,4,8.644256,8.644256
37,511,8.339661,8.339661
38,8,8.065303,8.065303
39,15,8.035529,8.035529
40,524,7.7624106,7.7624106
41,64,7.181826,7.181826
42,383,6.7901826,6.7901826
43,795,6.544164,6.544164
44,886,6.335714,6.335714
45,103,6.200974,6.200974
46,838,6.1088443,6.1088443
47,28,5.823462,5.823462
48,22,5.764509,5.764509
49,555,5.753469,5.753469
50,407,5.7193375,5.7193375
51,998,5.6302304,5.6302304
52,98,5.5620275,5.5620275
53,600,5.5315804,5.5315804
54,521,5.4527206,5.4527206
55,219,5.3750553,5.3750553
56,631,5.160744,5.160744
57,48,5.0781913,5.0781913
58,956,5.012612,5.012612
59,61,4.955368,4.955368
60,688,4.93938,4.93938
61,172,4.917099,4.917099
62,175,4.89039,4.89039
63,77,4.7245564,4.7245564
64,443,4.7105374,4.7105374
65,482,4.6777215,4.6777215
66,911,4.6153536,4.6153536
67,455,4.5549417,4.5549417
68,159,4.483378,4.483378
69,225,4.398925,4.398925
70,6,4.366772,4.366772
71,605,4.269808,4.269808
72,24,4.2593884,4.2593884
73,714,4.1923842,4.1923842
74,719,4.0862846,4.0862846
75,619,4.082358,4.082358
76,395,4.011664,4.011664
77,156,4.005796,4.005796
78,54,3.9409628,3.9409628
79,31,3.8980548,3.8980548
80,236,3.8302748,3.8302748
81,508,3.790887,3.790887
82,210,3.7863452,3.7863452
83,765,3.6974876,3.6974876
84,629,3.6686497,3.6686497
85,885,3.591606,3.591606
86,320,3.589646,3.589646
87,935,3.440293,3.440293
88,144,3.425254,3.425254
89,253,3.416724,3.416724
90,839,3.4059513,3.4059513
91,37,3.319168,3.319168
92,254,3.242295,3.242295
93,211,3.2092645,3.2092645
94,170,3.19996,3.19996
95,46,3.1294537,3.1294537
96,904,3.1219428,3.1219428
97,36,3.0898612,3.0898612
98,459,3.0353487,3.0353487
99,1010,3.0184543,3.0184543
100,408,3.0177453,3.0177453
