rank,feature_idx,coefficient,abs_coefficient
1,957,-3.4019072,3.4019072
2,684,-2.8698661,2.8698661
3,205,2.41327,2.41327
4,110,-2.2605577,2.2605577
5,1218,-1.9349257,1.9349257
6,159,-1.9333804,1.9333804
7,1293,-1.925895,1.925895
8,614,1.8764886,1.8764886
9,623,-1.852768,1.852768
10,1527,1.843889,1.843889
11,1081,1.8028065,1.8028065
12,75,1.7940978,1.7940978
13,1520,1.7850715,1.7850715
14,963,-1.7834415,1.7834415
15,1491,1.7428211,1.7428211
16,212,1.7410281,1.7410281
17,336,1.7398242,1.7398242
18,534,-1.7397318,1.7397318
19,908,1.7319381,1.7319381
20,875,-1.7231985,1.7231985
21,162,-1.7161951,1.7161951
22,18,-1.6939266,1.6939266
23,1502,1.6788063,1.6788063
24,145,-1.6716502,1.6716502
25,763,1.6693282,1.6693282
26,393,-1.6667091,1.6667091
27,49,-1.6306775,1.6306775
28,1210,-1.6257306,1.6257306
29,407,-1.619221,1.619221
30,736,-1.6179576,1.6179576
31,1321,1.6103886,1.6103886
32,1525,1.608592,1.608592
33,1240,-1.6081756,1.6081756
34,790,-1.6069194,1.6069194
35,1014,1.5969379,1.5969379
36,677,-1.5863657,1.5863657
37,796,-1.58286,1.58286
38,279,-1.5763655,1.5763655
39,1115,-1.5716169,1.5716169
40,912,-1.570901,1.570901
41,1179,-1.570063,1.570063
42,657,1.5463222,1.5463222
43,141,-1.5462619,1.5462619
44,672,1.5379069,1.5379069
45,1134,1.527695,1.527695
46,1408,-1.5266253,1.5266253
47,29,-1.517521,1.517521
48,19,-1.5151219,1.5151219
49,442,-1.51196,1.51196
50,6,-1.5068269,1.5068269
51,932,1.506329,1.506329
52,150,1.5049139,1.5049139
53,699,-1.5047699,1.5047699
54,666,-1.5036216,1.5036216
55,491,-1.4958165,1.4958165
56,1035,-1.4931933,1.4931933
57,484,1.4860741,1.4860741
58,791,1.4859183,1.4859183
59,855,-1.4836535,1.4836535
60,1497,-1.4649757,1.4649757
61,594,-1.4622631,1.4622631
62,674,-1.4594201,1.4594201
63,675,1.4584607,1.4584607
64,427,-1.4566576,1.4566576
65,661,-1.4458458,1.4458458
66,308,-1.4452899,1.4452899
67,956,-1.441613,1.441613
68,787,1.4298487,1.4298487
69,1487,-1.4275594,1.4275594
70,1018,1.4255465,1.4255465
71,1405,1.4172782,1.4172782
72,1065,1.4132531,1.4132531
73,120,-1.4129337,1.4129337
74,1354,1.3986715,1.3986715
75,1431,-1.3932294,1.3932294
76,714,-1.3888115,1.3888115
77,1322,-1.3885183,1.3885183
78,1437,1.3803369,1.3803369
79,14,-1.3650144,1.3650144
80,1320,-1.3616347,1.3616347
81,1140,1.3597195,1.3597195
82,343,1.3575718,1.3575718
83,511,-1.3363508,1.3363508
84,109,1.3340397,1.3340397
85,600,1.3288826,1.3288826
86,1381,-1.3275825,1.3275825
87,375,-1.3272275,1.3272275
88,1169,1.3263701,1.3263701
89,1200,-1.3218533,1.3218533
90,663,1.2932513,1.2932513
91,566,-1.2923042,1.2923042
92,543,1.287077,1.287077
93,981,-1.2777264,1.2777264
94,774,1.2747514,1.2747514
95,616,-1.271101,1.271101
96,191,-1.2686826,1.2686826
97,197,-1.2621187,1.2621187
98,754,-1.2557691,1.2557691
99,611,1.2484807,1.2484807
100,1346,-1.2461243,1.2461243
