rank,feature_idx,coefficient,abs_coefficient
1,0,13.034959,13.034959
2,193,10.286008,10.286008
3,694,9.7315035,9.7315035
4,74,9.26233,9.26233
5,275,7.784092,7.784092
6,15,7.7763324,7.7763324
7,8,6.8409877,6.8409877
8,39,6.800896,6.800896
9,63,6.740393,6.740393
10,135,6.387751,6.387751
11,228,6.26828,6.26828
12,102,5.5071006,5.5071006
13,197,5.3220067,5.3220067
14,926,5.0610223,5.0610223
15,106,4.8764462,4.8764462
16,146,4.743189,4.743189
17,209,4.6979084,4.6979084
18,584,4.57621,4.57621
19,37,4.4044404,4.4044404
20,120,4.2045712,4.2045712
21,945,4.1288085,4.1288085
22,27,4.078078,4.078078
23,462,4.0523353,4.0523353
24,181,4.018154,4.018154
25,802,3.7658892,3.7658892
26,40,3.6573336,3.6573336
27,756,3.610489,3.610489
28,66,3.5127385,3.5127385
29,257,3.4996626,3.4996626
30,751,3.2868366,3.2868366
31,878,3.2761574,3.2761574
32,1000,3.2621748,3.2621748
33,130,3.0800622,3.0800622
34,198,3.0068753,3.0068753
35,178,2.9713671,2.9713671
36,143,2.962161,2.962161
37,238,2.7376823,2.7376823
38,111,2.7236586,2.7236586
39,305,2.7176828,2.7176828
40,539,2.7006118,2.7006118
41,468,2.694354,2.694354
42,123,2.6785138,2.6785138
43,23,2.6285985,2.6285985
44,245,2.5877402,2.5877402
45,158,2.446638,2.446638
46,65,2.3069558,2.3069558
47,17,2.3045547,2.3045547
48,733,2.2847195,2.2847195
49,826,2.281792,2.281792
50,302,2.2048404,2.2048404
51,473,2.1466393,2.1466393
52,268,2.120463,2.120463
53,179,2.076948,2.076948
54,194,2.0689104,2.0689104
55,234,2.0261586,2.0261586
56,678,2.0213125,2.0213125
57,951,2.0082414,2.0082414
58,917,1.9954916,1.9954916
59,938,1.9555744,1.9555744
60,223,1.9458748,1.9458748
61,765,1.9007832,1.9007832
62,277,1.8025414,1.8025414
63,190,1.7667497,1.7667497
64,7,1.7614298,1.7614298
65,79,1.6733633,1.6733633
66,246,1.6560789,1.6560789
67,173,1.6427007,1.6427007
68,105,1.64015,1.64015
69,514,1.6312242,1.6312242
70,727,1.5675073,1.5675073
71,441,1.5648829,1.5648829
72,425,1.5202147,1.5202147
73,597,1.5170504,1.5170504
74,104,1.5047016,1.5047016
75,221,1.487372,1.487372
76,815,1.3776665,1.3776665
77,78,1.3589582,1.3589582
78,635,1.3220891,1.3220891
79,109,1.3220512,1.3220512
80,644,1.31211,1.31211
81,803,1.2901257,1.2901257
82,290,1.2653924,1.2653924
83,541,1.2383848,1.2383848
84,693,1.2319335,1.2319335
85,486,1.230781,1.230781
86,838,1.2086847,1.2086847
87,591,1.2079327,1.2079327
88,872,1.2066249,1.2066249
89,856,1.1825005,1.1825005
90,950,1.1717111,1.1717111
91,139,1.1655545,1.1655545
92,129,1.1632454,1.1632454
93,599,1.1613361,1.1613361
94,321,1.1592096,1.1592096
95,10,1.151841,1.151841
96,400,1.1332206,1.1332206
97,138,1.1114777,1.1114777
98,80,1.103889,1.103889
99,137,1.0963203,1.0963203
100,679,1.073094,1.073094
