rank,feature_idx,coefficient,abs_coefficient
1,0,18.287962,18.287962
2,27,14.13327,14.13327
3,7,13.700531,13.700531
4,234,13.396335,13.396335
5,40,13.058081,13.058081
6,996,9.790494,9.790494
7,120,8.401772,8.401772
8,78,8.023956,8.023956
9,143,7.7397466,7.7397466
10,8,7.502722,7.502722
11,57,6.86864,6.86864
12,230,6.787823,6.787823
13,146,6.5239477,6.5239477
14,104,6.496392,6.496392
15,33,6.1044016,6.1044016
16,896,5.9969797,5.9969797
17,15,5.284426,5.284426
18,462,5.13739,5.13739
19,97,5.134166,5.134166
20,47,5.1236706,5.1236706
21,39,5.050869,5.050869
22,238,4.742392,4.742392
23,138,4.5842037,4.5842037
24,718,4.204797,4.204797
25,257,4.173602,4.173602
26,176,4.153248,4.153248
27,404,4.0960126,4.0960126
28,290,4.0872226,4.0872226
29,856,4.07866,4.07866
30,815,3.9739056,3.9739056
31,245,3.8438647,3.8438647
32,694,3.8109312,3.8109312
33,49,3.781707,3.781707
34,17,3.7551045,3.7551045
35,802,3.6926217,3.6926217
36,514,3.499274,3.499274
37,135,3.2899535,3.2899535
38,63,3.0275843,3.0275843
39,512,2.925585,2.925585
40,951,2.8444571,2.8444571
41,130,2.698747,2.698747
42,872,2.6946218,2.6946218
43,137,2.647448,2.647448
44,785,2.5591571,2.5591571
45,728,2.403876,2.403876
46,109,2.3312442,2.3312442
47,917,2.306508,2.306508
48,202,2.3049223,2.3049223
49,389,2.2894716,2.2894716
50,111,2.2684453,2.2684453
51,878,2.2241182,2.2241182
52,179,2.2206342,2.2206342
53,688,2.2203467,2.2203467
54,839,2.2090154,2.2090154
55,595,2.1302123,2.1302123
56,144,2.0759475,2.0759475
57,268,2.0674496,2.0674496
58,981,2.0596561,2.0596561
59,197,2.0483932,2.0483932
60,75,2.040123,2.040123
61,564,1.9505827,1.9505827
62,105,1.9312284,1.9312284
63,321,1.8897922,1.8897922
64,123,1.8650886,1.8650886
65,593,1.8336129,1.8336129
66,106,1.779718,1.779718
67,838,1.737535,1.737535
68,74,1.7257198,1.7257198
69,10,1.7213145,1.7213145
70,584,1.6997398,1.6997398
71,165,1.691495,1.691495
72,599,1.6542809,1.6542809
73,480,1.65419,1.65419
74,400,1.5346599,1.5346599
75,714,1.5209619,1.5209619
76,733,1.5156567,1.5156567
77,222,1.5151597,1.5151597
78,505,1.4735417,1.4735417
79,577,1.3864303,1.3864303
80,96,1.380548,1.380548
81,993,1.3526673,1.3526673
82,79,1.324582,1.324582
83,817,1.3038224,1.3038224
84,26,1.2636304,1.2636304
85,428,1.245533,1.245533
86,92,1.2354565,1.2354565
87,678,1.2321693,1.2321693
88,221,1.2153351,1.2153351
89,486,1.1932017,1.1932017
90,531,1.1851159,1.1851159
91,548,1.1806929,1.1806929
92,432,1.176753,1.176753
93,181,1.1182857,1.1182857
94,25,1.1126862,1.1126862
95,80,1.0713433,1.0713433
96,191,1.0613046,1.0613046
97,237,1.0612038,1.0612038
98,425,1.0443056,1.0443056
99,23,0.9932197,0.9932197
100,614,0.9931441,0.9931441
