rank,feature_idx,coefficient,abs_coefficient
1,7,19.531303,19.531303
2,8,11.750737,11.750737
3,111,4.936145,4.936145
4,146,4.8681345,4.8681345
5,123,4.412717,4.412717
6,120,4.3327727,4.3327727
7,130,4.300459,4.300459
8,47,4.1877284,4.1877284
9,15,4.106118,4.106118
10,144,3.9095514,3.9095514
11,23,3.8967295,3.8967295
12,432,3.7071972,3.7071972
13,375,3.5706413,3.5706413
14,473,3.1903622,3.1903622
15,197,3.0830898,3.0830898
16,462,2.9851239,2.9851239
17,635,2.7941775,2.7941775
18,996,2.7262294,2.7262294
19,176,2.6706312,2.6706312
20,815,2.6515675,2.6515675
21,321,2.6128788,2.6128788
22,178,2.6052096,2.6052096
23,257,2.6025743,2.6025743
24,63,2.5850198,2.5850198
25,694,2.5645096,2.5645096
26,826,2.5589519,2.5589519
27,190,2.5381963,2.5381963
28,143,2.524372,2.524372
29,268,2.3373702,2.3373702
30,480,2.3075786,2.3075786
31,756,2.2220142,2.2220142
32,138,2.193925,2.193925
33,193,2.1772397,2.1772397
34,597,2.1606948,2.1606948
35,0,2.132017,2.132017
36,66,2.1061504,2.1061504
37,97,2.0968485,2.0968485
38,135,2.0868876,2.0868876
39,198,2.0809932,2.0809932
40,96,2.0641809,2.0641809
41,92,2.026021,2.026021
42,245,1.9746586,1.9746586
43,234,1.9269283,1.9269283
44,856,1.9204123,1.9204123
45,584,1.8433759,1.8433759
46,261,1.8261342,1.8261342
47,105,1.7914116,1.7914116
48,104,1.7815886,1.7815886
49,872,1.7767681,1.7767681
50,79,1.775453,1.775453
51,39,1.7211405,1.7211405
52,204,1.6585157,1.6585157
53,733,1.6521174,1.6521174
54,854,1.6259977,1.6259977
55,74,1.5959489,1.5959489
56,165,1.593598,1.593598
57,17,1.5319444,1.5319444
58,228,1.511915,1.511915
59,238,1.4766909,1.4766909
60,917,1.3641689,1.3641689
61,154,1.3578687,1.3578687
62,539,1.3475095,1.3475095
63,65,1.3371513,1.3371513
64,137,1.2517782,1.2517782
65,599,1.2222006,1.2222006
66,945,1.2183459,1.2183459
67,400,1.2102642,1.2102642
68,718,1.2065415,1.2065415
69,75,1.1968126,1.1968126
70,541,1.1372962,1.1372962
71,317,1.1050992,1.1050992
72,1000,1.0739331,1.0739331
73,86,1.0453215,1.0453215
74,223,1.0337489,1.0337489
75,296,1.0223174,1.0223174
76,360,1.0187544,1.0187544
77,620,1.0071545,1.0071545
78,191,0.98488945,0.98488945
79,40,0.9741542,0.9741542
80,179,0.9731642,0.9731642
81,222,0.9446355,0.9446355
82,417,0.94211483,0.94211483
83,425,0.9392531,0.9392531
84,666,0.9375753,0.9375753
85,49,0.9140852,0.9140852
86,727,0.91212344,0.91212344
87,389,0.912022,0.912022
88,27,0.909639,0.909639
89,129,0.90824735,0.90824735
90,221,0.8834735,0.8834735
91,728,0.8229104,0.8229104
92,290,0.7773718,0.7773718
93,993,0.7772869,0.7772869
94,878,0.77626276,0.77626276
95,246,0.77156615,0.77156615
96,514,0.7486939,0.7486939
97,577,0.74479276,0.74479276
98,608,0.73702615,0.73702615
99,342,0.6904872,0.6904872
100,109,0.68940806,0.68940806
