rank,feature_idx,coefficient,abs_coefficient
1,15,11.874409,11.874409
2,0,9.237379,9.237379
3,120,5.3944097,5.3944097
4,462,4.5571423,4.5571423
5,815,3.7120705,3.7120705
6,138,3.2991638,3.2991638
7,257,3.2357502,3.2357502
8,130,3.2250502,3.2250502
9,512,3.1567104,3.1567104
10,751,3.0334263,3.0334263
11,143,2.9035838,2.9035838
12,996,2.7760365,2.7760365
13,514,2.7754104,2.7754104
14,111,2.7221415,2.7221415
15,432,2.6751802,2.6751802
16,245,2.6690829,2.6690829
17,193,2.522404,2.522404
18,268,2.4799166,2.4799166
19,165,2.4139578,2.4139578
20,49,2.2875938,2.2875938
21,7,2.2246196,2.2246196
22,425,2.2072637,2.2072637
23,204,2.2056668,2.2056668
24,190,2.160535,2.160535
25,261,2.1401143,2.1401143
26,47,2.1320155,2.1320155
27,296,2.1286886,2.1286886
28,10,2.1113987,2.1113987
29,826,2.0877857,2.0877857
30,123,2.084639,2.084639
31,1000,1.9820639,1.9820639
32,389,1.9742609,1.9742609
33,981,1.8476477,1.8476477
34,157,1.7971058,1.7971058
35,135,1.738679,1.738679
36,97,1.6890246,1.6890246
37,75,1.6558431,1.6558431
38,718,1.6353792,1.6353792
39,8,1.6185664,1.6185664
40,486,1.610313,1.610313
41,597,1.5804237,1.5804237
42,541,1.5437049,1.5437049
43,290,1.5207335,1.5207335
44,223,1.4838166,1.4838166
45,951,1.4774076,1.4774076
46,238,1.4588504,1.4588504
47,756,1.4326907,1.4326907
48,635,1.4309603,1.4309603
49,144,1.3635682,1.3635682
50,106,1.3618797,1.3618797
51,92,1.2963098,1.2963098
52,197,1.236698,1.236698
53,321,1.2034653,1.2034653
54,66,1.2013133,1.2013133
55,39,1.1189126,1.1189126
56,360,1.1157883,1.1157883
57,620,1.1025457,1.1025457
58,564,1.0747939,1.0747939
59,375,1.0500139,1.0500139
60,221,1.0373138,1.0373138
61,113,0.9709463,0.9709463
62,215,0.950057,0.950057
63,838,0.93143207,0.93143207
64,317,0.930794,0.930794
65,400,0.8629961,0.8629961
66,480,0.8126871,0.8126871
67,209,0.8111133,0.8111133
68,644,0.8019287,0.8019287
69,74,0.79184705,0.79184705
70,555,0.76083446,0.76083446
71,105,0.72285575,0.72285575
72,23,0.7225563,0.7225563
73,63,0.71583253,0.71583253
74,147,0.6983351,0.6983351
75,146,0.67666936,0.67666936
76,79,0.65749174,0.65749174
77,178,0.6566649,0.6566649
78,880,0.6547691,0.6547691
79,673,0.62427586,0.62427586
80,856,0.58618075,0.58618075
81,234,0.5814252,0.5814252
82,584,0.5767681,0.5767681
83,56,0.56765217,0.56765217
84,65,0.55820054,0.55820054
85,96,0.55710554,0.55710554
86,872,0.5527538,0.5527538
87,176,0.547484,0.547484
88,854,0.52007145,0.52007145
89,25,0.5118453,0.5118453
90,330,0.48525366,0.48525366
91,141,0.45901656,0.45901656
92,27,0.45765415,0.45765415
93,320,0.4424533,0.4424533
94,341,0.43749,0.43749
95,302,0.42685452,0.42685452
96,577,0.4240063,0.4240063
97,342,0.42235553,0.42235553
98,222,0.4202375,0.4202375
99,185,0.41999593,0.41999593
100,917,0.4162588,0.4162588
