rank,feature_idx,coefficient,abs_coefficient
1,1,11.23129,11.23129
2,0,7.924164,7.924164
3,8,5.5113645,5.5113645
4,12,2.4762352,2.4762352
5,218,2.142397,2.142397
6,33,1.6353978,1.6353978
7,7,1.6334888,1.6334888
8,35,1.5095036,1.5095036
9,59,1.4729048,1.4729048
10,56,0.7841959,0.7841959
11,72,0.44572678,0.44572678
12,167,0.41019338,0.41019338
13,171,0.3904357,0.3904357
14,188,0.38627455,0.38627455
15,898,0.26539072,0.26539072
16,569,0.24452607,0.24452607
17,604,0.21068998,0.21068998
18,479,0.17215338,0.17215338
19,766,0.16410513,0.16410513
20,248,0.11851442,0.11851442
21,15,0.08169824,0.08169824
22,55,0.05110419,0.05110419
23,44,0.05048141,0.05048141
24,49,0.034290776,0.034290776
25,743,0.0020542988,0.0020542988
26,905,0.0015478354,0.0015478354
27,804,0.0005058413,0.0005058413
28,995,0.00044430487,0.00044430487
29,112,0.0004142336,0.0004142336
30,87,0.00036026168,0.00036026168
31,233,0.00028987252,0.00028987252
32,516,7.997346e-05,7.997346e-05
33,57,6.832922e-05,6.832922e-05
34,535,5.4653883e-05,5.4653883e-05
35,82,2.7350115e-05,2.7350115e-05
36,932,2.5336141e-05,2.5336141e-05
37,31,6.3583107e-06,6.3583107e-06
38,140,2.1325397e-06,2.1325397e-06
39,659,6.6561375e-07,6.6561375e-07
40,209,3.3819415e-08,3.3819415e-08
41,371,0.0,0.0
42,342,0.0,0.0
43,351,0.0,0.0
44,375,0.0,0.0
45,350,0.0,0.0
46,349,0.0,0.0
47,348,0.0,0.0
48,347,0.0,0.0
49,346,0.0,0.0
50,345,0.0,0.0
51,344,0.0,0.0
52,343,0.0,0.0
53,275,0.0,0.0
54,341,0.0,0.0
55,370,0.0,0.0
56,340,0.0,0.0
57,339,0.0,0.0
58,376,0.0,0.0
59,338,0.0,0.0
60,337,0.0,0.0
61,336,0.0,0.0
62,335,0.0,0.0
63,377,0.0,0.0
64,334,0.0,0.0
65,378,0.0,0.0
66,374,0.0,0.0
67,352,0.0,0.0
68,353,0.0,0.0
69,274,0.0,0.0
70,369,0.0,0.0
71,368,0.0,0.0
72,367,0.0,0.0
73,366,0.0,0.0
74,365,0.0,0.0
75,364,0.0,0.0
76,363,0.0,0.0
77,362,0.0,0.0
78,372,0.0,0.0
79,361,0.0,0.0
80,270,0.0,0.0
81,360,0.0,0.0
82,359,0.0,0.0
83,358,0.0,0.0
84,271,0.0,0.0
85,272,0.0,0.0
86,357,0.0,0.0
87,356,0.0,0.0
88,373,0.0,0.0
89,332,0.0,0.0
90,355,0.0,0.0
91,273,0.0,0.0
92,354,0.0,0.0
93,333,0.0,0.0
94,286,0.0,0.0
95,331,0.0,0.0
96,279,0.0,0.0
97,306,0.0,0.0
98,305,0.0,0.0
99,304,0.0,0.0
100,303,0.0,0.0
