rank,feature_idx,coefficient,abs_coefficient
1,8,12.381494,12.381494
2,0,7.3285575,7.3285575
3,188,5.3616686,5.3616686
4,35,4.8199806,4.8199806
5,1,4.2168674,4.2168674
6,55,3.2932334,3.2932334
7,7,3.2913227,3.2913227
8,171,2.1903963,2.1903963
9,56,1.7061644,1.7061644
10,15,1.6304494,1.6304494
11,33,0.7955171,0.7955171
12,31,0.5425043,0.5425043
13,44,0.26189935,0.26189935
14,218,0.20756838,0.20756838
15,59,0.052887343,0.052887343
16,49,0.034012,0.034012
17,12,0.005815968,0.005815968
18,327,0.0,0.0
19,348,0.0,0.0
20,342,0.0,0.0
21,346,0.0,0.0
22,349,0.0,0.0
23,345,0.0,0.0
24,344,0.0,0.0
25,350,0.0,0.0
26,343,0.0,0.0
27,347,0.0,0.0
28,331,0.0,0.0
29,330,0.0,0.0
30,341,0.0,0.0
31,340,0.0,0.0
32,351,0.0,0.0
33,339,0.0,0.0
34,338,0.0,0.0
35,337,0.0,0.0
36,329,0.0,0.0
37,336,0.0,0.0
38,335,0.0,0.0
39,334,0.0,0.0
40,333,0.0,0.0
41,332,0.0,0.0
42,328,0.0,0.0
43,355,0.0,0.0
44,352,0.0,0.0
45,369,0.0,0.0
46,383,0.0,0.0
47,382,0.0,0.0
48,381,0.0,0.0
49,380,0.0,0.0
50,379,0.0,0.0
51,378,0.0,0.0
52,377,0.0,0.0
53,376,0.0,0.0
54,375,0.0,0.0
55,374,0.0,0.0
56,373,0.0,0.0
57,372,0.0,0.0
58,371,0.0,0.0
59,370,0.0,0.0
60,368,0.0,0.0
61,353,0.0,0.0
62,367,0.0,0.0
63,366,0.0,0.0
64,365,0.0,0.0
65,364,0.0,0.0
66,363,0.0,0.0
67,362,0.0,0.0
68,361,0.0,0.0
69,360,0.0,0.0
70,359,0.0,0.0
71,358,0.0,0.0
72,357,0.0,0.0
73,356,0.0,0.0
74,325,0.0,0.0
75,354,0.0,0.0
76,326,0.0,0.0
77,318,0.0,0.0
78,324,0.0,0.0
79,293,0.0,0.0
80,291,0.0,0.0
81,290,0.0,0.0
82,289,0.0,0.0
83,288,0.0,0.0
84,287,0.0,0.0
85,286,0.0,0.0
86,285,0.0,0.0
87,284,0.0,0.0
88,283,0.0,0.0
89,282,0.0,0.0
90,281,0.0,0.0
91,280,0.0,0.0
92,279,0.0,0.0
93,278,0.0,0.0
94,277,0.0,0.0
95,276,0.0,0.0
96,275,0.0,0.0
97,274,0.0,0.0
98,273,0.0,0.0
99,272,0.0,0.0
100,271,0.0,0.0
