rank,feature_idx,coefficient,abs_coefficient
1,1,1.469003,1.469003
2,0,-1.3135191,1.3135191
3,188,-1.2244645,1.2244645
4,233,-0.49255162,0.49255162
5,604,-0.35475454,0.35475454
6,12,-0.3429202,0.3429202
7,7,-0.21758434,0.21758434
8,8,0.18419081,0.18419081
9,340,0.0,0.0
10,341,0.0,0.0
11,342,0.0,0.0
12,343,0.0,0.0
13,344,0.0,0.0
14,346,0.0,0.0
15,345,0.0,0.0
16,338,0.0,0.0
17,347,0.0,0.0
18,348,0.0,0.0
19,349,0.0,0.0
20,339,0.0,0.0
21,335,0.0,0.0
22,337,0.0,0.0
23,336,0.0,0.0
24,351,0.0,0.0
25,334,0.0,0.0
26,333,0.0,0.0
27,332,0.0,0.0
28,331,0.0,0.0
29,330,0.0,0.0
30,329,0.0,0.0
31,328,0.0,0.0
32,327,0.0,0.0
33,326,0.0,0.0
34,325,0.0,0.0
35,324,0.0,0.0
36,350,0.0,0.0
37,354,0.0,0.0
38,352,0.0,0.0
39,368,0.0,0.0
40,381,0.0,0.0
41,380,0.0,0.0
42,379,0.0,0.0
43,378,0.0,0.0
44,377,0.0,0.0
45,376,0.0,0.0
46,375,0.0,0.0
47,374,0.0,0.0
48,373,0.0,0.0
49,372,0.0,0.0
50,371,0.0,0.0
51,370,0.0,0.0
52,369,0.0,0.0
53,367,0.0,0.0
54,353,0.0,0.0
55,366,0.0,0.0
56,365,0.0,0.0
57,364,0.0,0.0
58,363,0.0,0.0
59,362,0.0,0.0
60,361,0.0,0.0
61,360,0.0,0.0
62,359,0.0,0.0
63,358,0.0,0.0
64,357,0.0,0.0
65,356,0.0,0.0
66,355,0.0,0.0
67,322,0.0,0.0
68,323,0.0,0.0
69,319,0.0,0.0
70,321,0.0,0.0
71,274,0.0,0.0
72,287,0.0,0.0
73,286,0.0,0.0
74,285,0.0,0.0
75,284,0.0,0.0
76,283,0.0,0.0
77,282,0.0,0.0
78,281,0.0,0.0
79,280,0.0,0.0
80,279,0.0,0.0
81,278,0.0,0.0
82,277,0.0,0.0
83,276,0.0,0.0
84,275,0.0,0.0
85,273,0.0,0.0
86,289,0.0,0.0
87,272,0.0,0.0
88,271,0.0,0.0
89,270,0.0,0.0
90,269,0.0,0.0
91,268,0.0,0.0
92,267,0.0,0.0
93,266,0.0,0.0
94,265,0.0,0.0
95,264,0.0,0.0
96,263,0.0,0.0
97,262,0.0,0.0
98,261,0.0,0.0
99,260,0.0,0.0
100,288,0.0,0.0
