rank,feature_idx,coefficient,abs_coefficient
1,30,3.3325922,3.3325922
2,1476,-3.2746456,3.2746456
3,414,-3.231177,3.231177
4,278,-3.1873636,3.1873636
5,624,-3.177345,3.177345
6,205,3.1436472,3.1436472
7,1147,-3.1026826,3.1026826
8,802,3.0785906,3.0785906
9,658,-2.9223018,2.9223018
10,1348,2.7962258,2.7962258
11,126,2.6608346,2.6608346
12,843,-2.5386565,2.5386565
13,630,2.4922416,2.4922416
14,1237,-2.4814062,2.4814062
15,974,2.4309742,2.4309742
16,879,2.2940626,2.2940626
17,1223,-1.992174,1.992174
18,1066,-1.9670867,1.9670867
19,1331,-1.9174312,1.9174312
20,1498,1.9022485,1.9022485
21,1458,-1.8791366,1.8791366
22,208,-1.8375669,1.8375669
23,749,1.8341485,1.8341485
24,1049,-1.8293478,1.8293478
25,1352,-1.820093,1.820093
26,248,1.7903706,1.7903706
27,1350,-1.7899127,1.7899127
28,897,1.7795041,1.7795041
29,1024,1.7743511,1.7743511
30,941,1.7709378,1.7709378
31,878,-1.7683549,1.7683549
32,1343,-1.7605168,1.7605168
33,938,1.7591751,1.7591751
34,727,-1.7540092,1.7540092
35,737,1.7521844,1.7521844
36,573,-1.7427499,1.7427499
37,1018,1.7271534,1.7271534
38,418,1.7196629,1.7196629
39,987,-1.7123988,1.7123988
40,496,1.7019333,1.7019333
41,1214,1.6977736,1.6977736
42,508,1.6827956,1.6827956
43,784,-1.6811258,1.6811258
44,459,-1.6661769,1.6661769
45,799,-1.6552662,1.6552662
46,1394,-1.6546193,1.6546193
47,1502,1.6502159,1.6502159
48,1335,1.6453006,1.6453006
49,668,1.6332531,1.6332531
50,857,-1.6284395,1.6284395
51,867,1.624909,1.624909
52,276,-1.6225786,1.6225786
53,607,1.6192213,1.6192213
54,754,-1.6112962,1.6112962
55,475,1.5935687,1.5935687
56,778,-1.581743,1.581743
57,763,1.5659987,1.5659987
58,616,-1.5578737,1.5578737
59,74,1.5518484,1.5518484
60,600,-1.5405396,1.5405396
61,774,1.5371474,1.5371474
62,827,-1.5226141,1.5226141
63,1235,-1.516827,1.516827
64,558,1.5109258,1.5109258
65,5,1.5069901,1.5069901
66,605,1.4926108,1.4926108
67,914,-1.4852469,1.4852469
68,962,1.4704937,1.4704937
69,399,1.4704581,1.4704581
70,1304,1.4626133,1.4626133
71,447,-1.461164,1.461164
72,434,1.4514304,1.4514304
73,32,1.4511917,1.4511917
74,1098,1.4098817,1.4098817
75,488,-1.4008855,1.4008855
76,951,-1.3715653,1.3715653
77,353,1.3689632,1.3689632
78,1139,1.3643314,1.3643314
79,1450,-1.3636595,1.3636595
80,1186,1.3621278,1.3621278
81,320,1.3595667,1.3595667
82,80,1.3536953,1.3536953
83,1478,-1.3408943,1.3408943
84,1370,-1.3372227,1.3372227
85,1494,1.3359985,1.3359985
86,507,1.3357191,1.3357191
87,1270,1.3304962,1.3304962
88,806,1.3167337,1.3167337
89,980,-1.294186,1.294186
90,773,1.2711806,1.2711806
91,1164,1.2648945,1.2648945
92,1206,-1.254794,1.254794
93,1294,-1.2503189,1.2503189
94,302,1.2399995,1.2399995
95,1155,-1.2382951,1.2382951
96,368,-1.2359476,1.2359476
97,1140,1.2287402,1.2287402
98,1435,-1.2119652,1.2119652
99,732,-1.1893075,1.1893075
100,1116,-1.1860693,1.1860693
