rank,feature_idx,coefficient,abs_coefficient
1,29,11.210298,11.210298
2,25,9.963163,9.963163
3,19,5.9663916,5.9663916
4,4,5.817872,5.817872
5,117,5.5748644,5.5748644
6,1551,4.979416,4.979416
7,2,4.895974,4.895974
8,23,4.7456636,4.7456636
9,50,4.649665,4.649665
10,31,4.557044,4.557044
11,120,4.529414,4.529414
12,116,4.49789,4.49789
13,300,4.421466,4.421466
14,345,4.3479953,4.3479953
15,958,4.275772,4.275772
16,12,4.0650835,4.0650835
17,5,3.9674373,3.9674373
18,39,3.892467,3.892467
19,144,3.6106477,3.6106477
20,8,3.4232686,3.4232686
21,52,3.32994,3.32994
22,509,3.283667,3.283667
23,14,3.2552185,3.2552185
24,13,3.2539074,3.2539074
25,511,3.1957011,3.1957011
26,261,3.1368325,3.1368325
27,448,3.0704465,3.0704465
28,157,2.985637,2.985637
29,755,2.847692,2.847692
30,98,2.81403,2.81403
31,1732,2.8128686,2.8128686
32,491,2.77415,2.77415
33,260,2.7683442,2.7683442
34,397,2.7282577,2.7282577
35,508,2.6928525,2.6928525
36,204,2.5383756,2.5383756
37,489,2.533125,2.533125
38,27,2.4998715,2.4998715
39,444,2.4257493,2.4257493
40,240,2.3783748,2.3783748
41,1360,2.2413094,2.2413094
42,905,2.2282748,2.2282748
43,63,2.1923375,2.1923375
44,170,2.1656785,2.1656785
45,91,2.0732265,2.0732265
46,66,2.0564952,2.0564952
47,69,2.0487323,2.0487323
48,283,2.02124,2.02124
49,525,1.9661472,1.9661472
50,507,1.9585034,1.9585034
51,80,1.9537106,1.9537106
52,57,1.9215581,1.9215581
53,205,1.9068587,1.9068587
54,405,1.8898523,1.8898523
55,2039,1.8631538,1.8631538
56,812,1.843714,1.843714
57,481,1.8420111,1.8420111
58,1332,1.8199571,1.8199571
59,289,1.8073126,1.8073126
60,703,1.8016323,1.8016323
61,365,1.8004147,1.8004147
62,224,1.7975028,1.7975028
63,336,1.7914536,1.7914536
64,15,1.7704506,1.7704506
65,185,1.7670481,1.7670481
66,1557,1.7589662,1.7589662
67,510,1.7076151,1.7076151
68,81,1.7038221,1.7038221
69,9,1.7014774,1.7014774
70,1173,1.655085,1.655085
71,86,1.6504233,1.6504233
72,1679,1.6450201,1.6450201
73,55,1.6243832,1.6243832
74,408,1.6103737,1.6103737
75,1885,1.5943013,1.5943013
76,320,1.5901613,1.5901613
77,1725,1.5716381,1.5716381
78,34,1.5393997,1.5393997
79,210,1.5297439,1.5297439
80,1529,1.4803385,1.4803385
81,11,1.4571555,1.4571555
82,288,1.4307308,1.4307308
83,1163,1.422939,1.422939
84,379,1.4127114,1.4127114
85,1494,1.4045995,1.4045995
86,1017,1.3825696,1.3825696
87,1731,1.3784233,1.3784233
88,318,1.3766172,1.3766172
89,826,1.3759384,1.3759384
90,541,1.368151,1.368151
91,1505,1.3643581,1.3643581
92,404,1.3495483,1.3495483
93,733,1.3213577,1.3213577
94,230,1.3158047,1.3158047
95,53,1.3109148,1.3109148
96,1140,1.3012315,1.3012315
97,1064,1.2854617,1.2854617
98,495,1.268392,1.268392
99,392,1.2434499,1.2434499
100,1221,1.2371948,1.2371948
