rank,feature_idx,coefficient,abs_coefficient
1,3,-7.2021904,7.2021904
2,13,5.8690495,5.8690495
3,18,2.4497044,2.4497044
4,10,-2.2792523,2.2792523
5,114,-2.244122,2.244122
6,107,-2.2199724,2.2199724
7,24,2.1793234,2.1793234
8,4,-2.077001,2.077001
9,29,1.6807662,1.6807662
10,7,1.439524,1.439524
11,17,1.1517406,1.1517406
12,55,-0.8721845,0.8721845
13,2,-0.67817944,0.67817944
14,25,0.6158104,0.6158104
15,91,-0.6076106,0.6076106
16,321,0.36439192,0.36439192
17,28,-0.35310817,0.35310817
18,19,-0.2610708,0.2610708
19,301,0.14432517,0.14432517
20,352,-0.09836644,0.09836644
21,58,0.04980232,0.04980232
22,15,0.04926262,0.04926262
23,454,-0.03978162,0.03978162
24,126,0.029028941,0.029028941
25,104,0.014085369,0.014085369
26,320,-0.0028529584,0.0028529584
27,690,0.0,0.0
28,689,0.0,0.0
29,691,0.0,0.0
30,688,0.0,0.0
31,685,0.0,0.0
32,692,0.0,0.0
33,686,0.0,0.0
34,687,0.0,0.0
35,2047,0.0,0.0
36,693,0.0,0.0
37,694,0.0,0.0
38,683,0.0,0.0
39,695,0.0,0.0
40,696,0.0,0.0
41,697,0.0,0.0
42,698,0.0,0.0
43,699,0.0,0.0
44,700,0.0,0.0
45,701,0.0,0.0
46,702,0.0,0.0
47,703,0.0,0.0
48,704,0.0,0.0
49,705,0.0,0.0
50,684,0.0,0.0
51,676,0.0,0.0
52,682,0.0,0.0
53,681,0.0,0.0
54,652,0.0,0.0
55,653,0.0,0.0
56,654,0.0,0.0
57,655,0.0,0.0
58,656,0.0,0.0
59,657,0.0,0.0
60,658,0.0,0.0
61,659,0.0,0.0
62,660,0.0,0.0
63,661,0.0,0.0
64,662,0.0,0.0
65,663,0.0,0.0
66,664,0.0,0.0
67,665,0.0,0.0
68,666,0.0,0.0
69,667,0.0,0.0
70,668,0.0,0.0
71,669,0.0,0.0
72,670,0.0,0.0
73,671,0.0,0.0
74,672,0.0,0.0
75,673,0.0,0.0
76,674,0.0,0.0
77,675,0.0,0.0
78,707,0.0,0.0
79,677,0.0,0.0
80,678,0.0,0.0
81,679,0.0,0.0
82,680,0.0,0.0
83,706,0.0,0.0
84,717,0.0,0.0
85,708,0.0,0.0
86,755,0.0,0.0
87,742,0.0,0.0
88,743,0.0,0.0
89,744,0.0,0.0
90,745,0.0,0.0
91,746,0.0,0.0
92,747,0.0,0.0
93,748,0.0,0.0
94,749,0.0,0.0
95,750,0.0,0.0
96,751,0.0,0.0
97,752,0.0,0.0
98,753,0.0,0.0
99,754,0.0,0.0
100,756,0.0,0.0
