rank,feature_idx,coefficient,abs_coefficient
1,708,-3.1999795,3.1999795
2,1247,3.0948985,3.0948985
3,616,-3.0772243,3.0772243
4,1359,3.061946,3.061946
5,431,-3.049415,3.049415
6,734,2.693568,2.693568
7,1450,2.598912,2.598912
8,533,-2.5924957,2.5924957
9,363,-2.513781,2.513781
10,658,-2.4680696,2.4680696
11,180,-2.444318,2.444318
12,1145,2.3315873,2.3315873
13,680,-2.268774,2.268774
14,1170,1.9909879,1.9909879
15,1252,1.9891738,1.9891738
16,541,-1.9669906,1.9669906
17,613,-1.9126996,1.9126996
18,1457,-1.9084933,1.9084933
19,55,1.873195,1.873195
20,1121,-1.8670881,1.8670881
21,698,-1.8386192,1.8386192
22,1496,-1.8231934,1.8231934
23,1468,1.8170636,1.8170636
24,1137,-1.8152951,1.8152951
25,846,1.7967762,1.7967762
26,161,1.7936356,1.7936356
27,1056,1.7934694,1.7934694
28,1339,1.7885725,1.7885725
29,521,-1.7773277,1.7773277
30,153,1.7768062,1.7768062
31,417,-1.7763697,1.7763697
32,284,-1.7755908,1.7755908
33,405,1.7672174,1.7672174
34,585,1.766933,1.766933
35,934,-1.7651716,1.7651716
36,1287,1.7644819,1.7644819
37,732,1.7614087,1.7614087
38,1529,-1.7502224,1.7502224
39,157,1.749329,1.749329
40,326,-1.7425784,1.7425784
41,1124,1.7372347,1.7372347
42,671,1.7281083,1.7281083
43,232,1.7271463,1.7271463
44,226,-1.7187945,1.7187945
45,394,1.7105228,1.7105228
46,1034,-1.7082577,1.7082577
47,924,-1.7058992,1.7058992
48,494,-1.6886405,1.6886405
49,1132,-1.680373,1.680373
50,584,1.6677951,1.6677951
51,341,-1.6677903,1.6677903
52,1453,1.6632187,1.6632187
53,1191,-1.6625496,1.6625496
54,626,1.6524494,1.6524494
55,111,-1.6493613,1.6493613
56,1037,1.6455334,1.6455334
57,39,-1.6256351,1.6256351
58,415,-1.6135077,1.6135077
59,1491,1.6122866,1.6122866
60,35,-1.6120634,1.6120634
61,250,1.6113973,1.6113973
62,1267,-1.611042,1.611042
63,1225,-1.5856034,1.5856034
64,215,-1.5783515,1.5783515
65,561,-1.5604422,1.5604422
66,249,-1.5588278,1.5588278
67,841,1.5518677,1.5518677
68,395,-1.5241845,1.5241845
69,677,-1.5201501,1.5201501
70,1312,-1.515348,1.515348
71,887,-1.4967575,1.4967575
72,1505,-1.4920915,1.4920915
73,1053,-1.4881778,1.4881778
74,546,1.4833032,1.4833032
75,1008,-1.4690408,1.4690408
76,1069,1.4583582,1.4583582
77,651,-1.4491502,1.4491502
78,892,1.4460624,1.4460624
79,1445,1.4438869,1.4438869
80,1136,-1.4431256,1.4431256
81,756,1.4193317,1.4193317
82,605,-1.3926773,1.3926773
83,1373,1.3726742,1.3726742
84,1151,-1.367122,1.367122
85,106,1.3657455,1.3657455
86,779,1.3562341,1.3562341
87,831,-1.350827,1.350827
88,374,-1.3438662,1.3438662
89,1000,-1.3381457,1.3381457
90,1342,-1.3327438,1.3327438
91,30,-1.3316964,1.3316964
92,1152,-1.3311458,1.3311458
93,1066,-1.3223578,1.3223578
94,1396,-1.3177325,1.3177325
95,945,-1.3027198,1.3027198
96,28,1.3019503,1.3019503
97,37,-1.2958144,1.2958144
98,94,-1.2876773,1.2876773
99,1384,-1.2819349,1.2819349
100,890,1.2818584,1.2818584
