rank,feature_idx,coefficient,abs_coefficient
1,825,2.593827,2.593827
2,525,1.9302303,1.9302303
3,1210,1.8762926,1.8762926
4,1299,1.8204848,1.8204848
5,291,1.8059969,1.8059969
6,728,1.7747878,1.7747878
7,1131,1.763535,1.763535
8,634,1.7380396,1.7380396
9,207,1.7354418,1.7354418
10,527,1.731438,1.731438
11,449,1.7121404,1.7121404
12,908,1.6500497,1.6500497
13,1034,1.6171635,1.6171635
14,248,1.6029116,1.6029116
15,1051,1.566738,1.566738
16,375,1.5531944,1.5531944
17,1121,1.5465155,1.5465155
18,927,1.5198288,1.5198288
19,92,1.4952612,1.4952612
20,50,1.4909831,1.4909831
21,1505,1.4897624,1.4897624
22,344,1.4853835,1.4853835
23,750,1.4814638,1.4814638
24,249,1.4612991,1.4612991
25,240,1.4479383,1.4479383
26,304,1.430521,1.430521
27,865,1.4218622,1.4218622
28,876,1.4152741,1.4152741
29,355,1.4076872,1.4076872
30,1368,1.407578,1.407578
31,1139,1.3943924,1.3943924
32,115,1.380498,1.380498
33,1254,1.3759885,1.3759885
34,1418,1.3718232,1.3718232
35,1287,1.3665209,1.3665209
36,1324,1.363321,1.363321
37,1369,1.3619536,1.3619536
38,125,1.3575157,1.3575157
39,1083,1.3574829,1.3574829
40,608,1.3507738,1.3507738
41,60,1.3375384,1.3375384
42,156,1.3341628,1.3341628
43,1178,1.3332905,1.3332905
44,1526,1.3288006,1.3288006
45,448,1.3255407,1.3255407
46,1175,1.3188846,1.3188846
47,984,1.3106936,1.3106936
48,1326,1.3105522,1.3105522
49,1211,1.3087155,1.3087155
50,1076,1.2997704,1.2997704
51,1,1.2966546,1.2966546
52,1280,1.29367,1.29367
53,14,1.2925698,1.2925698
54,1304,1.2905856,1.2905856
55,312,1.2633723,1.2633723
56,164,1.2556101,1.2556101
57,1230,1.2427212,1.2427212
58,581,1.2357957,1.2357957
59,1162,1.226929,1.226929
60,45,1.2245129,1.2245129
61,921,1.2210432,1.2210432
62,1506,1.2158532,1.2158532
63,330,1.2152044,1.2152044
64,1456,1.2150077,1.2150077
65,1101,1.2131637,1.2131637
66,1458,1.210519,1.210519
67,997,1.2059284,1.2059284
68,1165,1.1927981,1.1927981
69,964,1.1891705,1.1891705
70,326,1.1873564,1.1873564
71,511,1.1863524,1.1863524
72,170,1.1863288,1.1863288
73,360,1.1813351,1.1813351
74,868,1.1783828,1.1783828
75,1192,1.1783699,1.1783699
76,1151,1.1744596,1.1744596
77,166,1.173772,1.173772
78,1082,1.1692171,1.1692171
79,1138,1.1692134,1.1692134
80,1362,1.1673309,1.1673309
81,1158,1.1627661,1.1627661
82,1422,1.1618909,1.1618909
83,96,1.1617972,1.1617972
84,967,1.1617955,1.1617955
85,953,1.151405,1.151405
86,653,1.142775,1.142775
87,873,1.1420614,1.1420614
88,473,1.138282,1.138282
89,452,1.1211228,1.1211228
90,15,1.1189704,1.1189704
91,135,1.1187373,1.1187373
92,1276,1.1184571,1.1184571
93,123,1.1176147,1.1176147
94,437,1.1156114,1.1156114
95,1301,1.1118942,1.1118942
96,1502,1.1117996,1.1117996
97,32,1.1104244,1.1104244
98,698,1.1098683,1.1098683
99,862,1.1092274,1.1092274
100,1084,1.1088983,1.1088983
