rank,feature_idx,coefficient,abs_coefficient
1,20,12.589202,12.589202
2,31,9.827377,9.827377
3,26,9.021556,9.021556
4,239,8.302024,8.302024
5,27,7.8799706,7.8799706
6,17,7.5603905,7.5603905
7,395,6.6956315,6.6956315
8,65,6.5595107,6.5595107
9,41,5.09621,5.09621
10,70,4.990508,4.990508
11,286,4.7581525,4.7581525
12,23,4.531402,4.531402
13,25,4.5007434,4.5007434
14,69,4.40899,4.40899
15,5,4.4068274,4.4068274
16,93,4.2344594,4.2344594
17,24,4.168693,4.168693
18,3,4.058025,4.058025
19,58,3.8622074,3.8622074
20,47,3.5737498,3.5737498
21,100,3.3305633,3.3305633
22,14,3.2528954,3.2528954
23,7,3.1465933,3.1465933
24,10,3.061692,3.061692
25,164,2.9333694,2.9333694
26,105,2.832475,2.832475
27,0,2.7215824,2.7215824
28,1,2.7161653,2.7161653
29,40,2.7129414,2.7129414
30,1430,2.6800811,2.6800811
31,22,2.6611469,2.6611469
32,119,2.5512161,2.5512161
33,257,2.548075,2.548075
34,13,2.4948509,2.4948509
35,32,2.4148405,2.4148405
36,4,2.388395,2.388395
37,85,2.3334377,2.3334377
38,335,2.3013928,2.3013928
39,510,2.2897854,2.2897854
40,1925,2.1985,2.1985
41,90,2.120557,2.120557
42,347,2.111738,2.111738
43,140,2.051378,2.051378
44,391,2.0225294,2.0225294
45,75,2.0034928,2.0034928
46,11,1.9792585,1.9792585
47,134,1.9492983,1.9492983
48,92,1.7807078,1.7807078
49,376,1.7652736,1.7652736
50,8,1.7475814,1.7475814
51,1380,1.7385546,1.7385546
52,341,1.7247392,1.7247392
53,52,1.7242789,1.7242789
54,81,1.6582112,1.6582112
55,51,1.6281681,1.6281681
56,48,1.6265286,1.6265286
57,231,1.5858921,1.5858921
58,314,1.4979153,1.4979153
59,89,1.4924946,1.4924946
60,490,1.4732584,1.4732584
61,393,1.4129715,1.4129715
62,91,1.2864798,1.2864798
63,2,1.2833753,1.2833753
64,426,1.2553965,1.2553965
65,106,1.1978602,1.1978602
66,476,1.1686093,1.1686093
67,332,1.1517228,1.1517228
68,1431,1.1275517,1.1275517
69,29,1.1270574,1.1270574
70,35,1.0854601,1.0854601
71,161,1.0803981,1.0803981
72,6,1.0663092,1.0663092
73,385,1.06012,1.06012
74,18,1.0353951,1.0353951
75,1074,1.0293354,1.0293354
76,73,1.0080428,1.0080428
77,64,1.0062402,1.0062402
78,229,0.97274446,0.97274446
79,113,0.9634905,0.9634905
80,663,0.93285424,0.93285424
81,493,0.92509776,0.92509776
82,108,0.91340464,0.91340464
83,117,0.8966317,0.8966317
84,46,0.89488596,0.89488596
85,94,0.8880891,0.8880891
86,264,0.87705773,0.87705773
87,15,0.86123776,0.86123776
88,128,0.8390252,0.8390252
89,805,0.83463234,0.83463234
90,785,0.8237539,0.8237539
91,9,0.8072868,0.8072868
92,355,0.715144,0.715144
93,36,0.7055878,0.7055878
94,126,0.6846277,0.6846277
95,53,0.67080617,0.67080617
96,28,0.6669245,0.6669245
97,464,0.666151,0.666151
98,492,0.653958,0.653958
99,438,0.6490641,0.6490641
100,30,0.6056192,0.6056192
