rank,feature_idx,coefficient,abs_coefficient
1,28,23.46128,23.46128
2,267,-22.267841,22.267841
3,30,-20.16215,20.16215
4,21,-19.959442,19.959442
5,22,-18.523676,18.523676
6,485,-17.029688,17.029688
7,20,-16.815317,16.815317
8,140,-16.450907,16.450907
9,466,-16.022282,16.022282
10,34,-15.321175,15.321175
11,408,-14.910872,14.910872
12,17,14.048018,14.048018
13,32,-13.809046,13.809046
14,18,-13.785957,13.785957
15,354,-12.686856,12.686856
16,59,-12.566792,12.566792
17,16,12.276093,12.276093
18,349,-11.781969,11.781969
19,246,-11.780056,11.780056
20,243,-11.738047,11.738047
21,2,11.655638,11.655638
22,2000,-11.639717,11.639717
23,472,-11.412935,11.412935
24,4,10.946962,10.946962
25,25,10.552731,10.552731
26,29,-10.199314,10.199314
27,1202,-10.046296,10.046296
28,319,-9.924079,9.924079
29,876,-9.518624,9.518624
30,1832,-9.443016,9.443016
31,146,-8.828087,8.828087
32,911,-8.567961,8.567961
33,206,-8.115598,8.115598
34,66,-8.0443535,8.0443535
35,1988,-8.021589,8.021589
36,1143,-7.9038496,7.9038496
37,399,-7.7179494,7.7179494
38,951,-7.336112,7.336112
39,14,7.250379,7.250379
40,41,-7.154333,7.154333
41,1844,-7.001862,7.001862
42,27,-6.692747,6.692747
43,7,-6.6716948,6.6716948
44,68,-6.630394,6.630394
45,360,-6.4937525,6.4937525
46,309,-6.375042,6.375042
47,124,-6.075366,6.075366
48,2044,-5.9892883,5.9892883
49,114,-5.915737,5.915737
50,1099,-5.8141,5.8141
51,19,5.6713104,5.6713104
52,775,-5.62327,5.62327
53,455,-5.5564384,5.5564384
54,440,-5.4244714,5.4244714
55,15,5.379234,5.379234
56,1640,-5.2518406,5.2518406
57,476,-5.2488165,5.2488165
58,851,-5.2236567,5.2236567
59,549,-5.148354,5.148354
60,1782,-5.1347055,5.1347055
61,24,5.042104,5.042104
62,462,-4.853121,4.853121
63,1304,-4.8060317,4.8060317
64,1444,-4.7640777,4.7640777
65,1,-4.6446295,4.6446295
66,288,-4.6120577,4.6120577
67,878,-4.515759,4.515759
68,424,-4.5138497,4.5138497
69,242,-4.491462,4.491462
70,1500,-4.459161,4.459161
71,254,-4.2665157,4.2665157
72,200,-4.244658,4.244658
73,427,-4.2194858,4.2194858
74,687,-4.2153788,4.2153788
75,33,-4.126303,4.126303
76,77,4.1145315,4.1145315
77,346,-4.017366,4.017366
78,84,3.9988658,3.9988658
79,74,3.996648,3.996648
80,153,-3.9704595,3.9704595
81,3,-3.9170225,3.9170225
82,90,-3.888136,3.888136
83,182,-3.86758,3.86758
84,1668,-3.8462794,3.8462794
85,273,-3.7424235,3.7424235
86,87,3.7081025,3.7081025
87,1719,-3.6755893,3.6755893
88,42,3.6406379,3.6406379
89,611,-3.6388905,3.6388905
90,26,3.577822,3.577822
91,458,-3.4967043,3.4967043
92,180,-3.426137,3.426137
93,1205,-3.3755963,3.3755963
94,1633,-3.2907882,3.2907882
95,39,3.261114,3.261114
96,8,-3.2009768,3.2009768
97,36,-3.1730192,3.1730192
98,94,-3.1711767,3.1711767
99,1023,-3.0687387,3.0687387
100,790,-3.0659277,3.0659277
