rank,feature_idx,coefficient,abs_coefficient
1,27,21.583374,21.583374
2,20,-11.035434,11.035434
3,378,6.7384853,6.7384853
4,66,5.5952244,5.5952244
5,0,5.425049,5.425049
6,133,-4.429117,4.429117
7,421,-4.314961,4.314961
8,490,4.1980824,4.1980824
9,6,-3.8961682,3.8961682
10,23,3.6885285,3.6885285
11,1898,3.473088,3.473088
12,1728,3.3203335,3.3203335
13,1056,3.2545428,3.2545428
14,9,3.059639,3.059639
15,2005,2.9243503,2.9243503
16,465,2.8486319,2.8486319
17,51,-2.8307977,2.8307977
18,12,-2.608245,2.608245
19,1256,2.6081378,2.6081378
20,68,2.5966318,2.5966318
21,440,2.4734168,2.4734168
22,3,-2.398679,2.398679
23,330,2.360295,2.360295
24,137,-2.2932837,2.2932837
25,358,2.2002285,2.2002285
26,63,2.0521116,2.0521116
27,354,1.9108248,1.9108248
28,322,1.8329751,1.8329751
29,1134,1.8158406,1.8158406
30,125,1.806647,1.806647
31,843,-1.7980881,1.7980881
32,392,1.7774476,1.7774476
33,874,1.775912,1.775912
34,687,1.7526823,1.7526823
35,136,1.7518159,1.7518159
36,498,1.7444612,1.7444612
37,472,1.7424521,1.7424521
38,1769,-1.6485885,1.6485885
39,331,-1.6053212,1.6053212
40,487,1.5894127,1.5894127
41,485,1.5492228,1.5492228
42,1635,-1.5276434,1.5276434
43,1699,-1.4623897,1.4623897
44,935,1.4367641,1.4367641
45,300,1.3703427,1.3703427
46,382,1.2872182,1.2872182
47,98,-1.281664,1.281664
48,40,1.2770878,1.2770878
49,156,-1.2719827,1.2719827
50,1425,-1.2493831,1.2493831
51,290,1.2489117,1.2489117
52,380,1.242153,1.242153
53,220,1.21642,1.21642
54,59,1.1751021,1.1751021
55,925,-1.1288648,1.1288648
56,1846,1.0925173,1.0925173
57,1377,1.0844613,1.0844613
58,328,1.0759213,1.0759213
59,327,1.0076706,1.0076706
60,180,0.99493957,0.99493957
61,391,0.99478346,0.99478346
62,1084,-0.949503,0.949503
63,259,0.92174476,0.92174476
64,215,-0.9031617,0.9031617
65,1392,0.87403584,0.87403584
66,289,0.84281147,0.84281147
67,118,0.82179344,0.82179344
68,47,0.81788355,0.81788355
69,224,0.77282745,0.77282745
70,1196,0.76949215,0.76949215
71,504,-0.7640401,0.7640401
72,626,-0.7626038,0.7626038
73,13,0.6956581,0.6956581
74,36,0.6874625,0.6874625
75,640,0.6424859,0.6424859
76,937,0.6274104,0.6274104
77,1152,-0.6105919,0.6105919
78,1713,0.59523034,0.59523034
79,1411,0.5887289,0.5887289
80,1045,-0.5857595,0.5857595
81,1698,-0.5722276,0.5722276
82,303,0.56067723,0.56067723
83,54,0.56050766,0.56050766
84,272,0.5230344,0.5230344
85,1800,-0.5204141,0.5204141
86,1147,-0.5184584,0.5184584
87,1947,-0.51360154,0.51360154
88,210,0.49019203,0.49019203
89,1535,0.4792343,0.4792343
90,483,-0.45713383,0.45713383
91,302,0.45489663,0.45489663
92,2027,0.44970578,0.44970578
93,605,-0.429941,0.429941
94,567,0.42478654,0.42478654
95,1724,0.4047896,0.4047896
96,178,0.4005396,0.4005396
97,320,0.3900889,0.3900889
98,252,0.3722276,0.3722276
99,92,0.37098846,0.37098846
100,1329,0.36834064,0.36834064
