rank,feature_idx,coefficient,abs_coefficient
1,40,9.290646,9.290646
2,27,8.685413,8.685413
3,86,8.2643795,8.2643795
4,137,6.510869,6.510869
5,0,6.1133156,6.1133156
6,20,5.8933067,5.8933067
7,97,5.3581886,5.3581886
8,6,5.1055694,5.1055694
9,3,4.4637957,4.4637957
10,1056,4.348549,4.348549
11,687,3.9722319,3.9722319
12,472,3.8624341,3.8624341
13,483,3.5942929,3.5942929
14,580,3.5058405,3.5058405
15,421,3.2790132,3.2790132
16,303,3.2588806,3.2588806
17,235,3.2470329,3.2470329
18,330,3.2059636,3.2059636
19,9,3.155418,3.155418
20,1152,3.1174226,3.1174226
21,2005,3.0578556,3.0578556
22,180,2.9338882,2.9338882
23,379,2.9232607,2.9232607
24,378,2.8565989,2.8565989
25,23,2.8502204,2.8502204
26,156,2.7780237,2.7780237
27,51,2.7430713,2.7430713
28,331,2.730191,2.730191
29,937,2.710749,2.710749
30,467,2.6553936,2.6553936
31,392,2.5385768,2.5385768
32,133,2.529275,2.529275
33,490,2.4925551,2.4925551
34,1028,2.4088144,2.4088144
35,443,2.3511906,2.3511906
36,66,2.3501232,2.3501232
37,405,2.3125606,2.3125606
38,482,2.27655,2.27655
39,71,2.2336605,2.2336605
40,442,2.0831087,2.0831087
41,30,1.9783163,1.9783163
42,2039,1.9559598,1.9559598
43,1728,1.9510975,1.9510975
44,816,1.9381704,1.9381704
45,289,1.8960769,1.8960769
46,358,1.8273045,1.8273045
47,1898,1.7900858,1.7900858
48,39,1.7769132,1.7769132
49,993,1.7396772,1.7396772
50,1919,1.712627,1.712627
51,371,1.7024659,1.7024659
52,1693,1.6288588,1.6288588
53,1457,1.5549858,1.5549858
54,348,1.5414131,1.5414131
55,354,1.510256,1.510256
56,167,1.5094976,1.5094976
57,640,1.4863577,1.4863577
58,306,1.4831958,1.4831958
59,481,1.4694878,1.4694878
60,1177,1.4494408,1.4494408
61,258,1.4413915,1.4413915
62,103,1.3821561,1.3821561
63,285,1.3707927,1.3707927
64,62,1.3628494,1.3628494
65,567,1.3619311,1.3619311
66,1054,1.357597,1.357597
67,123,1.2516017,1.2516017
68,290,1.1965721,1.1965721
69,382,1.1652209,1.1652209
70,68,1.1532937,1.1532937
71,327,1.1372039,1.1372039
72,1915,1.1204767,1.1204767
73,7,1.1072732,1.1072732
74,1438,1.0897052,1.0897052
75,380,1.0538251,1.0538251
76,1489,1.0339354,1.0339354
77,59,1.0296767,1.0296767
78,1535,1.0057118,1.0057118
79,272,0.99298835,0.99298835
80,12,0.9799498,0.9799498
81,1667,0.9643973,0.9643973
82,61,0.94650745,0.94650745
83,302,0.9445919,0.9445919
84,155,0.94041103,0.94041103
85,767,0.93495494,0.93495494
86,428,0.9315006,0.9315006
87,1257,0.9276309,0.9276309
88,104,0.898741,0.898741
89,1374,0.8971789,0.8971789
90,1769,0.86928236,0.86928236
91,1078,0.8357052,0.8357052
92,1536,0.82660127,0.82660127
93,215,0.80666614,0.80666614
94,504,0.7926942,0.7926942
95,1912,0.79180646,0.79180646
96,1580,0.7808775,0.7808775
97,77,0.77338123,0.77338123
98,322,0.73816013,0.73816013
99,875,0.7338222,0.7338222
100,485,0.70717376,0.70717376
