rank,feature_idx,coefficient,abs_coefficient
1,16,-3.4233356,3.4233356
2,57,-1.2666696,1.2666696
3,1,-1.0023147,1.0023147
4,21,-0.7336047,0.7336047
5,18,-0.5276378,0.5276378
6,6,-0.48952615,0.48952615
7,23,-0.4032166,0.4032166
8,2,-0.3750322,0.3750322
9,13,0.2152801,0.2152801
10,17,-0.18559563,0.18559563
11,689,0.0,0.0
12,688,0.0,0.0
13,687,0.0,0.0
14,686,0.0,0.0
15,2047,0.0,0.0
16,685,0.0,0.0
17,690,0.0,0.0
18,683,0.0,0.0
19,682,0.0,0.0
20,681,0.0,0.0
21,680,0.0,0.0
22,679,0.0,0.0
23,678,0.0,0.0
24,677,0.0,0.0
25,684,0.0,0.0
26,693,0.0,0.0
27,691,0.0,0.0
28,692,0.0,0.0
29,675,0.0,0.0
30,694,0.0,0.0
31,695,0.0,0.0
32,696,0.0,0.0
33,697,0.0,0.0
34,698,0.0,0.0
35,699,0.0,0.0
36,700,0.0,0.0
37,701,0.0,0.0
38,702,0.0,0.0
39,703,0.0,0.0
40,704,0.0,0.0
41,676,0.0,0.0
42,670,0.0,0.0
43,674,0.0,0.0
44,658,0.0,0.0
45,645,0.0,0.0
46,646,0.0,0.0
47,647,0.0,0.0
48,648,0.0,0.0
49,649,0.0,0.0
50,650,0.0,0.0
51,651,0.0,0.0
52,652,0.0,0.0
53,653,0.0,0.0
54,654,0.0,0.0
55,655,0.0,0.0
56,656,0.0,0.0
57,657,0.0,0.0
58,659,0.0,0.0
59,673,0.0,0.0
60,660,0.0,0.0
61,661,0.0,0.0
62,662,0.0,0.0
63,663,0.0,0.0
64,664,0.0,0.0
65,665,0.0,0.0
66,666,0.0,0.0
67,667,0.0,0.0
68,668,0.0,0.0
69,669,0.0,0.0
70,706,0.0,0.0
71,671,0.0,0.0
72,672,0.0,0.0
73,705,0.0,0.0
74,711,0.0,0.0
75,707,0.0,0.0
76,753,0.0,0.0
77,740,0.0,0.0
78,741,0.0,0.0
79,742,0.0,0.0
80,743,0.0,0.0
81,744,0.0,0.0
82,745,0.0,0.0
83,746,0.0,0.0
84,747,0.0,0.0
85,748,0.0,0.0
86,749,0.0,0.0
87,750,0.0,0.0
88,751,0.0,0.0
89,752,0.0,0.0
90,754,0.0,0.0
91,708,0.0,0.0
92,755,0.0,0.0
93,756,0.0,0.0
94,757,0.0,0.0
95,758,0.0,0.0
96,759,0.0,0.0
97,760,0.0,0.0
98,761,0.0,0.0
99,762,0.0,0.0
100,763,0.0,0.0
