rank,feature_idx,coefficient,abs_coefficient
1,1123,8.699605,8.699605
2,1355,7.967123,7.967123
3,1450,7.3087745,7.3087745
4,318,7.2428346,7.2428346
5,1304,7.0545335,7.0545335
6,1344,6.6919494,6.6919494
7,688,6.6711974,6.6711974
8,529,6.650701,6.650701
9,467,6.402376,6.402376
10,1297,6.2595325,6.2595325
11,841,6.175213,6.175213
12,828,6.0833,6.0833
13,38,6.0075545,6.0075545
14,1384,5.8167434,5.8167434
15,302,5.776966,5.776966
16,78,5.742965,5.742965
17,102,5.678728,5.678728
18,1074,5.6332517,5.6332517
19,1072,5.339911,5.339911
20,66,5.330133,5.330133
21,1236,5.2783895,5.2783895
22,650,5.2421765,5.2421765
23,984,5.224177,5.224177
24,1271,5.1654186,5.1654186
25,685,5.1245027,5.1245027
26,921,5.0839653,5.0839653
27,1267,5.015421,5.015421
28,1523,4.9480453,4.9480453
29,973,4.898309,4.898309
30,1473,4.845985,4.845985
31,1471,4.822592,4.822592
32,1045,4.8141427,4.8141427
33,842,4.812895,4.812895
34,303,4.7370934,4.7370934
35,1019,4.7003503,4.7003503
36,1125,4.671901,4.671901
37,262,4.58443,4.58443
38,1153,4.522966,4.522966
39,1479,4.5093517,4.5093517
40,1163,4.507618,4.507618
41,320,4.4938226,4.4938226
42,1379,4.437778,4.437778
43,489,4.4023247,4.4023247
44,41,4.326389,4.326389
45,394,4.2937436,4.2937436
46,1098,4.270044,4.270044
47,76,4.266215,4.266215
48,1514,4.2257023,4.2257023
49,985,4.2147446,4.2147446
50,462,4.2056336,4.2056336
51,792,4.2040324,4.2040324
52,370,4.1813197,4.1813197
53,731,4.17119,4.17119
54,995,4.151365,4.151365
55,1235,4.086663,4.086663
56,937,4.0774574,4.0774574
57,225,4.058781,4.058781
58,70,4.054315,4.054315
59,1262,4.038654,4.038654
60,441,4.0171494,4.0171494
61,1289,4.0171165,4.0171165
62,1088,3.991724,3.991724
63,281,3.982484,3.982484
64,850,3.9788427,3.9788427
65,786,3.972987,3.972987
66,355,3.9523876,3.9523876
67,1169,3.9493113,3.9493113
68,37,3.9227831,3.9227831
69,1509,3.9018834,3.9018834
70,1435,3.9007618,3.9007618
71,381,3.8389337,3.8389337
72,676,3.8168042,3.8168042
73,738,3.8165925,3.8165925
74,512,3.7924252,3.7924252
75,1468,3.7846365,3.7846365
76,827,3.7827137,3.7827137
77,1026,3.7747757,3.7747757
78,167,3.7730286,3.7730286
79,865,3.7587795,3.7587795
80,1483,3.7373886,3.7373886
81,229,3.728192,3.728192
82,857,3.726408,3.726408
83,1083,3.7146504,3.7146504
84,140,3.710889,3.710889
85,544,3.6945143,3.6945143
86,653,3.6823895,3.6823895
87,171,3.6673737,3.6673737
88,81,3.664544,3.664544
89,980,3.6528633,3.6528633
90,1042,3.648082,3.648082
91,297,3.6301663,3.6301663
92,1293,3.6163514,3.6163514
93,417,3.6129704,3.6129704
94,205,3.6114771,3.6114771
95,391,3.5999038,3.5999038
96,304,3.5754135,3.5754135
97,163,3.5753548,3.5753548
98,804,3.5564177,3.5564177
99,455,3.5412624,3.5412624
100,600,3.5399916,3.5399916
