rank,feature_idx,coefficient,abs_coefficient
1,21,55.45743,55.45743
2,13,8.175424,8.175424
3,57,5.235411,5.235411
4,18,4.8588614,4.8588614
5,23,3.9134138,3.9134138
6,16,3.5381978,3.5381978
7,2,3.2800329,3.2800329
8,314,2.2170618,2.2170618
9,17,2.1370094,2.1370094
10,1,1.7948223,1.7948223
11,26,1.4731025,1.4731025
12,6,0.6622384,0.6622384
13,50,0.5176254,0.5176254
14,427,0.26392907,0.26392907
15,1366,0.009545734,0.009545734
16,24,0.009120552,0.009120552
17,1607,0.003889941,0.003889941
18,1056,0.0014644297,0.0014644297
19,425,0.0012165926,0.0012165926
20,816,0.0010316554,0.0010316554
21,775,0.00086744037,0.00086744037
22,402,0.0008067046,0.0008067046
23,560,0.0005640163,0.0005640163
24,80,6.6493434e-05,6.6493434e-05
25,1376,3.7334263e-05,3.7334263e-05
26,414,3.243635e-05,3.243635e-05
27,188,2.8662018e-05,2.8662018e-05
28,990,2.5557003e-05,2.5557003e-05
29,63,1.661738e-05,1.661738e-05
30,28,1.447997e-05,1.447997e-05
31,446,5.774364e-07,5.774364e-07
32,684,0.0,0.0
33,685,0.0,0.0
34,683,0.0,0.0
35,682,0.0,0.0
36,681,0.0,0.0
37,2047,0.0,0.0
38,686,0.0,0.0
39,694,0.0,0.0
40,700,0.0,0.0
41,699,0.0,0.0
42,698,0.0,0.0
43,697,0.0,0.0
44,696,0.0,0.0
45,695,0.0,0.0
46,693,0.0,0.0
47,687,0.0,0.0
48,692,0.0,0.0
49,691,0.0,0.0
50,690,0.0,0.0
51,679,0.0,0.0
52,689,0.0,0.0
53,688,0.0,0.0
54,680,0.0,0.0
55,674,0.0,0.0
56,678,0.0,0.0
57,677,0.0,0.0
58,650,0.0,0.0
59,651,0.0,0.0
60,652,0.0,0.0
61,653,0.0,0.0
62,654,0.0,0.0
63,655,0.0,0.0
64,656,0.0,0.0
65,657,0.0,0.0
66,658,0.0,0.0
67,659,0.0,0.0
68,660,0.0,0.0
69,661,0.0,0.0
70,662,0.0,0.0
71,663,0.0,0.0
72,664,0.0,0.0
73,665,0.0,0.0
74,666,0.0,0.0
75,667,0.0,0.0
76,668,0.0,0.0
77,669,0.0,0.0
78,670,0.0,0.0
79,671,0.0,0.0
80,672,0.0,0.0
81,673,0.0,0.0
82,702,0.0,0.0
83,675,0.0,0.0
84,676,0.0,0.0
85,701,0.0,0.0
86,713,0.0,0.0
87,703,0.0,0.0
88,750,0.0,0.0
89,737,0.0,0.0
90,738,0.0,0.0
91,739,0.0,0.0
92,740,0.0,0.0
93,741,0.0,0.0
94,742,0.0,0.0
95,743,0.0,0.0
96,744,0.0,0.0
97,745,0.0,0.0
98,746,0.0,0.0
99,747,0.0,0.0
100,748,0.0,0.0
