rank,feature_idx,coefficient,abs_coefficient
1,46,11.311627,11.311627
2,27,10.770594,10.770594
3,24,8.664397,8.664397
4,25,8.194076,8.194076
5,44,7.885681,7.885681
6,41,7.426806,7.426806
7,0,5.80558,5.80558
8,61,4.719025,4.719025
9,12,4.0791426,4.0791426
10,15,3.7925353,3.7925353
11,119,1.128059,1.128059
12,369,0.9389109,0.9389109
13,78,0.68675774,0.68675774
14,126,0.60542524,0.60542524
15,251,0.5959696,0.5959696
16,58,0.5364872,0.5364872
17,33,0.5040871,0.5040871
18,265,0.36504787,0.36504787
19,19,0.24487244,0.24487244
20,435,0.22729865,0.22729865
21,2,0.1933559,0.1933559
22,6,0.19297709,0.19297709
23,314,0.15825059,0.15825059
24,49,0.15372564,0.15372564
25,180,0.09887623,0.09887623
26,59,0.095704235,0.095704235
27,37,0.08950228,0.08950228
28,100,0.0599571,0.0599571
29,36,0.04045274,0.04045274
30,150,0.03706192,0.03706192
31,773,0.03553102,0.03553102
32,472,0.008980661,0.008980661
33,171,0.007215856,0.007215856
34,62,0.005982746,0.005982746
35,3685,0.0046135634,0.0046135634
36,871,0.0037382732,0.0037382732
37,95,0.0024151565,0.0024151565
38,135,0.0015698022,0.0015698022
39,47,0.0010811444,0.0010811444
40,2744,0.0004859272,0.0004859272
41,3450,0.00029039968,0.00029039968
42,2388,0.0002750924,0.0002750924
43,1230,0.00021905825,0.00021905825
44,20,0.00020801403,0.00020801403
45,2603,9.9798686e-05,9.9798686e-05
46,220,9.443268e-05,9.443268e-05
47,187,7.802403e-05,7.802403e-05
48,2445,4.9040063e-05,4.9040063e-05
49,18,4.6942518e-05,4.6942518e-05
50,3165,4.3608143e-05,4.3608143e-05
51,2317,3.6083355e-05,3.6083355e-05
52,10,2.128596e-05,2.128596e-05
53,3895,1.8738498e-05,1.8738498e-05
54,731,1.2822576e-05,1.2822576e-05
55,883,7.2180414e-06,7.2180414e-06
56,3481,1.4450544e-06,1.4450544e-06
57,3655,1.235222e-06,1.235222e-06
58,1377,0.0,0.0
59,1376,0.0,0.0
60,1378,0.0,0.0
61,1373,0.0,0.0
62,1375,0.0,0.0
63,1374,0.0,0.0
64,1407,0.0,0.0
65,1372,0.0,0.0
66,1371,0.0,0.0
67,1408,0.0,0.0
68,1370,0.0,0.0
69,1369,0.0,0.0
70,1368,0.0,0.0
71,1367,0.0,0.0
72,1366,0.0,0.0
73,1365,0.0,0.0
74,1379,0.0,0.0
75,1384,0.0,0.0
76,1380,0.0,0.0
77,1401,0.0,0.0
78,1397,0.0,0.0
79,1398,0.0,0.0
80,1396,0.0,0.0
81,1395,0.0,0.0
82,1394,0.0,0.0
83,1393,0.0,0.0
84,1392,0.0,0.0
85,1399,0.0,0.0
86,1391,0.0,0.0
87,1400,0.0,0.0
88,1390,0.0,0.0
89,1402,0.0,0.0
90,1381,0.0,0.0
91,1403,0.0,0.0
92,1364,0.0,0.0
93,1388,0.0,0.0
94,1387,0.0,0.0
95,1386,0.0,0.0
96,1404,0.0,0.0
97,1385,0.0,0.0
98,1405,0.0,0.0
99,1406,0.0,0.0
100,1383,0.0,0.0
