rank,feature_idx,coefficient,abs_coefficient
1,400,6.163161,6.163161
2,691,5.2486434,5.2486434
3,688,4.803634,4.803634
4,1122,4.7806144,4.7806144
5,297,4.7623353,4.7623353
6,1078,4.6674457,4.6674457
7,1217,4.608255,4.608255
8,1317,4.5905747,4.5905747
9,304,4.548413,4.548413
10,709,4.5240006,4.5240006
11,28,4.468369,4.468369
12,118,4.461773,4.461773
13,340,4.422137,4.422137
14,985,4.4202943,4.4202943
15,381,4.3534513,4.3534513
16,345,4.324053,4.324053
17,677,4.31486,4.31486
18,1121,4.3093243,4.3093243
19,1431,4.30298,4.30298
20,841,4.202107,4.202107
21,1305,4.1833577,4.1833577
22,1343,4.17384,4.17384
23,901,4.1475034,4.1475034
24,76,4.1247025,4.1247025
25,617,4.0867057,4.0867057
26,1069,4.0729537,4.0729537
27,17,4.0581403,4.0581403
28,209,4.0560308,4.0560308
29,1148,4.0496354,4.0496354
30,1362,4.0442605,4.0442605
31,55,3.9910243,3.9910243
32,1393,3.972995,3.972995
33,68,3.9351876,3.9351876
34,536,3.8845026,3.8845026
35,1044,3.8802845,3.8802845
36,156,3.8789122,3.8789122
37,295,3.8438175,3.8438175
38,1494,3.8278885,3.8278885
39,646,3.8234918,3.8234918
40,738,3.7541454,3.7541454
41,533,3.749871,3.749871
42,618,3.732995,3.732995
43,30,3.7120895,3.7120895
44,1002,3.7024367,3.7024367
45,1070,3.688258,3.688258
46,280,3.677337,3.677337
47,1025,3.665198,3.665198
48,954,3.6449368,3.6449368
49,1341,3.6396892,3.6396892
50,1164,3.6236832,3.6236832
51,120,3.6148837,3.6148837
52,1134,3.586991,3.586991
53,269,3.5820644,3.5820644
54,123,3.578907,3.578907
55,1020,3.5518925,3.5518925
56,1024,3.5338984,3.5338984
57,1133,3.5233898,3.5233898
58,311,3.4839203,3.4839203
59,139,3.4836257,3.4836257
60,499,3.4831212,3.4831212
61,429,3.478978,3.478978
62,46,3.46821,3.46821
63,1415,3.46356,3.46356
64,214,3.4620962,3.4620962
65,173,3.4547246,3.4547246
66,749,3.4228306,3.4228306
67,504,3.412524,3.412524
68,119,3.4097366,3.4097366
69,363,3.4094145,3.4094145
70,1074,3.3975184,3.3975184
71,556,3.3872738,3.3872738
72,1535,3.36885,3.36885
73,613,3.3569193,3.3569193
74,203,3.3567905,3.3567905
75,976,3.3232105,3.3232105
76,1052,3.322316,3.322316
77,1297,3.3222268,3.3222268
78,1369,3.3175535,3.3175535
79,362,3.312483,3.312483
80,1458,3.2930498,3.2930498
81,1486,3.2743425,3.2743425
82,135,3.265028,3.265028
83,693,3.2575138,3.2575138
84,18,3.256276,3.256276
85,519,3.2533073,3.2533073
86,284,3.2501042,3.2501042
87,255,3.2439315,3.2439315
88,818,3.2415686,3.2415686
89,496,3.2311962,3.2311962
90,676,3.2244663,3.2244663
91,734,3.2183645,3.2183645
92,1483,3.2046702,3.2046702
93,247,3.1869364,3.1869364
94,1006,3.185943,3.185943
95,337,3.1750698,3.1750698
96,765,3.170885,3.170885
97,651,3.163295,3.163295
98,546,3.159609,3.159609
99,792,3.1364129,3.1364129
100,753,3.1030896,3.1030896
