rank,feature_idx,coefficient,abs_coefficient
1,61,7.8031754,7.8031754
2,46,6.895152,6.895152
3,41,6.602313,6.602313
4,44,5.693525,5.693525
5,24,5.508148,5.508148
6,0,4.4922776,4.4922776
7,25,4.3183813,4.3183813
8,78,3.1587768,3.1587768
9,27,2.388979,2.388979
10,12,1.9714177,1.9714177
11,58,1.7780998,1.7780998
12,773,1.770512,1.770512
13,180,1.3201314,1.3201314
14,15,1.1219991,1.1219991
15,265,0.80353945,0.80353945
16,19,0.59104526,0.59104526
17,33,0.5359374,0.5359374
18,119,0.3420214,0.3420214
19,126,0.3167249,0.3167249
20,251,0.19074443,0.19074443
21,150,0.18885368,0.18885368
22,187,0.04305878,0.04305878
23,472,0.041643634,0.041643634
24,62,0.02621707,0.02621707
25,270,0.0018959952,0.0018959952
26,369,0.0006255064,0.0006255064
27,95,0.00061402196,0.00061402196
28,315,0.00051921635,0.00051921635
29,2153,0.00011182623,0.00011182623
30,36,5.2644406e-05,5.2644406e-05
31,49,3.381544e-05,3.381544e-05
32,865,3.1266045e-05,3.1266045e-05
33,6,2.1494996e-05,2.1494996e-05
34,85,1.1693253e-05,1.1693253e-05
35,35,1.0847782e-05,1.0847782e-05
36,3689,8.431799e-06,8.431799e-06
37,2,7.974265e-06,7.974265e-06
38,871,6.895557e-06,6.895557e-06
39,1397,6.521469e-06,6.521469e-06
40,222,3.95097e-06,3.95097e-06
41,3895,3.6302692e-06,3.6302692e-06
42,1330,2.3661871e-06,2.3661871e-06
43,2724,4.515668e-07,4.515668e-07
44,1370,0.0,0.0
45,1371,0.0,0.0
46,1361,0.0,0.0
47,1377,0.0,0.0
48,1376,0.0,0.0
49,1375,0.0,0.0
50,1362,0.0,0.0
51,1368,0.0,0.0
52,1374,0.0,0.0
53,1363,0.0,0.0
54,1373,0.0,0.0
55,1366,0.0,0.0
56,1364,0.0,0.0
57,1369,0.0,0.0
58,1378,0.0,0.0
59,1365,0.0,0.0
60,1372,0.0,0.0
61,1367,0.0,0.0
62,1381,0.0,0.0
63,1379,0.0,0.0
64,1408,0.0,0.0
65,1398,0.0,0.0
66,1396,0.0,0.0
67,1395,0.0,0.0
68,1400,0.0,0.0
69,1401,0.0,0.0
70,1402,0.0,0.0
71,1403,0.0,0.0
72,1394,0.0,0.0
73,1393,0.0,0.0
74,1392,0.0,0.0
75,1391,0.0,0.0
76,1390,0.0,0.0
77,1404,0.0,0.0
78,1389,0.0,0.0
79,1388,0.0,0.0
80,1405,0.0,0.0
81,1387,0.0,0.0
82,1406,0.0,0.0
83,1386,0.0,0.0
84,1359,0.0,0.0
85,1385,0.0,0.0
86,1384,0.0,0.0
87,1383,0.0,0.0
88,1382,0.0,0.0
89,1399,0.0,0.0
90,1407,0.0,0.0
91,1380,0.0,0.0
92,1360,0.0,0.0
93,1349,0.0,0.0
94,1358,0.0,0.0
95,1310,0.0,0.0
96,1323,0.0,0.0
97,1322,0.0,0.0
98,1321,0.0,0.0
99,1320,0.0,0.0
100,1319,0.0,0.0
