rank,feature_idx,coefficient,abs_coefficient
1,22,10.577798,10.577798
2,10,10.451555,10.451555
3,26,10.450941,10.450941
4,24,9.768463,9.768463
5,39,9.393828,9.393828
6,27,8.857611,8.857611
7,48,8.83222,8.83222
8,53,8.558989,8.558989
9,14,6.6944957,6.6944957
10,173,6.570479,6.570479
11,580,6.230987,6.230987
12,309,6.024756,6.024756
13,210,5.711985,5.711985
14,40,5.185471,5.185471
15,913,4.8038397,4.8038397
16,138,4.4904995,4.4904995
17,685,4.3197255,4.3197255
18,70,4.188411,4.188411
19,550,4.1118593,4.1118593
20,695,3.9278777,3.9278777
21,1186,3.6108289,3.6108289
22,102,3.5098648,3.5098648
23,906,3.2350962,3.2350962
24,860,2.958433,2.958433
25,3882,2.5810966,2.5810966
26,180,2.47784,2.47784
27,259,2.450029,2.450029
28,635,2.4302104,2.4302104
29,899,2.4112322,2.4112322
30,1219,2.4038143,2.4038143
31,188,2.2974865,2.2974865
32,75,2.1218174,2.1218174
33,242,2.0631387,2.0631387
34,224,2.0034635,2.0034635
35,54,1.9853834,1.9853834
36,846,1.9081382,1.9081382
37,850,1.9011118,1.9011118
38,974,1.8486369,1.8486369
39,211,1.8375723,1.8375723
40,251,1.706844,1.706844
41,791,1.7017485,1.7017485
42,249,1.6804609,1.6804609
43,51,1.6199838,1.6199838
44,255,1.6191667,1.6191667
45,4,1.5835296,1.5835296
46,60,1.5656723,1.5656723
47,951,1.521598,1.521598
48,937,1.503729,1.503729
49,98,1.4546093,1.4546093
50,218,1.4410497,1.4410497
51,473,1.3889741,1.3889741
52,215,1.36534,1.36534
53,3359,1.3496155,1.3496155
54,544,1.343846,1.343846
55,149,1.3100044,1.3100044
56,820,1.3064232,1.3064232
57,2744,1.2969637,1.2969637
58,106,1.2910811,1.2910811
59,661,1.2790378,1.2790378
60,170,1.2724768,1.2724768
61,8,1.2478898,1.2478898
62,474,1.2382809,1.2382809
63,205,1.2378168,1.2378168
64,105,1.2182529,1.2182529
65,190,1.1976751,1.1976751
66,318,1.1958643,1.1958643
67,739,1.163907,1.163907
68,118,1.1304054,1.1304054
69,330,1.1183269,1.1183269
70,665,1.1182665,1.1182665
71,103,1.117247,1.117247
72,49,1.103119,1.103119
73,3636,1.093032,1.093032
74,2828,1.0824043,1.0824043
75,651,1.075361,1.075361
76,2825,1.0654627,1.0654627
77,290,1.0619099,1.0619099
78,2353,1.0431054,1.0431054
79,977,1.0287868,1.0287868
80,44,1.027495,1.027495
81,732,1.0259744,1.0259744
82,494,1.0253665,1.0253665
83,837,1.0177222,1.0177222
84,1300,1.009947,1.009947
85,584,0.99869716,0.99869716
86,2855,0.9502107,0.9502107
87,307,0.9458076,0.9458076
88,89,0.90824234,0.90824234
89,467,0.8931893,0.8931893
90,949,0.89261955,0.89261955
91,528,0.8906795,0.8906795
92,696,0.88757026,0.88757026
93,168,0.86993504,0.86993504
94,244,0.8509264,0.8509264
95,2786,0.82067025,0.82067025
96,529,0.8164627,0.8164627
97,349,0.81345063,0.81345063
98,586,0.81327164,0.81327164
99,964,0.80884403,0.80884403
100,566,0.80248183,0.80248183
