rank,feature_idx,coefficient,abs_coefficient
1,11,9.810588,9.810588
2,22,9.782206,9.782206
3,18,9.507602,9.507602
4,15,9.486551,9.486551
5,63,9.165359,9.165359
6,58,9.03594,9.03594
7,39,8.719713,8.719713
8,31,8.505494,8.505494
9,13,8.487309,8.487309
10,46,8.484949,8.484949
11,19,6.584838,6.584838
12,43,6.445384,6.445384
13,47,5.8729005,5.8729005
14,10,5.5024123,5.5024123
15,20,4.983889,4.983889
16,218,4.1040473,4.1040473
17,6,3.395809,3.395809
18,40,3.2207363,3.2207363
19,57,3.2153203,3.2153203
20,222,2.9128883,2.9128883
21,8,2.3348744,2.3348744
22,367,2.1818655,2.1818655
23,85,1.3464258,1.3464258
24,243,1.3302584,1.3302584
25,32,1.1282943,1.1282943
26,2344,1.0301907,1.0301907
27,82,1.029708,1.029708
28,112,0.90703404,0.90703404
29,152,0.66980267,0.66980267
30,12,0.65681964,0.65681964
31,49,0.6269261,0.6269261
32,3,0.6075002,0.6075002
33,34,0.51257753,0.51257753
34,151,0.49791765,0.49791765
35,246,0.457733,0.457733
36,60,0.4485248,0.4485248
37,435,0.43165678,0.43165678
38,98,0.40105647,0.40105647
39,411,0.3863187,0.3863187
40,144,0.37534785,0.37534785
41,920,0.34631175,0.34631175
42,52,0.30123353,0.30123353
43,25,0.25142726,0.25142726
44,904,0.23034164,0.23034164
45,183,0.21801591,0.21801591
46,898,0.20701759,0.20701759
47,2070,0.2031642,0.2031642
48,173,0.15465045,0.15465045
49,2748,0.14343789,0.14343789
50,62,0.13692862,0.13692862
51,30,0.12906577,0.12906577
52,234,0.12019227,0.12019227
53,17,0.11737214,0.11737214
54,170,0.11649982,0.11649982
55,97,0.113144115,0.113144115
56,100,0.08840267,0.08840267
57,59,0.0862125,0.0862125
58,7,0.08480393,0.08480393
59,44,0.081381224,0.081381224
60,61,0.07220063,0.07220063
61,941,0.0585481,0.0585481
62,271,0.047267143,0.047267143
63,24,0.03300949,0.03300949
64,693,0.019522235,0.019522235
65,2242,0.019303799,0.019303799
66,66,0.014902942,0.014902942
67,65,0.013875767,0.013875767
68,160,0.012852197,0.012852197
69,2002,0.011026828,0.011026828
70,3932,0.008303599,0.008303599
71,3982,0.0066286162,0.0066286162
72,811,0.0063550645,0.0063550645
73,397,0.0058118044,0.0058118044
74,523,0.005038254,0.005038254
75,3598,0.004927552,0.004927552
76,2362,0.0048369938,0.0048369938
77,1538,0.003556912,0.003556912
78,963,0.0035500485,0.0035500485
79,33,0.002991882,0.002991882
80,158,0.0025614041,0.0025614041
81,232,0.0025080699,0.0025080699
82,21,0.0020134386,0.0020134386
83,1941,0.0013130119,0.0013130119
84,3935,0.0012389885,0.0012389885
85,48,0.0010327037,0.0010327037
86,2212,0.00097153697,0.00097153697
87,2628,0.00090368965,0.00090368965
88,845,0.0007318653,0.0007318653
89,3140,0.00069869094,0.00069869094
90,35,0.00064702664,0.00064702664
91,2959,0.0006292564,0.0006292564
92,3168,0.0006167843,0.0006167843
93,620,0.00059204083,0.00059204083
94,1070,0.0005853979,0.0005853979
95,195,0.00046166233,0.00046166233
96,27,0.0004526664,0.0004526664
97,4081,0.00044679103,0.00044679103
98,185,0.00044373213,0.00044373213
99,331,0.000377913,0.000377913
100,1965,0.00033265425,0.00033265425
