rank,feature_idx,coefficient,abs_coefficient
1,141,1.6422603,1.6422603
2,1173,1.5152409,1.5152409
3,462,1.4976984,1.4976984
4,72,1.4963706,1.4963706
5,558,1.495381,1.495381
6,1498,1.4769198,1.4769198
7,162,1.4393771,1.4393771
8,983,1.4225523,1.4225523
9,1363,1.4146591,1.4146591
10,170,1.4037125,1.4037125
11,981,1.3898995,1.3898995
12,925,1.3586698,1.3586698
13,1348,1.3518305,1.3518305
14,778,1.347642,1.347642
15,271,1.3297709,1.3297709
16,1500,1.3290914,1.3290914
17,256,1.3113928,1.3113928
18,187,1.3053201,1.3053201
19,781,1.2882519,1.2882519
20,1422,1.2804546,1.2804546
21,369,1.2773731,1.2773731
22,520,1.2633679,1.2633679
23,992,1.262922,1.262922
24,837,1.2550443,1.2550443
25,248,1.25173,1.25173
26,539,1.2321669,1.2321669
27,658,1.2304857,1.2304857
28,676,1.2177563,1.2177563
29,104,1.2155855,1.2155855
30,115,1.2082765,1.2082765
31,578,1.2069842,1.2069842
32,563,1.1958517,1.1958517
33,189,1.1830605,1.1830605
34,964,1.1824427,1.1824427
35,1411,1.1821649,1.1821649
36,989,1.1588144,1.1588144
37,430,1.1526027,1.1526027
38,1317,1.1499474,1.1499474
39,928,1.1472224,1.1472224
40,734,1.140605,1.140605
41,77,1.1329948,1.1329948
42,455,1.1279444,1.1279444
43,133,1.1273036,1.1273036
44,1042,1.123325,1.123325
45,1459,1.1204004,1.1204004
46,1385,1.1135708,1.1135708
47,1013,1.1121165,1.1121165
48,435,1.1085672,1.1085672
49,761,1.1070004,1.1070004
50,620,1.1059779,1.1059779
51,381,1.1050138,1.1050138
52,373,1.1044888,1.1044888
53,1476,1.0963933,1.0963933
54,777,1.0960472,1.0960472
55,635,1.0905604,1.0905604
56,47,1.0886122,1.0886122
57,1308,1.0878175,1.0878175
58,908,1.0754819,1.0754819
59,789,1.0716121,1.0716121
60,151,1.0681227,1.0681227
61,727,1.0676711,1.0676711
62,174,1.0630815,1.0630815
63,454,1.0614092,1.0614092
64,544,1.0602653,1.0602653
65,543,1.0568241,1.0568241
66,1310,1.0552819,1.0552819
67,1215,1.0524154,1.0524154
68,1381,1.0483625,1.0483625
69,135,1.048022,1.048022
70,1356,1.0463887,1.0463887
71,1101,1.0441748,1.0441748
72,414,1.0408412,1.0408412
73,780,1.039469,1.039469
74,868,1.039019,1.039019
75,1264,1.0341107,1.0341107
76,1454,1.034065,1.034065
77,1217,1.0332611,1.0332611
78,713,1.0316111,1.0316111
79,865,1.027004,1.027004
80,1298,1.0257186,1.0257186
81,791,1.0253229,1.0253229
82,911,1.0228403,1.0228403
83,1124,1.0178909,1.0178909
84,416,1.0145048,1.0145048
85,1207,1.0129551,1.0129551
86,1428,1.0105782,1.0105782
87,235,1.0055772,1.0055772
88,1221,1.0015197,1.0015197
89,1305,0.9978636,0.9978636
90,21,0.9892624,0.9892624
91,1231,0.98841745,0.98841745
92,209,0.9882599,0.9882599
93,1518,0.98337525,0.98337525
94,579,0.9811036,0.9811036
95,1307,0.975091,0.975091
96,265,0.97260416,0.97260416
97,948,0.96995735,0.96995735
98,924,0.96671164,0.96671164
99,807,0.9661931,0.9661931
100,540,0.9637047,0.9637047
