rank,feature_idx,coefficient,abs_coefficient
1,18,16.905052,16.905052
2,58,12.415573,12.415573
3,13,9.1719,9.1719
4,43,6.472167,6.472167
5,31,6.04244,6.04244
6,20,5.766407,5.766407
7,22,5.5282683,5.5282683
8,39,5.307229,5.307229
9,11,5.299969,5.299969
10,57,5.0131593,5.0131593
11,46,4.33004,4.33004
12,19,3.5001385,3.5001385
13,8,3.3527732,3.3527732
14,243,3.2031732,3.2031732
15,24,2.9564624,2.9564624
16,15,2.5421424,2.5421424
17,218,2.5365605,2.5365605
18,49,2.3871593,2.3871593
19,30,2.1652074,2.1652074
20,12,2.0033357,2.0033357
21,63,1.8348517,1.8348517
22,85,1.747689,1.747689
23,435,1.7407619,1.7407619
24,170,1.6509879,1.6509879
25,60,1.642259,1.642259
26,246,1.4871647,1.4871647
27,10,1.3203887,1.3203887
28,367,1.2407447,1.2407447
29,112,1.230545,1.230545
30,271,1.1976573,1.1976573
31,40,1.1933677,1.1933677
32,52,1.19064,1.19064
33,47,1.1528926,1.1528926
34,7,1.013598,1.013598
35,6,0.9875812,0.9875812
36,4081,0.8113166,0.8113166
37,1941,0.68417156,0.68417156
38,44,0.6180451,0.6180451
39,222,0.61703354,0.61703354
40,2842,0.6155494,0.6155494
41,82,0.59578764,0.59578764
42,3,0.5502477,0.5502477
43,620,0.5144168,0.5144168
44,151,0.43677583,0.43677583
45,25,0.30034593,0.30034593
46,17,0.29665515,0.29665515
47,411,0.2549851,0.2549851
48,4023,0.2473554,0.2473554
49,59,0.20428441,0.20428441
50,3796,0.20125133,0.20125133
51,205,0.16827337,0.16827337
52,3932,0.09885454,0.09885454
53,100,0.09668632,0.09668632
54,32,0.08531681,0.08531681
55,397,0.029850926,0.029850926
56,152,0.02753477,0.02753477
57,811,0.021068247,0.021068247
58,66,0.017209163,0.017209163
59,61,0.009046572,0.009046572
60,98,0.0052556125,0.0052556125
61,153,0.001388121,0.001388121
62,1367,0.0,0.0
63,1368,0.0,0.0
64,1381,0.0,0.0
65,1366,0.0,0.0
66,1371,0.0,0.0
67,1380,0.0,0.0
68,1379,0.0,0.0
69,1378,0.0,0.0
70,1377,0.0,0.0
71,1370,0.0,0.0
72,1372,0.0,0.0
73,1376,0.0,0.0
74,1413,0.0,0.0
75,1383,0.0,0.0
76,1375,0.0,0.0
77,1414,0.0,0.0
78,1374,0.0,0.0
79,1373,0.0,0.0
80,1369,0.0,0.0
81,1382,0.0,0.0
82,1393,0.0,0.0
83,1384,0.0,0.0
84,1397,0.0,0.0
85,1406,0.0,0.0
86,1405,0.0,0.0
87,1408,0.0,0.0
88,1404,0.0,0.0
89,1409,0.0,0.0
90,1403,0.0,0.0
91,1402,0.0,0.0
92,1401,0.0,0.0
93,1400,0.0,0.0
94,1410,0.0,0.0
95,1399,0.0,0.0
96,1365,0.0,0.0
97,1396,0.0,0.0
98,1385,0.0,0.0
99,1395,0.0,0.0
100,1411,0.0,0.0
