rank,feature_idx,coefficient,abs_coefficient
1,39,10.278363,10.278363
2,42,9.625409,9.625409
3,2,8.552183,8.552183
4,0,7.4690948,7.4690948
5,45,7.2656198,7.2656198
6,29,6.8035965,6.8035965
7,28,6.6734667,6.6734667
8,69,6.64822,6.64822
9,36,6.4011354,6.4011354
10,142,6.3246064,6.3246064
11,30,5.946771,5.946771
12,392,5.3269463,5.3269463
13,23,5.288794,5.288794
14,15,5.2078013,5.2078013
15,27,4.6769395,4.6769395
16,46,4.5019045,4.5019045
17,172,4.325426,4.325426
18,804,4.117655,4.117655
19,57,4.018158,4.018158
20,71,3.777808,3.777808
21,22,3.7383206,3.7383206
22,3946,3.6118596,3.6118596
23,59,3.381071,3.381071
24,16,3.2463615,3.2463615
25,87,3.1142607,3.1142607
26,58,3.0693939,3.0693939
27,324,2.8051884,2.8051884
28,4,2.7936072,2.7936072
29,235,2.7774818,2.7774818
30,677,2.7110438,2.7110438
31,157,2.704558,2.704558
32,697,2.638886,2.638886
33,302,2.587411,2.587411
34,772,2.474833,2.474833
35,506,2.468389,2.468389
36,121,2.466842,2.466842
37,54,2.4271543,2.4271543
38,53,2.368171,2.368171
39,101,2.34686,2.34686
40,877,2.2539794,2.2539794
41,2133,2.2273583,2.2273583
42,195,2.2125528,2.2125528
43,2226,2.1981387,2.1981387
44,880,2.183269,2.183269
45,931,2.1645253,2.1645253
46,120,2.1594896,2.1594896
47,356,2.14617,2.14617
48,701,2.103716,2.103716
49,185,2.1013577,2.1013577
50,410,2.0698342,2.0698342
51,726,2.033341,2.033341
52,187,2.010041,2.010041
53,731,2.0086017,2.0086017
54,645,1.9972368,1.9972368
55,147,1.9464318,1.9464318
56,478,1.9423491,1.9423491
57,171,1.9130341,1.9130341
58,78,1.9072297,1.9072297
59,210,1.8953257,1.8953257
60,176,1.878978,1.878978
61,975,1.8422438,1.8422438
62,881,1.7876081,1.7876081
63,711,1.7679008,1.7679008
64,384,1.7658113,1.7658113
65,237,1.7484617,1.7484617
66,802,1.7447468,1.7447468
67,965,1.734533,1.734533
68,759,1.7216736,1.7216736
69,105,1.710467,1.710467
70,1,1.664291,1.664291
71,112,1.6544298,1.6544298
72,9,1.6486063,1.6486063
73,92,1.6479161,1.6479161
74,240,1.6356122,1.6356122
75,115,1.6267658,1.6267658
76,91,1.5869589,1.5869589
77,41,1.5863197,1.5863197
78,740,1.5710627,1.5710627
79,244,1.567073,1.567073
80,364,1.5625069,1.5625069
81,2295,1.5537474,1.5537474
82,635,1.5460541,1.5460541
83,13,1.5398719,1.5398719
84,3,1.5238504,1.5238504
85,201,1.5201874,1.5201874
86,493,1.5078318,1.5078318
87,95,1.4768537,1.4768537
88,155,1.4710498,1.4710498
89,673,1.4654082,1.4654082
90,531,1.4648495,1.4648495
91,398,1.4538362,1.4538362
92,10,1.449122,1.449122
93,127,1.4467188,1.4467188
94,253,1.4319284,1.4319284
95,665,1.4268428,1.4268428
96,572,1.4262322,1.4262322
97,180,1.401048,1.401048
98,79,1.3899524,1.3899524
99,526,1.3698764,1.3698764
100,854,1.3552091,1.3552091
