rank,feature_idx,coefficient,abs_coefficient
1,38,16.58467,16.58467
2,58,9.208754,9.208754
3,51,8.714494,8.714494
4,53,5.997078,5.997078
5,31,2.330471,2.330471
6,122,0.681034,0.681034
7,49,0.44549015,0.44549015
8,42,0.39880505,0.39880505
9,963,0.11558503,0.11558503
10,27,0.10959331,0.10959331
11,4081,0.1072181,0.1072181
12,909,0.10684534,0.10684534
13,140,0.10100288,0.10100288
14,188,0.033137348,0.033137348
15,1142,0.00081548135,0.00081548135
16,1443,5.358684e-06,5.358684e-06
17,101,6.4132576e-07,6.4132576e-07
18,1362,0.0,0.0
19,1363,0.0,0.0
20,1352,0.0,0.0
21,1353,0.0,0.0
22,1375,0.0,0.0
23,1374,0.0,0.0
24,1373,0.0,0.0
25,1372,0.0,0.0
26,1354,0.0,0.0
27,1371,0.0,0.0
28,1370,0.0,0.0
29,1355,0.0,0.0
30,1356,0.0,0.0
31,1369,0.0,0.0
32,1357,0.0,0.0
33,1368,0.0,0.0
34,1358,0.0,0.0
35,1367,0.0,0.0
36,1366,0.0,0.0
37,1365,0.0,0.0
38,1376,0.0,0.0
39,1359,0.0,0.0
40,1360,0.0,0.0
41,1361,0.0,0.0
42,1364,0.0,0.0
43,4095,0.0,0.0
44,1377,0.0,0.0
45,1394,0.0,0.0
46,1408,0.0,0.0
47,1407,0.0,0.0
48,1406,0.0,0.0
49,1405,0.0,0.0
50,1404,0.0,0.0
51,1403,0.0,0.0
52,1402,0.0,0.0
53,1401,0.0,0.0
54,1400,0.0,0.0
55,1399,0.0,0.0
56,1398,0.0,0.0
57,1397,0.0,0.0
58,1396,0.0,0.0
59,1395,0.0,0.0
60,1393,0.0,0.0
61,1351,0.0,0.0
62,1392,0.0,0.0
63,1391,0.0,0.0
64,1390,0.0,0.0
65,1389,0.0,0.0
66,1388,0.0,0.0
67,1387,0.0,0.0
68,1386,0.0,0.0
69,1385,0.0,0.0
70,1384,0.0,0.0
71,1383,0.0,0.0
72,1382,0.0,0.0
73,1381,0.0,0.0
74,1380,0.0,0.0
75,1379,0.0,0.0
76,1378,0.0,0.0
77,1346,0.0,0.0
78,1350,0.0,0.0
79,1316,0.0,0.0
80,1314,0.0,0.0
81,1313,0.0,0.0
82,1312,0.0,0.0
83,1311,0.0,0.0
84,1310,0.0,0.0
85,1309,0.0,0.0
86,1308,0.0,0.0
87,1307,0.0,0.0
88,1306,0.0,0.0
89,1305,0.0,0.0
90,1304,0.0,0.0
91,1303,0.0,0.0
92,1302,0.0,0.0
93,1301,0.0,0.0
94,1300,0.0,0.0
95,1299,0.0,0.0
96,1298,0.0,0.0
97,1297,0.0,0.0
98,1296,0.0,0.0
99,1295,0.0,0.0
100,1294,0.0,0.0
