rank,feature_idx,coefficient,abs_coefficient
1,477,12.967728,12.967728
2,42,9.664444,9.664444
3,59,9.070552,9.070552
4,93,7.686478,7.686478
5,73,3.4728184,3.4728184
6,17,1.7894446,1.7894446
7,1244,1.740407,1.740407
8,2023,1.3924888,1.3924888
9,69,1.2932316,1.2932316
10,1597,1.2466271,1.2466271
11,114,1.2439542,1.2439542
12,41,1.2179184,1.2179184
13,313,1.1695257,1.1695257
14,150,0.9759641,0.9759641
15,1156,0.9349722,0.9349722
16,1052,0.85045964,0.85045964
17,117,0.8012316,0.8012316
18,205,0.70704156,0.70704156
19,485,0.69036,0.69036
20,1395,0.68565744,0.68565744
21,87,0.670666,0.670666
22,490,0.6699043,0.6699043
23,615,0.57567,0.57567
24,264,0.52497345,0.52497345
25,65,0.47078606,0.47078606
26,3364,0.44139895,0.44139895
27,3846,0.42214358,0.42214358
28,251,0.38702893,0.38702893
29,5749,0.3606074,0.3606074
30,1,0.35390505,0.35390505
31,4054,0.34423566,0.34423566
32,376,0.30513573,0.30513573
33,492,0.3025122,0.3025122
34,48,0.29901162,0.29901162
35,1877,0.29692703,0.29692703
36,7807,0.2772507,0.2772507
37,2046,0.2466991,0.2466991
38,97,0.23963018,0.23963018
39,476,0.23771222,0.23771222
40,6714,0.21093567,0.21093567
41,5038,0.20695652,0.20695652
42,6521,0.1915149,0.1915149
43,5908,0.1510981,0.1510981
44,3394,0.13861708,0.13861708
45,2030,0.1067966,0.1067966
46,0,0.078935884,0.078935884
47,6812,0.07090338,0.07090338
48,7713,0.0706962,0.0706962
49,2977,0.058798026,0.058798026
50,11,0.04534279,0.04534279
51,227,0.04090788,0.04090788
52,100,0.030779207,0.030779207
53,335,0.00457284,0.00457284
54,457,0.00066401315,0.00066401315
55,2735,0.0,0.0
56,2727,0.0,0.0
57,2728,0.0,0.0
58,2729,0.0,0.0
59,2730,0.0,0.0
60,2805,0.0,0.0
61,2804,0.0,0.0
62,2731,0.0,0.0
63,2732,0.0,0.0
64,2803,0.0,0.0
65,2733,0.0,0.0
66,2734,0.0,0.0
67,2737,0.0,0.0
68,2736,0.0,0.0
69,2806,0.0,0.0
70,2738,0.0,0.0
71,2802,0.0,0.0
72,2739,0.0,0.0
73,2801,0.0,0.0
74,2800,0.0,0.0
75,2740,0.0,0.0
76,2799,0.0,0.0
77,2798,0.0,0.0
78,2741,0.0,0.0
79,2742,0.0,0.0
80,2726,0.0,0.0
81,2776,0.0,0.0
82,2797,0.0,0.0
83,2712,0.0,0.0
84,2703,0.0,0.0
85,2704,0.0,0.0
86,2705,0.0,0.0
87,2706,0.0,0.0
88,2707,0.0,0.0
89,2708,0.0,0.0
90,2709,0.0,0.0
91,2710,0.0,0.0
92,2809,0.0,0.0
93,2711,0.0,0.0
94,2808,0.0,0.0
95,2713,0.0,0.0
96,2724,0.0,0.0
97,2714,0.0,0.0
98,2715,0.0,0.0
99,2716,0.0,0.0
100,2717,0.0,0.0
