rank,feature_idx,coefficient,abs_coefficient
1,73,2.7689803,2.7689803
2,93,2.2913294,2.2913294
3,59,1.7227812,1.7227812
4,1244,1.7096174,1.7096174
5,17,1.6660385,1.6660385
6,1052,1.2908697,1.2908697
7,251,1.1997353,1.1997353
8,2023,1.1752828,1.1752828
9,5749,1.065086,1.065086
10,1597,0.979681,0.979681
11,87,0.9794636,0.9794636
12,69,0.8757434,0.8757434
13,42,0.8723002,0.8723002
14,3364,0.85702735,0.85702735
15,1395,0.6214158,0.6214158
16,615,0.47210017,0.47210017
17,1156,0.43075386,0.43075386
18,477,0.4023222,0.4023222
19,65,0.364899,0.364899
20,313,0.36089838,0.36089838
21,3846,0.34241694,0.34241694
22,476,0.19438212,0.19438212
23,2046,0.16517533,0.16517533
24,376,0.10678397,0.10678397
25,3394,0.009976185,0.009976185
26,150,1.5302798e-05,1.5302798e-05
27,7807,7.707667e-06,7.707667e-06
28,485,5.801638e-06,5.801638e-06
29,2745,0.0,0.0
30,2730,0.0,0.0
31,2747,0.0,0.0
32,2731,0.0,0.0
33,2732,0.0,0.0
34,2733,0.0,0.0
35,2734,0.0,0.0
36,2746,0.0,0.0
37,2740,0.0,0.0
38,2744,0.0,0.0
39,2741,0.0,0.0
40,2736,0.0,0.0
41,2743,0.0,0.0
42,2742,0.0,0.0
43,2737,0.0,0.0
44,2738,0.0,0.0
45,2739,0.0,0.0
46,2735,0.0,0.0
47,2724,0.0,0.0
48,2729,0.0,0.0
49,2704,0.0,0.0
50,2710,0.0,0.0
51,2709,0.0,0.0
52,2708,0.0,0.0
53,2707,0.0,0.0
54,2706,0.0,0.0
55,2705,0.0,0.0
56,2703,0.0,0.0
57,2728,0.0,0.0
58,2702,0.0,0.0
59,2701,0.0,0.0
60,2700,0.0,0.0
61,2699,0.0,0.0
62,2698,0.0,0.0
63,2697,0.0,0.0
64,2711,0.0,0.0
65,2712,0.0,0.0
66,2713,0.0,0.0
67,2714,0.0,0.0
68,2715,0.0,0.0
69,2716,0.0,0.0
70,2717,0.0,0.0
71,2718,0.0,0.0
72,2719,0.0,0.0
73,2720,0.0,0.0
74,2721,0.0,0.0
75,2722,0.0,0.0
76,2723,0.0,0.0
77,2749,0.0,0.0
78,2725,0.0,0.0
79,2726,0.0,0.0
80,2727,0.0,0.0
81,2748,0.0,0.0
82,2757,0.0,0.0
83,2750,0.0,0.0
84,2797,0.0,0.0
85,2784,0.0,0.0
86,2785,0.0,0.0
87,2786,0.0,0.0
88,2787,0.0,0.0
89,2788,0.0,0.0
90,2789,0.0,0.0
91,2790,0.0,0.0
92,2791,0.0,0.0
93,2792,0.0,0.0
94,2793,0.0,0.0
95,2794,0.0,0.0
96,2795,0.0,0.0
97,2796,0.0,0.0
98,2798,0.0,0.0
99,2751,0.0,0.0
100,2799,0.0,0.0
