rank,feature_idx,coefficient,abs_coefficient
1,21,3.7444968,3.7444968
2,78,3.6952727,3.6952727
3,106,3.5735,3.5735
4,66,3.527615,3.527615
5,466,3.2618034,3.2618034
6,113,3.2275984,3.2275984
7,33,3.1089246,3.1089246
8,305,3.0754464,3.0754464
9,316,2.922598,2.922598
10,109,2.7759805,2.7759805
11,482,2.5818138,2.5818138
12,73,2.5442722,2.5442722
13,191,2.3142865,2.3142865
14,436,2.2278152,2.2278152
15,413,2.1752536,2.1752536
16,1633,2.1572745,2.1572745
17,371,2.0360827,2.0360827
18,2294,1.9088029,1.9088029
19,1441,1.8427445,1.8427445
20,1712,1.7688773,1.7688773
21,418,1.7573937,1.7573937
22,90,1.7462,1.7462
23,386,1.6580447,1.6580447
24,251,1.5940431,1.5940431
25,359,1.5906433,1.5906433
26,1174,1.5735404,1.5735404
27,1694,1.5588865,1.5588865
28,214,1.5475434,1.5475434
29,579,1.5435785,1.5435785
30,540,1.482876,1.482876
31,380,1.4377496,1.4377496
32,31,1.4376723,1.4376723
33,1510,1.4298259,1.4298259
34,498,1.4040573,1.4040573
35,202,1.3991144,1.3991144
36,1066,1.3805424,1.3805424
37,4016,1.3650986,1.3650986
38,3445,1.3509414,1.3509414
39,406,1.346937,1.346937
40,254,1.3278208,1.3278208
41,3736,1.3090881,1.3090881
42,621,1.2483577,1.2483577
43,271,1.2222699,1.2222699
44,654,1.2175366,1.2175366
45,542,1.210843,1.210843
46,1469,1.2019256,1.2019256
47,300,1.1879927,1.1879927
48,845,1.1856349,1.1856349
49,7010,1.1784384,1.1784384
50,3316,1.16325,1.16325
51,1952,1.1580198,1.1580198
52,918,1.139673,1.139673
53,1835,1.1344125,1.1344125
54,722,1.134158,1.134158
55,1760,1.1316177,1.1316177
56,929,1.1228503,1.1228503
57,6220,1.1115067,1.1115067
58,5164,1.1080028,1.1080028
59,1573,1.1047504,1.1047504
60,153,1.047186,1.047186
61,1931,1.0450501,1.0450501
62,219,1.0284021,1.0284021
63,2050,1.0118989,1.0118989
64,387,1.0050503,1.0050503
65,150,0.99494785,0.99494785
66,437,0.9830823,0.9830823
67,98,0.9686679,0.9686679
68,1837,0.9680597,0.9680597
69,290,0.96696705,0.96696705
70,1068,0.9657462,0.9657462
71,1418,0.9602624,0.9602624
72,244,0.9568783,0.9568783
73,2369,0.9554725,0.9554725
74,557,0.94836414,0.94836414
75,1858,0.93816024,0.93816024
76,1098,0.92645884,0.92645884
77,3636,0.918993,0.918993
78,3182,0.9161941,0.9161941
79,5618,0.9108385,0.9108385
80,390,0.89434034,0.89434034
81,775,0.8901135,0.8901135
82,5551,0.88319045,0.88319045
83,2666,0.8807058,0.8807058
84,362,0.87637794,0.87637794
85,5963,0.875953,0.875953
86,107,0.85862684,0.85862684
87,503,0.8574678,0.8574678
88,6083,0.8566791,0.8566791
89,893,0.85662335,0.85662335
90,783,0.84700435,0.84700435
91,1520,0.83903426,0.83903426
92,7923,0.83700687,0.83700687
93,166,0.8306876,0.8306876
94,5961,0.83029884,0.83029884
95,169,0.8276459,0.8276459
96,6294,0.8268135,0.8268135
97,5328,0.82414114,0.82414114
98,227,0.82321584,0.82321584
99,3125,0.8218563,0.8218563
100,1744,0.817751,0.817751
