rank,feature_idx,coefficient,abs_coefficient
1,33,1.9487844,1.9487844
2,579,1.8511312,1.8511312
3,380,1.4628645,1.4628645
4,6294,1.3889133,1.3889133
5,191,1.3056989,1.3056989
6,6083,1.2664354,1.2664354
7,90,1.221801,1.221801
8,652,1.1775037,1.1775037
9,929,1.1607369,1.1607369
10,3919,1.1216221,1.1216221
11,918,1.119919,1.119919
12,413,1.1161177,1.1161177
13,4007,1.1032081,1.1032081
14,6825,1.0892394,1.0892394
15,73,1.080312,1.080312
16,893,0.965469,0.965469
17,1931,0.94082326,0.94082326
18,7359,0.9377688,0.9377688
19,4176,0.92854077,0.92854077
20,3121,0.90787077,0.90787077
21,1491,0.88055193,0.88055193
22,7827,0.87874204,0.87874204
23,227,0.83016306,0.83016306
24,474,0.8001005,0.8001005
25,722,0.7811445,0.7811445
26,287,0.76875854,0.76875854
27,5189,0.7626692,0.7626692
28,169,0.7489247,0.7489247
29,2373,0.7454599,0.7454599
30,1068,0.73878044,0.73878044
31,6946,0.7366121,0.7366121
32,1365,0.7323496,0.7323496
33,387,0.7148624,0.7148624
34,3736,0.7024627,0.7024627
35,3858,0.69467133,0.69467133
36,845,0.6602635,0.6602635
37,3182,0.64453787,0.64453787
38,66,0.63789725,0.63789725
39,1469,0.6031594,0.6031594
40,6220,0.5820559,0.5820559
41,5328,0.558233,0.558233
42,1095,0.5505164,0.5505164
43,1520,0.54610866,0.54610866
44,1441,0.537567,0.537567
45,5927,0.537057,0.537057
46,775,0.52960765,0.52960765
47,219,0.5204037,0.5204037
48,1835,0.5178188,0.5178188
49,271,0.49858665,0.49858665
50,4284,0.48933944,0.48933944
51,974,0.45844766,0.45844766
52,153,0.43174168,0.43174168
53,21,0.40420455,0.40420455
54,1760,0.40342724,0.40342724
55,436,0.37686956,0.37686956
56,2578,0.36524916,0.36524916
57,466,0.35136238,0.35136238
58,2492,0.3427857,0.3427857
59,1241,0.33784994,0.33784994
60,31,0.33093628,0.33093628
61,1340,0.3192268,0.3192268
62,1066,0.31705514,0.31705514
63,6358,0.3147835,0.3147835
64,2001,0.31397927,0.31397927
65,202,0.31315082,0.31315082
66,557,0.2983943,0.2983943
67,569,0.29660934,0.29660934
68,418,0.2842758,0.2842758
69,1863,0.27712613,0.27712613
70,371,0.26777586,0.26777586
71,1573,0.2647076,0.2647076
72,482,0.250054,0.250054
73,1633,0.24972415,0.24972415
74,1930,0.24850652,0.24850652
75,106,0.24426608,0.24426608
76,3478,0.2394302,0.2394302
77,362,0.23793241,0.23793241
78,1858,0.23124203,0.23124203
79,7814,0.2226466,0.2226466
80,78,0.21431535,0.21431535
81,1694,0.19811025,0.19811025
82,4374,0.19389641,0.19389641
83,498,0.18266378,0.18266378
84,254,0.18079749,0.18079749
85,6581,0.17702718,0.17702718
86,576,0.16619009,0.16619009
87,5760,0.1644139,0.1644139
88,244,0.16379403,0.16379403
89,3884,0.16073449,0.16073449
90,6034,0.15689689,0.15689689
91,6183,0.14735386,0.14735386
92,1868,0.14203838,0.14203838
93,390,0.13933003,0.13933003
94,2626,0.13829246,0.13829246
95,7010,0.13813356,0.13813356
96,3632,0.13420917,0.13420917
97,1744,0.13363141,0.13363141
98,5291,0.13161977,0.13161977
99,7765,0.13023293,0.13023293
100,1418,0.12957671,0.12957671
