rank,feature_idx,coefficient,abs_coefficient
1,106,1.3997048,1.3997048
2,436,1.241761,1.241761
3,305,1.170038,1.170038
4,482,1.0965415,1.0965415
5,33,1.0413803,1.0413803
6,1760,0.99760216,0.99760216
7,387,0.97031164,0.97031164
8,371,0.9553508,0.9553508
9,474,0.8169721,0.8169721
10,1633,0.67773294,0.67773294
11,576,0.6155053,0.6155053
12,1510,0.5701083,0.5701083
13,90,0.5625757,0.5625757
14,466,0.5073643,0.5073643
15,78,0.40924442,0.40924442
16,413,0.39664802,0.39664802
17,1469,0.38888553,0.38888553
18,7769,0.38600883,0.38600883
19,2294,0.38129985,0.38129985
20,418,0.37401724,0.37401724
21,21,0.35461077,0.35461077
22,271,0.34589183,0.34589183
23,73,0.34367523,0.34367523
24,7010,0.34342515,0.34342515
25,214,0.32539922,0.32539922
26,7827,0.31499153,0.31499153
27,380,0.30782846,0.30782846
28,783,0.3075829,0.3075829
29,6294,0.3060549,0.3060549
30,6083,0.30426475,0.30426475
31,1520,0.30116203,0.30116203
32,6903,0.2875545,0.2875545
33,3316,0.27433705,0.27433705
34,109,0.2714902,0.2714902
35,4007,0.27102324,0.27102324
36,1952,0.266518,0.266518
37,845,0.26395452,0.26395452
38,66,0.26338768,0.26338768
39,31,0.2604974,0.2604974
40,150,0.2574781,0.2574781
41,6825,0.2567241,0.2567241
42,1066,0.25216323,0.25216323
43,1418,0.2493728,0.2493728
44,5961,0.23811615,0.23811615
45,153,0.23500375,0.23500375
46,3087,0.23290603,0.23290603
47,300,0.22414522,0.22414522
48,2742,0.21404268,0.21404268
49,3858,0.20991999,0.20991999
50,316,0.19448717,0.19448717
51,654,0.19438583,0.19438583
52,3121,0.191594,0.191594
53,7359,0.18831743,0.18831743
54,4887,0.17728458,0.17728458
55,542,0.17406954,0.17406954
56,3919,0.17343855,0.17343855
57,6548,0.17318068,0.17318068
58,406,0.17130978,0.17130978
59,918,0.16746657,0.16746657
60,1241,0.15096717,0.15096717
61,6540,0.15029588,0.15029588
62,974,0.14851288,0.14851288
63,2976,0.14827265,0.14827265
64,527,0.14550932,0.14550932
65,6913,0.14437102,0.14437102
66,4176,0.1403122,0.1403122
67,219,0.13974012,0.13974012
68,1837,0.13881575,0.13881575
69,362,0.13798901,0.13798901
70,1491,0.12802228,0.12802228
71,113,0.12474483,0.12474483
72,1786,0.12236727,0.12236727
73,6220,0.11871243,0.11871243
74,386,0.11663541,0.11663541
75,1744,0.11096791,0.11096791
76,5776,0.10810421,0.10810421
77,3632,0.10755279,0.10755279
78,437,0.10725195,0.10725195
79,1095,0.097806685,0.097806685
80,722,0.094069816,0.094069816
81,5978,0.09145079,0.09145079
82,1441,0.089853905,0.089853905
83,3462,0.089472495,0.089472495
84,1694,0.08486133,0.08486133
85,6162,0.08312257,0.08312257
86,427,0.078771204,0.078771204
87,6946,0.077723384,0.077723384
88,1931,0.07338888,0.07338888
89,1573,0.07308635,0.07308635
90,7681,0.0699118,0.0699118
91,4374,0.06350776,0.06350776
92,87,0.0634032,0.0634032
93,5927,0.05373315,0.05373315
94,1663,0.050104227,0.050104227
95,2666,0.049466956,0.049466956
96,1444,0.043077353,0.043077353
97,3189,0.040721174,0.040721174
98,6163,0.040095735,0.040095735
99,1868,0.039859712,0.039859712
100,5491,0.03849793,0.03849793
