rank,feature_idx,coefficient,abs_coefficient
1,105,-4.8763347,4.8763347
2,44,2.6342483,2.6342483
3,4,-2.4796622,2.4796622
4,468,-2.0469537,2.0469537
5,418,-1.9149289,1.9149289
6,177,-1.4964414,1.4964414
7,29,1.4789946,1.4789946
8,100,1.4239239,1.4239239
9,27,1.3368733,1.3368733
10,16,-1.3321376,1.3321376
11,252,-1.2661002,1.2661002
12,419,-1.1660231,1.1660231
13,2773,-1.1650121,1.1650121
14,50,-1.0152558,1.0152558
15,1842,-0.8033362,0.8033362
16,134,-0.7190749,0.7190749
17,272,-0.66932505,0.66932505
18,336,-0.6675237,0.6675237
19,1595,-0.62164295,0.62164295
20,21,0.60265356,0.60265356
21,280,-0.54733294,0.54733294
22,7,-0.5055935,0.5055935
23,90,-0.44833562,0.44833562
24,104,0.3725679,0.3725679
25,4385,-0.3681545,0.3681545
26,51,0.32408458,0.32408458
27,1844,-0.30220833,0.30220833
28,270,-0.2833312,0.2833312
29,53,-0.18610883,0.18610883
30,1165,-0.17432041,0.17432041
31,1311,-0.038748045,0.038748045
32,55,-0.035806946,0.035806946
33,317,0.001776936,0.001776936
34,160,-2.6784272e-05,2.6784272e-05
35,1012,-1.4257044e-05,1.4257044e-05
36,2750,0.0,0.0
37,2742,0.0,0.0
38,2754,0.0,0.0
39,2747,0.0,0.0
40,2748,0.0,0.0
41,2749,0.0,0.0
42,2733,0.0,0.0
43,2753,0.0,0.0
44,2734,0.0,0.0
45,2744,0.0,0.0
46,2735,0.0,0.0
47,2736,0.0,0.0
48,2752,0.0,0.0
49,2737,0.0,0.0
50,2738,0.0,0.0
51,2751,0.0,0.0
52,2743,0.0,0.0
53,2739,0.0,0.0
54,2746,0.0,0.0
55,2740,0.0,0.0
56,2741,0.0,0.0
57,2745,0.0,0.0
58,2728,0.0,0.0
59,2732,0.0,0.0
60,2731,0.0,0.0
61,2704,0.0,0.0
62,2705,0.0,0.0
63,2706,0.0,0.0
64,2707,0.0,0.0
65,2708,0.0,0.0
66,2709,0.0,0.0
67,2710,0.0,0.0
68,2711,0.0,0.0
69,2712,0.0,0.0
70,2713,0.0,0.0
71,2714,0.0,0.0
72,2715,0.0,0.0
73,2716,0.0,0.0
74,2717,0.0,0.0
75,2718,0.0,0.0
76,2719,0.0,0.0
77,2720,0.0,0.0
78,2721,0.0,0.0
79,2722,0.0,0.0
80,2723,0.0,0.0
81,2724,0.0,0.0
82,2725,0.0,0.0
83,2726,0.0,0.0
84,2727,0.0,0.0
85,2756,0.0,0.0
86,2729,0.0,0.0
87,2730,0.0,0.0
88,2755,0.0,0.0
89,2767,0.0,0.0
90,2757,0.0,0.0
91,2805,0.0,0.0
92,2792,0.0,0.0
93,2793,0.0,0.0
94,2794,0.0,0.0
95,2795,0.0,0.0
96,2796,0.0,0.0
97,2797,0.0,0.0
98,2798,0.0,0.0
99,2799,0.0,0.0
100,2800,0.0,0.0
